string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | المجلد الأول
",000,False,000,False,False,False,1,4
"### | مقدمة
",000,False,000,False,False,False,1,976
"### | 1- 
",000,False,000,False,False,False,1,57
"### | 2- 
",000,False,000,False,False,False,1,28
"### | 3- 
",000,False,000,False,False,False,1,45
"### | 4- 
",000,False,000,False,False,False,1,113
"### | 5- 
",000,False,000,False,False,False,1,654
"### | الباب الأول
",000,False,000,False,False,False,1,4
"### | المبحث الأول: مدخل لدراسة موضوع الكتاب وما ألف فيه
",000,False,000,False,False,False,1,18
"### | المطلب الأول: حقيقة النبوة
",000,False,000,False,False,False,1,599
"### | المطلب الثاني: الحكمة من بعث الرسل
",000,False,000,False,False,False,1,12
"### | 1- 
",000,False,000,False,False,False,1,167
"### | 2- 
",000,False,000,False,False,False,1,84
"### | 3- 
",000,False,000,False,False,False,1,99
"### | 4- 
",000,False,000,False,False,False,1,99
"### | 5- 
",000,False,000,False,False,False,1,80
"### | 6- 
",000,False,000,False,False,False,1,617
"### | المطلب الثالث: وظائف الرسل
",000,False,000,False,False,False,1,26
"### | 1- 
",000,False,000,False,False,False,1,47
"### | 2- 
",000,False,000,False,False,False,1,34
"### | 3- 
",000,False,000,False,False,False,1,20
"### | 4- 
",000,False,000,False,False,False,1,37
"### | 5- 
",000,False,000,False,False,False,1,50
"### | 6- 
",000,False,000,False,False,False,1,47
"### | 7- 
",000,False,000,False,False,False,1,89
"### | المطلب الرابع: أقوال الناس في النبوة
",000,False,000,False,False,False,1,1205
"### | المطلب الخامس: الإيمان بالأنبياء من أركان الإيمان
",000,False,000,False,False,False,1,314
"### | المطلب السادس: الإسلام دين جميع الأنبياء
",000,False,000,False,False,False,1,159
"### | المطلب السابع: المعجزات
",000,False,000,False,False,False,1,405
"### | المطلب الثامن: ما ألف في النبوات:
",000,False,000,False,False,False,1,36
"### | 1- 
",000,False,000,False,False,False,1,20
"### | 2- 
",000,False,000,False,False,False,1,21
"### | 3- 
",000,False,000,False,False,False,1,13
"### | 4- 
",000,False,000,False,False,False,1,14
"### | 5- 
",000,False,000,False,False,False,1,19
"### | 6- 
",000,False,000,False,False,False,1,19
"### | 7- 
",000,False,000,False,False,False,1,17
"### | 8- 
",000,False,000,False,False,False,1,23
"### | 9- 
",000,False,000,False,False,False,1,17
"### | 10- 
",000,False,000,False,False,False,1,17
"### | 11- 
",000,False,000,False,False,False,1,10
"### | 12- 
",000,False,000,False,False,False,1,13
"### | 13- 
",000,False,000,False,False,False,1,17
"### | 14- 
",000,False,000,False,False,False,1,19
"### | 15- 
",000,False,000,False,False,False,1,19
"### | 16- 
",000,False,000,False,False,False,1,20
"### | 17- 
",000,False,000,False,False,False,1,17
"### | 18- 
",000,False,000,False,False,False,1,13
"### | 19- 
",000,False,000,False,False,False,1,15
"### | 20- 
",000,False,000,False,False,False,1,21
"### | 21- 
",000,False,000,False,False,False,1,16
"### | 22- 
",000,False,000,False,False,False,1,15
"### | 23- 
",000,False,000,False,False,False,1,13
"### | 24- 
",000,False,000,False,False,False,1,28
"### | 25- 
",000,False,000,False,False,False,1,17
"### | 26- 
",000,False,000,False,False,False,1,15
"### | 27- 
",000,False,000,False,False,False,1,11
"### | 28- 
",000,False,000,False,False,False,1,17
"### | 29- 
",000,False,000,False,False,False,1,11
"### | 30- 
",000,False,000,False,False,False,1,11
"### | 31- 
",000,False,000,False,False,False,1,21
"### | 32- 
",000,False,000,False,False,False,1,21
"### | 33- 
",000,False,000,False,False,False,1,11
"### | 34- 
",000,False,000,False,False,False,1,23
"### | 35- 
",000,False,000,False,False,False,1,20
"### | 36- 
",000,False,000,False,False,False,1,11
"### | 37- 
",000,False,000,False,False,False,1,15
"### | 38- 
",000,False,000,False,False,False,1,19
"### | 39- 
",000,False,000,False,False,False,1,13
"### | 40- 
",000,False,000,False,False,False,1,15
"### | 41- 
",000,False,000,False,False,False,1,17
