string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الأسباب الدافعة إلى العمل في هذا الكتاب
",000,False,000,False,False,False,1,738
"### | الكتب التي ألفت في التوسل
",000,False,000,False,False,False,1,235
"### | عملي في هذا الكتاب
",000,False,000,False,False,False,1,189
"### | لمحة عن حياة الإمام ابن تيمية
",000,False,000,False,False,False,1,121
"### | 1 - 
",000,False,000,False,False,False,1,99
"### | 2 - 
",000,False,000,False,False,False,1,109
"### | 3 - 
",000,False,000,False,False,False,1,31
"### | 4 - 
",000,False,000,False,False,False,1,486
"### | 1 - 
",000,False,000,False,False,False,1,19
"### | 2 - 
",000,False,000,False,False,False,1,15
"### | 3 - 
",000,False,000,False,False,False,1,23
"### | 4 - 
",000,False,000,False,False,False,1,21
"### | 5 - 
",000,False,000,False,False,False,1,23
"### | 6 - 
",000,False,000,False,False,False,1,84
"### | 1 - 
",000,False,000,False,False,False,1,16
"### | 2 - 
",000,False,000,False,False,False,1,24
"### | 3 - 
",000,False,000,False,False,False,1,13
"### | 4 - 
",000,False,000,False,False,False,1,21
"### | 5 - 
",000,False,000,False,False,False,1,48
"### | موضوع كتاب التوسل والوسيلة
",000,False,000,False,False,False,1,607
"### | 1 - 
",000,False,000,False,False,False,1,13
"### | 2 - 
",000,False,000,False,False,False,1,17
"### | 3 - 
",000,False,000,False,False,False,1,15
"### | منهج شيخ الإسلام في هذا الكتاب
",000,False,000,False,False,False,1,479
"### | 1 - 
",000,False,000,False,False,False,1,287
"### | 2 - 
",000,False,000,False,False,False,1,86
"### | 3 - 
",000,False,000,False,False,False,1,70
"### | 4 - 
",000,False,000,False,False,False,1,156
"### | 5 - 
",000,False,000,False,False,False,1,149
"### | 6 - 
",000,False,000,False,False,False,1,101
"### | 7 - 
",000,False,000,False,False,False,1,97
"### | 8 - 
",000,False,000,False,False,False,1,168
"### | 9 - 
",000,False,000,False,False,False,1,656
"### | اسم الكتاب
",000,False,000,False,False,False,1,233
"### | وصف المخطوطة
",000,False,000,False,False,False,1,71
"### | الرموز
",000,False,000,False,False,False,1,55
"### | 1 - 
",000,False,000,False,False,False,1,119
"### | 2 - 
",000,False,000,False,False,False,1,90
"### | 3 - 
",000,False,000,False,False,False,1,73
"### | 4 - 
",000,False,000,False,False,False,1,95
"### | 5 - 
",000,False,000,False,False,False,1,36
"### | 6 - 
",000,False,000,False,False,False,1,167
"### | 7 - 
",000,False,000,False,False,False,1,98
"### | 8 - 
",000,False,000,False,False,False,1,39
"### | 9 - 
",000,False,000,False,False,False,1,79
"### | 10 - 
",000,False,000,False,False,False,1,144
"### | 11 - 
",000,False,000,False,False,False,1,176
"### | 12 - 
",000,False,000,False,False,False,1,74
"### | 13 - 
",000,False,000,False,False,False,1,25
"### | 14 - 
",000,False,000,False,False,False,1,198
"### | 15 - 
",000,False,000,False,False,False,1,213
"### | 16 - 
",000,False,000,False,False,False,1,33
"### | 17 - 
",000,False,000,False,False,False,1,38
"### | 18 - 
",000,False,000,False,False,False,1,22
"### | 19 - 
",000,False,000,False,False,False,1,51
"### | 20 - 
",000,False,000,False,False,False,1,49
"### | 21 - 
",000,False,000,False,False,False,1,73
"### | 22 - 
",000,False,000,False,False,False,1,56
"### | 23 - 
",000,False,000,False,False,False,1,419
"### | 24 - 
",000,False,000,False,False,False,1,70
"### | 25 - 
",000,False,000,False,False,False,1,26
"### | 26 - 
",000,False,000,False,False,False,1,70
"### | 27 - 
",000,False,000,False,False,False,1,42
"### | 28 - 
",000,False,000,False,False,False,1,14
"### | 29 - 
",000,False,000,False,False,False,1,23
"### | 30 - 
",000,False,000,False,False,False,1,35
"### | 31 - 
",000,False,000,False,False,False,1,33
"### | 32 - 
",000,False,000,False,False,False,1,27
"### | 33 - 
",000,False,000,False,False,False,1,23
"### | 34 - 
",000,False,000,False,False,False,1,91
"### | 35 - 
",000,False,000,False,False,False,1,36
"### | 36 - 
",000,False,000,False,False,False,1,40
"### | 37 - 
",000,False,000,False,False,False,1,56
"### | 38 - 
",000,False,000,False,False,False,1,106
"### | 39 - 
",000,False,000,False,False,False,1,44
"### | 40 - 
",000,False,000,False,False,False,1,138
"### | 41 - 
",000,False,000,False,False,False,1,111
"### | 42 - 
",000,False,000,False,False,False,1,106
"### | 43 - 
",000,False,000,False,False,False,1,54
"### | 44 - 
",000,False,000,False,False,False,1,70
"### | 45 - 
",000,False,000,False,False,False,1,87
"### | 46 - 
",000,False,000,False,False,False,1,184
"### | 47 - 
",000,False,000,False,False,False,1,42
"### | 48 - 
",000,False,000,False,False,False,1,165
"### | 49 - 
",000,False,000,False,False,False,1,73
"### | 50 - 
",000,False,000,False,False,False,1,165
"### | 51 - 
",000,False,000,False,False,False,1,72
"### | 52 - 
",000,False,000,False,False,False,1,32
"### | 53 - 
",000,False,000,False,False,False,1,57
"### | 54 - 
",000,False,000,False,False,False,1,22
"### | 55 - 
",000,False,000,False,False,False,1,38
"### | 56 - 
",000,False,000,False,False,False,1,22
"### | 57 - 
",000,False,000,False,False,False,1,22
"### | 58 - 
",000,False,000,False,False,False,1,55
"### | 59 - 
",000,False,000,False,False,False,1,31
"### | 60 - 
",000,False,000,False,False,False,1,81
"### | 61 - 
",000,False,000,False,False,False,1,63
"### | 62 - 
",000,False,000,False,False,False,1,40
"### | 63 - 
",000,False,000,False,False,False,1,55
"### | 64 - 
",000,False,000,False,False,False,1,53
"### | 65 - 
",000,False,000,False,False,False,1,63
"### | 66 - 
",000,False,000,False,False,False,1,52
"### | 67 - 
",000,False,000,False,False,False,1,32
"### | 68 - 
",000,False,000,False,False,False,1,41
"### | 69 - 
",000,False,000,False,False,False,1,46
"### | 70 - 
",000,False,000,False,False,False,1,32
"### | 71 - 
",000,False,000,False,False,False,1,36
"### | 72 - 
",000,False,000,False,False,False,1,71
"### | 73 - 
",000,False,000,False,False,False,1,74
"### | 74 - 
",000,False,000,False,False,False,1,53
"### | 75 - 
",000,False,000,False,False,False,1,35
"### | 76 - 
",000,False,000,False,False,False,1,27
"### | 77 - 
",000,False,000,False,False,False,1,36
"### | 78 - 
",000,False,000,False,False,False,1,21
"### | 79 - 
",000,False,000,False,False,False,1,29
"### | 80 - 
",000,False,000,False,False,False,1,49
"### | 81 - 
",000,False,000,False,False,False,1,48
"### | 82 - 
",000,False,000,False,False,False,1,31
"### | 83 - 
",000,False,000,False,False,False,1,31
"### | 84 - 
",000,False,000,False,False,False,1,80
"### | 85 - 
",000,False,000,False,False,False,1,28
"### | 86 - 
",000,False,000,False,False,False,1,38
"### | 87 - 
",000,False,000,False,False,False,1,51
"### | 88 - 
",000,False,000,False,False,False,1,12
"### | 89 - 
",000,False,000,False,False,False,1,21
"### | 90 - 
",000,False,000,False,False,False,1,37
"### | 91 - 
",000,False,000,False,False,False,1,77
