string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,8
"### | رب يسر
",000,False,000,False,False,False,1,142
"### | تمهيد
",000,False,000,False,False,False,1,28
"### | - بعد البعثة تشريعا.
",000,False,000,False,False,False,1,19
"### | [النوع الأول: معرفة الصحيح]
",000,False,000,False,False,False,1,61
"### | [أصح الأسانيد]
",000,False,000,False,False,False,1,54
"### | [تجريد الصحيح]
",000,False,000,False,False,False,1,25
"### | [التفضيل بين الصحيحين]
",000,False,000,False,False,False,1,57
"### | [فائدة المستخرج]
",000,False,000,False,False,False,1,10
"### | [مراتب الصحيح]
",000,False,000,False,False,False,1,4
"### | 1 - 
",000,False,000,False,False,False,1,9
"### | 2 - 
",000,False,000,False,False,False,1,5
"### | 3 - 
",000,False,000,False,False,False,1,5
"### | 4 - 
",000,False,000,False,False,False,1,11
"### | 5 - 
",000,False,000,False,False,False,1,7
"### | 6 - 
",000,False,000,False,False,False,1,9
"### | 7 - 
",000,False,000,False,False,False,1,17
"### | حكمه
",000,False,000,False,False,False,1,27
"### | [حكم المعلق في الصحيح]
",000,False,000,False,False,False,1,37
"### | [مظان الصحيح]
",000,False,000,False,False,False,1,10
"### | [النوع الثاني: معرفة الحسن]
",000,False,000,False,False,False,1,47
"### | [من مظان الحسن]
",000,False,000,False,False,False,1,20
"### | [معنى عبارة حديث حسن صحيح]
",000,False,000,False,False,False,1,37
"### | حكمه
",000,False,000,False,False,False,1,20
"### | [النوع الثالث: معرفة الضعيف]
",000,False,000,False,False,False,1,37
"### | [أوهى الأسانيد]
",000,False,000,False,False,False,1,32
"### | حكمه
",000,False,000,False,False,False,1,17
"### | [الرابع: معرفة المسند]
",000,False,000,False,False,False,1,33
"### | [الخامس: معرفة المتصل]
",000,False,000,False,False,False,1,19
"### | [السادس: معرفة المرفوع]
",000,False,000,False,False,False,1,19
"### | - قولا أو فعلا أو تقريرا؛ اتصل أو انفصل / فيرادف المسند أو يدخلان المرفوع دونه، فيابين.
",000,False,000,False,False,False,1,25
"### | [السابع: معرفة الموقوف]
",000,False,000,False,False,False,1,38
"### | [قول الصحابي: أمرنا، نهينا، من السنة. .]
",000,year,000,False,False,False,1,31
"### | [تفسير الصحابي]
",000,False,000,False,False,False,1,33
"### | - يقرعون بابه بالأظافير "".
",000,False,000,False,False,False,1,15
"### | [الثامن: معرفة المقطوع]
",000,False,000,False,False,False,1,28
"### | [التاسع: معرفة المرسل]
",000,False,000,False,False,False,1,57
"### | [إرسال ابن المسيب وعطاء ونحوهما]
",000,False,000,False,False,False,1,23
"### | [إطلاقه على ما سقط منه اثنان]
",000,False,000,False,False,False,1,15
"### | حجيته
",000,False,000,False,False,False,1,33
"### | [حكم مراسيل ابن المسيب]
",000,False,000,False,False,False,1,58
"### | [العاشر: معرفة المنقطع]
",000,False,000,False,False,False,1,18
"### | حكمه
",000,False,000,False,False,False,1,17
"### | المعنعن
",000,False,000,False,False,False,1,46
"### | المؤنن
",000,False,000,False,False,False,1,22
"### | [الحادي عشر: معرفة المعلق]
",000,False,000,False,False,False,1,32
"### | [الثاني عشر: معرفة المعضل]
",000,False,000,False,False,False,1,30
"### | حكمه
",000,False,000,False,False,False,1,7
"### | [الثالث عشر: معرفة خفي المراسيل]
",000,False,000,False,False,False,1,34
"### | [الرابع عشر: معرفة التدليس]
",000,False,000,False,False,False,1,45
"### | [تدليس الشيوخ]
",000,False,000,False,False,False,1,7
"### | [أسباب تدليس الإسناد]
",000,False,000,False,False,False,1,29
"### | [تدليس الأماكن]
",000,False,000,False,False,False,1,22
"### | [ثبوت تدليس الراوي]
",000,False,000,False,False,False,1,35
"### | [الخامس عشر: معرفة الشاذ]
",000,False,000,False,False,False,1,57
"### | [السادس عشر: معرفة المنكر]
",000,False,000,False,False,False,1,30
"### | [السابع عشر: معرفة المعلل]
",000,False,000,False,False,False,1,22
"### | [اصطلاحا]
",000,False,000,False,False,False,1,81
"### | [الثامن عشر: معرفة المشهور]
",000,False,000,False,False,False,1,53
"### | [التاسع عشر: معرفة الغريب]
",000,False,000,False,False,False,1,75
"### | [العشرون: معرفة العزيز]
",000,False,000,False,False,False,1,16
"### | [الحادي والعشرون: معرفة المسلسل]
",000,False,000,False,False,False,1,33
"### | [فائدة المسلسل]
",000,False,000,False,False,False,1,41
"### | [الثاني والعشرون: معرفة زيادات الثقات]
",000,False,000,False,False,False,1,61
"### | [حكم الزيادة المنافية]
",000,False,000,False,False,False,1,9
"### | [الثالث والعشرون: معرفة الاعتبارات]
",000,False,000,False,False,False,1,42
"### | [فوائد المتابعات والشواهد]
",000,False,000,False,False,False,1,14
"### | [الرابع والعشرون: معرفة الأفراد]
",000,False,000,False,False,False,1,41
"### | [الخامس والعشرون: معرفة المضطرب]
",000,False,000,False,False,False,1,53
"### | [السادس والعشرون: معرفة مختلف الحديث]
",000,False,000,False,False,False,1,52
"### | [السابع والعشرون: معرفة ناسخ الحديث ومنسوخه]
",000,False,000,False,False,False,1,72
"### | [طريق معرفة النسخ]
",000,False,000,False,False,False,1,43
"### | حكمه
",000,False,000,False,False,False,1,16
"### | [التخصيص]
",000,False,000,False,False,False,1,18
"### | [فائدته]
",000,False,000,False,False,False,1,36
"### | [الثامن والعشرون: معرفة المدرج]
",000,False,000,False,False,False,1,15
"### | [تعريفه]
",000,False,000,False,False,False,1,27
"### | حكم الإدراج
",000,False,000,False,False,False,1,23
"### | [التاسع والعشرون: معرفة المقلوب]
",000,False,000,False,False,False,1,30
"### | [الثلاثون: معرفة المزيد في متصل الأسانيد]
",000,False,000,False,False,False,1,57
"### | [الحادي والثلاثون: معرفة المصحف]
",000,False,000,False,False,False,1,22
"### | [أمثلة تغيير اللفظ]
",000,False,000,False,False,False,1,24
"### | [أمثلة تغيير المعنى]
",000,False,000,False,False,False,1,20
"### | الثاني والثلاثون: معرفة غريب الحديث
",000,False,000,False,False,False,1,67
"### | [الثالث والثلاثون: معرفة الموضوع]
",000,False,000,False,False,False,1,22
