string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,259
"### | : «الراحمون يرحمهم الرحمن , ارحموا من في الأرض يرحمكم من في السماء»
",000,False,000,False,False,False,1,11
"### | 2 - 
",000,False,000,False,False,False,1,166
"### | : «نعم الإدام الخل»
",000,False,000,False,False,False,1,33
"### | 3 - 
",000,False,000,False,False,False,1,111
"### | بني هشام بن المغيرة استأذنوني أن ينكحوا ابنتهم علي بن أبي طالب فلا آذان , ثم لا آذان، إلا 
",000,False,000,False,False,False,1,37
"### | 4 - 
",000,False,000,False,False,False,1,112
"### | : «لن يؤخر الله نفسا إذا جاء أجلها , ولكن زيادة العمر ذرية صالحة يرزقها العبد يدعون له بعد 
",000,False,000,False,False,False,1,110
"### | 5 - 
",000,False,000,False,False,False,1,341
"### | : «من كذب علي متعمدا فليتبوأ مقعده من النار» .
",000,False,000,False,False,False,1,51
"### | 6 - 
",000,False,000,False,False,False,1,68
"### | : «من كذب علي متعمدا فليتبوأ مقعده من النار»
",000,False,000,False,False,False,1,388
"### | 7 - 
",000,False,000,False,False,False,1,28
"### | سمع رجلا إلى جنبه يسأل ms6 الله أن يرزقه عشرة آلاف درهم فانصرف فبعث إليه بها
",000,False,000,False,False,False,1,98
