string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الطبقةالأولى الذين عرضوا على رسول الله صلى الله عليه وسلم رضي الله عنهم
",000,False,000,False,False,False,1,2116
"### | الطبقة الثانية وهم الذين عرضوا على بعض المذكورين قبلهم
",000,False,000,False,False,False,1,2291
"### | الطبقة الثالثة [ وهم من التابعين ]
",000,False,000,False,False,False,1,5545
"### | الطبقة الرابعة
",000,False,000,False,False,False,1,7053
"### | الطبقة الخامسة
",000,False,000,False,False,False,1,3072
"### | الطبقة السادسة
",000,False,000,False,False,False,1,7218
"### | الطبقة السابعة
",000,False,000,False,False,False,1,4482
"### | الطبقة الثامنة
",000,False,000,False,False,False,1,7919
"### | الطبقة التاسعة
",000,False,000,False,False,False,1,6631
"### | الطبقة العاشرة
",000,False,000,False,False,False,1,5478
"### | الطبقة الحادية عشرة وفيها من لعله من الطبقة الماضية ولكنهم تأخرت وفياتهم
",000,False,000,False,False,False,1,5527
"### | الطبقة الثانية عشرة وفي أوائلها جماعة لولا تأخر موتهم لكانوا في الطبقة الماضية
",000,False,000,False,False,False,1,6121
"### | الطبقة الثالثة عشرة
",000,False,000,False,False,False,1,6831
"### |  الطبقة الرابعة عشرة
",000,False,000,False,False,False,1,6971
"### |  الطبقة الخامسة عشرة
",000,False,000,False,False,False,1,4702
"### | الطبقة السادسة عشرة
",000,False,000,False,False,False,1,6307
"### | طبقة بين الطبقتين
",000,False,000,False,False,False,1,2315
"### |  الطبقة الثامنة عشرة
",000,False,000,False,False,False,1,1644
