string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | زغل العلم
",000,False,000,False,False,False,1,227
"### | المقدمة
",000,False,000,False,False,False,1,384
"### | ترجمة المؤلف
",000,False,000,False,False,False,1,161
"### | 1- 
",000,False,000,False,False,False,1,13
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,9
"### | 5- 
",000,False,000,False,False,False,1,547
"### | 1- 
",000,False,000,False,False,False,1,12
"### | 2- 
",000,False,000,False,False,False,1,12
"### | 3- 
",000,False,000,False,False,False,1,11
"### | 4- 
",000,False,000,False,False,False,1,22
"### | 5- 
",000,False,000,False,False,False,1,28
"### | 6- 
",000,False,000,False,False,False,1,15
"### | 7- 
",000,False,000,False,False,False,1,19
"### | 8- 
",000,False,000,False,False,False,1,18
"### | 9- 
",000,False,000,False,False,False,1,18
"### | 10- 
",000,False,000,False,False,False,1,17
"### | 11- 
",000,False,000,False,False,False,1,21
"### | 12- 
",000,False,000,False,False,False,1,19
"### | 13- 
",000,False,000,False,False,False,1,17
"### | 14- 
",000,False,000,False,False,False,1,13
"### | 15- 
",000,False,000,False,False,False,1,13
"### | 16- 
",000,False,000,False,False,False,1,7
"### | 17 - 
",000,False,000,False,False,False,1,17
"### | 18 - 
",000,False,000,False,False,False,1,7
"### | 19 - 
",000,False,000,False,False,False,1,7
"### | 20 - 
",000,False,000,False,False,False,1,21
"### | نسخ الكتاب
",000,False,000,False,False,False,1,282
"### | علم القراءة والتجويد
",000,False,000,False,False,False,1,214
"### | علم الحديث
",000,False,000,False,False,False,1,622
"### | المالكية
",000,False,000,False,False,False,1,139
"### | الحنفية
",000,False,000,False,False,False,1,157
"### | الشافعية
",000,False,000,False,False,False,1,290
"### | الحنابلة
",000,False,000,False,False,False,1,40
"### | علم النحو
",000,False,000,False,False,False,1,65
"### | علم اللغة
",000,False,000,False,False,False,1,37
"### | علم التفسير
",000,False,000,False,False,False,1,61
"### | أصول الفقه
",000,False,000,False,False,False,1,67
"### | علم أصول الدين
",000,False,000,False,False,False,1,246
"### | علم المنطق
",000,False,000,False,False,False,1,76
"### | علم الحكمة
",000,False,000,False,False,False,1,170
"### | الفرائض
",000,False,000,False,False,False,1,40
"### | علم الإنشاء
",000,False,000,False,False,False,1,135
"### | علم الشعر
",000,False,000,False,False,False,1,94
"### | علم الحسا ب
",000,False,000,False,False,False,1,86
"### | علم الشروط
",000,False,000,False,False,False,1,49
"### | علم الوعظ
",000,False,000,False,False,False,1,102
"### | .... 
",000,False,000,False,False,False,1,2
"### | فهرس الأحاديث
",000,False,000,False,False,False,1,4
"### | ......................... 
",000,False,000,False,False,False,1,7
"### | ................... 
",000,False,000,False,False,False,1,9
"### | ............ 
",000,False,000,False,False,False,1,9
"### | ................ 
",000,False,000,False,False,False,1,11
"### | ............ 
",000,False,000,False,False,False,1,7
"### | ..................... 
",000,False,000,False,False,False,1,9
"### | ............ 
",000,False,000,False,False,False,1,11
"### | .............. 
",000,False,000,False,False,False,1,11
"### | ........... 
",000,False,000,False,False,False,1,4
