string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | تواريخ ملوك الإسلام
",000,False,000,False,False,False,1,1213
"### || الدولة الصالحية
",000,False,000,False,False,False,2,64
"### || الدولة الظاهرية
",000,False,000,False,False,False,2,112
"### || الدولة المنصورية
",000,False,000,False,False,False,2,95
"### || الدولة الأشرفية ابن الزملك المنصور قلاون
",000,False,000,False,False,False,2,313
"### || تاريخ
",000,False,000,False,False,False,2,115
"### || تاريخ
",000,False,000,False,False,False,2,104
"### || تواريخ فتح الحصون في ابتدي الدعوة الهادية
",000,False,000,False,False,False,2,49
"### || تاريخ
",000,False,000,False,False,False,2,43
"### || تاريخ يذكر فيه فتوح صلاح الدين ووفاته
",000,False,000,False,False,False,2,390
"### | هذا صورة الكتاب الواصل من صلاح الدين الي الصاحب راشد الدين قدس الله سره
",000,False,000,False,False,False,1,564
"### || جواب كتاب صلاح الدين من لفظ راشد الدين قدس الله روحه
",000,False,000,False,False,False,2,307
