string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | وما توفيقي إلا بالله عليه توكلت
",000,False,000,False,False,False,1,417
"### | الباب الأول في حد الحديث المرسل والفصل بينه وبين غيره
",000,False,000,False,False,False,1,2219
"### | الباب الثاني في ذكر مذاهب العلماء في قبول الحديث المرسل والاحتجاج به أو رده)
",000,False,000,False,False,False,1,3953
"### | الباب الثالث في ذكر الأدلة الدالة للأقوال المتقدمة
",000,False,000,False,False,False,1,9603
"### | الباب الرابع في فروع وفوائد وتنبيهات وأمثله يذنب بها ما تقدم وتتم الفائدة إن شاء الله تعالى)
",000,False,000,False,False,False,1,9160
"### | الباب الخامس في بيان المراسيل الخفي إرسالها
",000,False,000,False,False,False,1,3529
"### | الباب السادس في سياقه ذكر الرواة المحكوم على روايتهم بالإرسال عن ذلك الشيخ المعين
",000,False,000,False,False,False,1,41614
"### || حرف الألف
",000,False,000,False,False,False,2,2015
"### || حرف الباء
",000,False,000,False,False,False,2,519
"### || حرف التاء
",000,False,000,False,False,False,2,71
"### || حرف الثاء
",000,False,000,False,False,False,2,404
"### || حرف الجيم
",000,False,000,False,False,False,2,1022
"### || حرف الحاء
",000,False,000,False,False,False,2,3087
"### || حرف الخاء
",000,False,000,False,False,False,2,763
"### || حرف الدال
",000,False,000,False,False,False,2,49
"### || حرف الذال
",000,False,000,False,False,False,2,53
"### || حرف الراء
",000,False,000,False,False,False,2,471
"### || حرف الزاي
",000,False,000,False,False,False,2,812
"### || حرف السين
",000,False,000,False,False,False,2,3621
"### || حرف الشين
",000,False,000,False,False,False,2,945
"### || حرف الصاد
",000,False,000,False,False,False,2,263
"### || حرف الضاد
",000,False,000,False,False,False,2,247
"### || حرف الطاء
",000,False,000,False,False,False,2,476
"### || حرف الظاء
",000,False,000,False,False,False,2,52
"### || حرف العين
",000,False,000,False,False,False,2,10792
"### || حرف الغين
",000,False,000,False,False,False,2,140
"### || حرف الفاء
",000,False,000,False,False,False,2,227
"### || حرف القاف
",000,False,000,False,False,False,2,1362
"### || حرف الكاف
",000,False,000,False,False,False,2,394
"### || حرف اللام
",000,False,000,False,False,False,2,160
"### || حرف الميم
",000,False,000,False,False,False,2,6621
"### || حرف النون
",000,False,000,False,False,False,2,609
"### || حرف الهاء
",000,False,000,False,False,False,2,584
"### || حرف الواو
",000,False,000,False,False,False,2,292
"### || حرف اللام ألف
",000,False,000,False,False,False,2,25
"### || حرف الياء
",000,False,000,False,False,False,2,2164
"### ||  فصل في الكنى
",000,False,000,False,False,False,2,2814
"### || فصل فيما كان ms243 من ذلك عن النساء أو المبهمات
",000,False,000,False,False,False,2,579
"### | استدراك
",000,False,000,False,False,False,1,427
