string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,10
"### | سنة إحدى أربعين وسبعمائة
",741,year,000,False,741,024,1,714
"### || وفي ذي القعدة
",000,False,000,False,False,False,2,135
"### || 
",000,False,000,False,False,False,2,273
"### | سنة اثنتين وأربعين وسبعمائة
",742,year,000,False,742,023,1,508
"### | سنة ثلاث أربعين وسبعمائة
",743,year,000,False,743,022,1,466
"### | سنة أربع أربعين وسبعمائة
",744,year,000,False,744,021,1,699
"### || فى رجب
",000,False,000,False,False,False,2,15
"### || وفى منتصف شعبان
",000,False,000,False,False,False,2,31
"### || وفيها
",000,False,000,False,False,False,2,24
"### || وفى شوال
",000,False,000,False,False,False,2,19
"### || وفي مستهل ربيع الآخر
",000,False,000,False,False,False,2,628
"### | سنة خمس وأربعين وسبعمائة
",745,year,000,False,745,020,1,618
"### || فى صفر
",000,False,000,False,False,False,2,23
"### || وفي ذى الحجة
",000,False,000,False,False,False,2,17
"### || وفي سادس رمضان
",000,False,000,False,False,False,2,580
"### | سنة ست وأربعين وسبعمائة
",746,year,000,False,746,019,1,482
"### || فى ليلة الخمسين رابع ربيع الآخر
",000,False,000,False,False,False,2,149
"### || وفى منتصف الشهر
",000,False,000,False,False,False,2,83
"### || وفي غرة جمادى الآخرة
",000,False,000,False,False,False,2,22
"### || وفى ثانى عشره
",000,False,000,False,False,False,2,73
"### || وفى رجب
",000,False,000,False,False,False,2,62
"### || وفى سابع عشر منه
",000,False,000,False,False,False,2,42
"### || وفى عاشر شعبان
",000,False,000,False,False,False,2,30
"### || وفى ذي القعدة
",000,False,000,False,False,False,2,30
"### || وفى ذى الحجة
",000,False,000,False,False,False,2,41
"### | سنة سبع وأربعين وسبعمائة
",747,year,000,False,747,018,1,583
"### || فى جمادى الأولى منها
",000,False,000,False,False,False,2,166
"### || وفي ربيع الآخر
",000,False,000,False,False,False,2,49
"### || وفى هذا الشهر
",000,False,000,False,False,False,2,29
"### || وفى رجب
",000,False,000,False,False,False,2,24
"### || وفى شعبان
",000,False,000,False,False,False,2,210
"### || وفيه
",000,False,000,False,False,False,2,111
"### || وفى شوال
",000,False,000,False,False,False,2,19
"### | سنة ثمان وأربعين وسبعمائة
",748,year,000,False,748,017,1,943
"### || فى جمادى الأولى
",000,False,000,False,False,False,2,293
"### || وفى جمادى الأولى
",000,False,000,False,False,False,2,57
"### || وفى ثامن عشر جمادى الآخرة
",000,False,000,False,False,False,2,410
"### || وفى ليلة الاثنين ثالث ذى القعدة
",000,False,000,False,False,False,2,200
"### | سنة تسع وأربعين وسبعمائة
",749,year,000,False,749,016,1,710
