string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,31
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,9
"### | 4- 
",000,False,000,False,False,False,1,11
"### | 5- 
",000,False,000,False,False,False,1,10
"### | مقدمة وتعريف
",000,False,000,False,False,False,1,6
"### | العنصر الأول: مقدمة تشمل
",000,False,000,False,False,False,1,8
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 1- 
",000,False,000,False,False,False,1,65
"### | 2- 
",000,False,000,False,False,False,1,48
"### | 3- 
",000,False,000,False,False,False,1,31
"### | 2- 
",000,False,000,False,False,False,1,101
"### | 3 - 
",000,False,000,False,False,False,1,11
"### | 1- 
",000,False,000,False,False,False,1,12
"### | 2- 
",000,False,000,False,False,False,1,49
"### | 3- 
",000,False,000,False,False,False,1,28
"### | 4- 
",000,False,000,False,False,False,1,37
"### | 5- 
",000,False,000,False,False,False,1,25
"### | 6- 
",000,False,000,False,False,False,1,40
"### | 7- 
",000,False,000,False,False,False,1,17
"### | 8- 
",000,False,000,False,False,False,1,20
"### | 9- 
",000,False,000,False,False,False,1,13
"### | العنصر الثاني: تعريف موجز بالإمام ابن أبي العز
",000,False,000,False,False,False,1,16
"### | 1- 
",000,False,000,False,False,False,1,60
"### | 2- 
",000,False,000,False,False,False,1,223
"### | 3- 
",000,False,000,False,False,False,1,230
"### | 4- 
",000,False,000,False,False,False,1,69
"### | 1- 
",000,False,000,False,False,False,1,45
"### | 2- 
",000,False,000,False,False,False,1,81
"### | 3- 
",000,False,000,False,False,False,1,117
"### | 4- 
",000,False,000,False,False,False,1,68
"### | 5- 
",000,False,000,False,False,False,1,47
"### | 1- 
",000,False,000,False,False,False,1,29
"### | 2- 
",000,False,000,False,False,False,1,21
"### | 3- 
",000,False,000,False,False,False,1,51
"### | 5- 
",000,False,000,False,False,False,1,41
"### | سورة الفاتحة
",000,False,000,False,False,False,1,10
"### | … 
",000,False,000,False,False,False,1,16
"### | … 
",000,False,000,False,False,False,1,297
"### | … 
",000,False,000,False,False,False,1,16
"### | سورة البقرة
",000,False,000,False,False,False,1,1068
"### | … 
",000,False,000,False,False,False,1,577
"### | … 
",000,False,000,False,False,False,1,195
"### | .... 
",000,False,000,False,False,False,1,15
"### | … 
",000,False,000,False,False,False,1,41
"### | سورة آل عمران
",000,False,000,False,False,False,1,262
"### | … 
",000,False,000,False,False,False,1,190
"### | … 
",000,False,000,False,False,False,1,105
"### | … 
",000,False,000,False,False,False,1,1172
"### | سورة النساء
",000,False,000,False,False,False,1,167
"### | سورة المائدة
",000,False,000,False,False,False,1,663
"### | سورة الأنعام
",000,False,000,False,False,False,1,234
"### | .... 
",000,False,000,False,False,False,1,372
"### | 
",000,False,000,False,False,False,1,0
"### | سورة الأعراف
",000,False,000,False,False,False,1,1255
"### | … 
",000,False,000,False,False,False,1,58
"### | سورة الأعراف
",000,False,000,False,False,False,1,77
"### | سورة التوبة
",000,False,000,False,False,False,1,208
"### | … 
",000,False,000,False,False,False,1,98
