string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | المقدمة
",000,False,000,False,False,False,1,981
"### | [فصل أول من صنف في الأصول]
",000,False,000,False,False,False,1,285
"### | [فصل في بيان شرف علم الأصول]
",000,False,000,False,False,False,1,592
"### | [المقدمات]
",000,False,000,False,False,False,1,2904
"### | [فصل الغرض من علم الأصول وحقيقته ومادته وموضوعه ومسائله]
",000,False,000,False,False,False,1,1078
"### | [مفهوم الدليل]
",000,False,000,False,False,False,1,613
"### | [أقسام الدليل]
",000,False,000,False,False,False,1,779
"### | [مسألة أدلة العقول]
",000,False,000,False,False,False,1,339
"### | [مفهوم النظر]
",000,False,000,False,False,False,1,388
"### | [أقسام النظر]
",000,False,000,False,False,False,1,611
"### | [مسألة النظر مكتسب]
",000,False,000,False,False,False,1,227
"### | [مسألة العلم الحاصل عقب النظر]
",000,False,000,False,False,False,1,95
"### | [مسألة النظر واجب شرعا]
",000,False,000,False,False,False,1,615
"### | [مسألة النظر الفاسد لا يستلزم الجهل]
",000,False,000,False,False,False,1,349
"### | [مسألة في العلم]
",000,False,000,False,False,False,1,597
"### | [مسألة تفاوت العلوم]
",000,False,000,False,False,False,1,627
"### | [مسألة العلم إما قديم وإما حادث]
",000,False,000,False,False,False,1,946
"### | [الرؤيا الصالحة]
",000,False,000,False,False,False,1,206
"### | [فصل في مراتب العلوم]
",000,False,000,False,False,False,1,463
"### | [مسألة الاختلاف في المحسات]
",000,False,000,False,False,False,1,136
"### | [مسألة تعلق العلم بأكثر من معلوم واحد]
",000,False,000,False,False,False,1,91
"### | [مسألة هل يقارن العلم بالجملة الجهل بالتفصيل]
",000,False,000,False,False,False,1,376
"### | [مسألة هل يوجد علم لا معلوم له]
",000,False,000,False,False,False,1,27
"### | [مسألة طرق معرفة الأشياء]
",000,False,000,False,False,False,1,527
"### | [مسألة الجهل]
",000,False,000,False,False,False,1,465
"### | [مسألة الظن]
",000,False,000,False,False,False,1,163
"### | [مسألة الظن طريق الحكم]
",000,False,000,False,False,False,1,108
"### | [مسألة تفاوت الظنون]
",000,False,000,False,False,False,1,206
"### | [مسألة أقسام الظن]
",000,False,000,False,False,False,1,84
"### | [مسألة الشك]
",000,False,000,False,False,False,1,648
"### | [مسألة الشك لا يبنى عليه حكم]
",000,False,000,False,False,False,1,33
"### | [مسألة الوهم]
",000,False,000,False,False,False,1,66
"### | [مسألة السهو والخطأ]
",000,False,000,False,False,False,1,51
"### | [خاتمة]
",000,False,000,False,False,False,1,299
"### | [مسألة استعمال الظن بمعنى العلم]
",000,False,000,False,False,False,1,82
"### | [فصل ms0057 العقل]
",000,False,000,False,False,False,1,868
"### | [العقل ضربان]
",000,False,000,False,False,False,1,605
"### | [الحد النظر في حقيقته وأقسامه وشروط صحته]
",000,False,000,False,False,False,1,379
"### | [مذاهب اقتناص الحد]
",000,False,000,False,False,False,1,386
"### | [مسألة صعوبة الحد]
",000,False,000,False,False,False,1,876
"### | [الحد الحقيقي والحد الرسمي]
",000,False,000,False,False,False,1,892
"### | [أقسام الحد]
",000,False,000,False,False,False,1,435
"### | [شروط صحة الحد]
",000,False,000,False,False,False,1,233
"### | [الخفاء هل يعتبر الخفاء بالنسبة إلى الحاد أو إلى كل أحد]
",000,False,000,False,False,False,1,299
"### | [فرع التحديد بما يجري مجرى التقسيم]
",000,False,000,False,False,False,1,485
"### | [مسألة الزيادة والنقصان في الحد]
",000,False,000,False,False,False,1,114
"### | [فائدة إعراب الصفات في الحدود]
",000,False,000,False,False,False,1,173
"### | [القسمة حدها وأنواعها وشروط صحتها]
",000,False,000,False,False,False,1,170
"### | [شروط صحة القسمة]
",000,False,000,False,False,False,1,83
"### | [مسألة توقف المطلوب التصديقي على مقدمتين]
",000,False,000,False,False,False,1,187
"### | [مسألة الموضوع والمحمول]
",000,False,000,False,False,False,1,171
"### | [مسألة النتيجة تتبع المقدمات]
",000,False,000,False,False,False,1,39
"### | [الأحكام]
",000,False,000,False,False,False,1,953
"### | [مسألة نفي الأحكام الشرعية]
",000,False,000,False,False,False,1,309
"### | [مسألة الحكم هل هو قطعي أم ظني]
",000,False,000,False,False,False,1,632
"### | [مفهوم الخطاب]
",000,False,000,False,False,False,1,206
"### | [خطاب التكليف وخطاب الوضع]
",000,False,000,False,False,False,1,715
