string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,188
"### | شواهد الحديث
",000,False,000,False,False,False,1,199
"### | السبب الأول
",000,False,000,False,False,False,1,120
"### | من أعظم شرائطه
",000,False,000,False,False,False,1,11
"### | من الله تعالى
",000,False,000,False,False,False,1,114
"### | الله يحب الملحين فى الدعاء
",000,False,000,False,False,False,1,88
"### | من أهم ما يسأل العبد ربه مغفرة ذنوبه
",000,False,000,False,False,False,1,53
"### | سبب صرف الإجابة عن العبد
",000,False,000,False,False,False,1,167
"### | من أعظم أسباب المغفرة
",000,False,000,False,False,False,1,162
"### | ذنوب العبد وإن عظمت
",000,False,000,False,False,False,1,185
"### | السبب الثانى
",000,False,000,False,False,False,1,42
"### | بيان معنى الاستغفار
",000,False,000,False,False,False,1,107
"### | الاستغفار يقرن بالتوبة
",000,False,000,False,False,False,1,350
"### | قد يكون الاستغفار مانعا من الاجابة
",000,False,000,False,False,False,1,152
"### | الاستغفار التام الموجب للمغفرة
",000,False,000,False,False,False,1,142
"### | هل يجوز أن يزيد العبد فى استغفاره
",000,False,000,False,False,False,1,14
"### | استغفر الله وأتوب إليه
",000,False,000,False,False,False,1,289
"### | الزيادة على قوله
",000,False,000,False,False,False,1,77
"### | أفضل أنواع الاستغفار
",000,False,000,False,False,False,1,126
"### | من انواع الاستغفار
",000,False,000,False,False,False,1,132
"### | كم يستغفر فى اليوم ms09
",000,False,000,False,False,False,1,152
"### | دواء الذنوب الاستغفار
",000,False,000,False,False,False,1,108
"### | طلب الاستغفار ممن قلت ذنوبه
",000,False,000,False,False,False,1,180
"### | السبب الثالث
",000,False,000,False,False,False,1,100
"### | تحقيق التوحيد يوجب مغفرة الذنوب
",000,False,000,False,False,False,1,198
"### | التوحيد يطهر القلب
",000,False,000,False,False,False,1,64
