string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [تفسير ابن عرفة برواية الأبي]
",000,False,000,False,False,False,1,560
"### | تفسير الاستعاذة
",000,False,000,False,False,False,1,402
"### | تفسير البسملة
",000,False,000,False,False,False,1,1466
"### | تفسير سورة الفاتحة
",000,False,000,False,False,False,1,1862
"### | سورة البقرة
",000,False,000,False,False,False,1,88462
"### | سورة آل عمران
",000,False,000,False,False,False,1,17274
"### | ..... 
",000,False,000,False,False,False,1,482
"### | .... 
",000,False,000,False,False,False,1,8868
"### | ..... 
",000,False,000,False,False,False,1,382
"### | ..... 
",000,False,000,False,False,False,1,2674
"### | ..... 
",000,False,000,False,False,False,1,1481
"### | سورة النساء
",000,False,000,False,False,False,1,21586
"### | سورة المائدة 
",000,False,000,False,False,False,1,15916
"### | سورة الأنعام
",000,False,000,False,False,False,1,18369
"### | سورة الأعراف
",000,False,000,False,False,False,1,7372
"### | ...................... 
",000,False,000,False,False,False,1,9329
"### | سورة الأنفال
",000,False,000,False,False,False,1,4108
"### | سورة التوبة 
",000,False,000,False,False,False,1,10676
"### | سورة يونس - 
",000,False,000,False,False,False,1,4798
"### | سورة هود - 
",000,False,000,False,False,False,1,4992
"### | سورة يوسف
",000,False,000,False,False,False,1,4620
"### | ..... 
",000,False,000,False,False,False,1,4820
"### | ............... 
",000,False,000,False,False,False,1,2686
"### | سورة الرعد
",000,False,000,False,False,False,1,12296
"### | سورة الحجر
",000,False,000,False,False,False,1,1352
"### | سورة النحل
",000,False,000,False,False,False,1,14280
"### | سورة الإسراء
",000,False,000,False,False,False,1,6145
"### | سورة الكهف
",000,False,000,False,False,False,1,7464
"### | سورة مريم 
",000,False,000,False,False,False,1,6874
"### | سورة طه
",000,False,000,False,False,False,1,5249
"### | سورة الأنبياء 
",000,False,000,False,False,False,1,4821
"### | سورة الحج
",000,False,000,False,False,False,1,6143
"### | سورة المؤمنين
",000,False,000,False,False,False,1,5060
"### | سورة النور
",000,False,000,False,False,False,1,2413
"### | سورة الفرقان
",000,False,000,False,False,False,1,1559
"### | سورة الشعراء
",000,False,000,False,False,False,1,3335
"### | سورة النمل
",000,False,000,False,False,False,1,3502
"### | سورة القصص
",000,False,000,False,False,False,1,1492
"### | سورة لقمان
",000,False,000,False,False,False,1,1879
"### | سورة السجدة
",000,False,000,False,False,False,1,1909
"### | سورة الأحزاب
",000,False,000,False,False,False,1,7597
"### | سورة سبإ
",000,False,000,False,False,False,1,2880
"### | سورة فاطر
",000,False,000,False,False,False,1,3219
"### | سورة (يس)
",000,False,000,False,False,False,1,6058
"### | سورة (والصافات صفا)
",000,False,000,False,False,False,1,1542
"### | سورة (ص)
",000,False,000,False,False,False,1,2203
"### | سورة الزمر
",000,False,000,False,False,False,1,3599
"### | سورة غافر 
",000,False,000,False,False,False,1,3104
"### | سورة فصلت
",000,False,000,False,False,False,1,2205
"### | سورة الشورى
",000,False,000,False,False,False,1,873
"### | سورة الزخرف
",000,False,000,False,False,False,1,1781
"### | سورة الدخان
",000,False,000,False,False,False,1,201
"### | سورة الجاثية
",000,False,000,False,False,False,1,447
"### | سورة الأحقاف
",000,False,000,False,False,False,1,1409
"### | سورة محمد - 
",000,False,000,False,False,False,1,2461
"### | سورة الفتح
",000,False,000,False,False,False,1,710
"### | سورة الحجرات
",000,False,000,False,False,False,1,4333
"### | سورة (ق)
",000,False,000,False,False,False,1,3093
"### | سورة الذاريات
",000,False,000,False,False,False,1,3025
"### | سورة الطور
",000,False,000,False,False,False,1,3798
"### | سورة النجم
",000,False,000,False,False,False,1,4568
"### | سورة القمر
",000,False,000,False,False,False,1,3270
"### | سورة الرحمن -
",000,False,000,False,False,False,1,4405
"### | سورة الواقعة
",000,False,000,False,False,False,1,3892
"### | سورة الحديد
",000,False,000,False,False,False,1,6167
"### | سورة المجادلة
",000,False,000,False,False,False,1,5258
"### | سورة الحشر
",000,False,000,False,False,False,1,6032
"### | سورة الممتحنة
",000,False,000,False,False,False,1,2778
"### | سورة الصف
",000,False,000,False,False,False,1,2319
"### | سورة الجمعة
",000,False,000,False,False,False,1,1763
"### | سورة التغابن
",000,False,000,False,False,False,1,2015
"### | سورة الطلاق
",000,False,000,False,False,False,1,2141
"### | سورة التحريم
",000,False,000,False,False,False,1,1359
"### | سورة الملك
",000,False,000,False,False,False,1,3288
"### | سورة (ن والقلم)
",000,False,000,False,False,False,1,2158
"### | سورة ms1529 الحاقة
",000,False,000,False,False,False,1,2559
"### | سورة المعارج
",000,False,000,False,False,False,1,1909
"### | سورة نوح - 
",000,False,000,False,False,False,1,2802
"### | سورة الجن
",000,False,000,False,False,False,1,2140
"### | سورة المزمل
",000,False,000,False,False,False,1,1586
"### | سورة المدثر
",000,False,000,False,False,False,1,1609
"### | سورة القيامة
",000,False,000,False,False,False,1,930
"### | سورة الإنسان
",000,False,000,False,False,False,1,858
"### | سورة المرسلات
",000,False,000,False,False,False,1,159
"### | سورة عم
",000,False,000,False,False,False,1,100
"### | سورة النازعات
",000,False,000,False,False,False,1,122
"### | سورة عبس 
",000,False,000,False,False,False,1,98
"### | سورة (التكوير)
",000,False,000,False,False,False,1,69
"### | سورة الانفطار
",000,False,000,False,False,False,1,81
"### | سورة المطففين
",000,False,000,False,False,False,1,74
"### | سورة الانشقاق
",000,False,000,False,False,False,1,43
"### | سورة البروج
",000,False,000,False,False,False,1,50
"### | سورة الطارق
",000,False,000,False,False,False,1,223
"### | سورة الأعلى 
",000,False,000,False,False,False,1,103
"### | سورة الغاشية
",000,False,000,False,False,False,1,21
"### | سورة الفجر
",000,False,000,False,False,False,1,24
"### | سورة الليل
",000,False,000,False,False,False,1,17
"### | سورة الضحى
",000,False,000,False,False,False,1,508
"### | سورة (والعاديات ضبحا) 
",000,False,000,False,False,False,1,478
"### | سورة (القارعة ما القارعة)
",000,False,000,False,False,False,1,649
"### | سورة (ألهاكم التكاثر)
",000,False,000,False,False,False,1,602
"### | سورة (والعصر (1) إن الإنسان لفي خسر 
",000,False,000,False,False,False,1,173
"### | سورة (أرأيت الذي يكذب بالدين 
",000,False,000,False,False,False,1,1024
"### | سورة (إنا أعطيناك الكوثر 
",000,False,000,False,False,False,1,342
"### | سورة (قل يا أيها الكافرون 
",000,False,000,False,False,False,1,585
"### | سورة النصر
",000,False,000,False,False,False,1,582
"### | سورة (تبت يدا أبي لهب 
",000,False,000,False,False,False,1,578
"### | سورة الإخلاص
",000,False,000,False,False,False,1,928
