string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | غاية المقصد فى زوائد المسند
",000,False,000,False,False,False,1,320
"### | 1 - 
",000,False,000,False,False,False,1,5
"### | [ص: 30]
",000,False,000,False,False,False,1,4
"### | 2 - 
",000,False,000,False,False,False,1,5
"### | 3 - 
",000,False,000,False,False,False,1,5
"### | 4 - 
",000,False,000,False,False,False,1,5
"### | 5 - 
",000,False,000,False,False,False,1,23
"### | 6 - 
",000,False,000,False,False,False,1,11
"### | 7 - 
",000,False,000,False,False,False,1,5
"### | 8 - 
",000,False,000,False,False,False,1,5
"### | 9 - 
",000,False,000,False,False,False,1,15
"### | 10 - 
",000,False,000,False,False,False,1,5
"### | 11 - 
",000,False,000,False,False,False,1,9
"### | 12 - 
",000,False,000,False,False,False,1,5
"### | 13 - 
",000,False,000,False,False,False,1,5
"### | 14 - 
",000,False,000,False,False,False,1,5
"### | 15 - 
",000,False,000,False,False,False,1,5
"### | 16 - 
",000,False,000,False,False,False,1,7
"### | 17 - 
",000,False,000,False,False,False,1,13
"### | 18 - 
",000,False,000,False,False,False,1,5
"### | 19 - 
",000,False,000,False,False,False,1,5
"### | 20 - 
",000,False,000,False,False,False,1,9
"### | 21 - 
",000,False,000,False,False,False,1,7
"### | 22 - 
",000,False,000,False,False,False,1,5
"### | 23 - 
",000,False,000,False,False,False,1,5
"### | 24 - 
",000,False,000,False,False,False,1,5
"### | 25 - 
",000,False,000,False,False,False,1,17
"### | 26 - 
",000,False,000,False,False,False,1,13
"### | [ص: 31]
",000,False,000,False,False,False,1,4
"### | 27 - 
",000,False,000,False,False,False,1,5
"### | 28 - 
",000,False,000,False,False,False,1,5
"### | 29 - 
",000,False,000,False,False,False,1,5
"### | 30 - 
",000,False,000,False,False,False,1,5
"### | 31 - 
",000,False,000,False,False,False,1,7
"### | 32 - 
",000,False,000,False,False,False,1,5
"### | 33 - 
",000,False,000,False,False,False,1,5
"### | 34 - 
",000,False,000,False,False,False,1,5
"### | 35 - 
",000,False,000,False,False,False,1,5
"### | 36 - 
",000,False,000,False,False,False,1,5
"### | 37 - 
",000,False,000,False,False,False,1,107
"### | كتاب الإيمان
",000,False,000,False,False,False,1,4
"### | باب فيمن شهد أن لا إله إلا الله
",000,False,000,False,False,False,1,10
"### | 1 - 
",000,False,000,False,False,False,1,224
"### | 2 - 
",000,False,000,False,False,False,1,26
"### | 3 - 
",000,False,000,False,False,False,1,99
"### | 4 - 
",000,False,000,False,False,False,1,43
"### | [ص: 34]
",000,False,000,False,False,False,1,71
"### | 5- 
",000,False,000,False,False,False,1,22
"### | 6 - 
",000,False,000,False,False,False,1,29
"### | 7 - 
",000,False,000,False,False,False,1,85
"### | 8 - 
",000,False,000,False,False,False,1,9
"### | 9 - 
",000,False,000,False,False,False,1,38
"### | 10 - 
",000,False,000,False,False,False,1,87
