string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الباب الأول ذكر انتساب الملوك بني الرسول وكيف كان السبب في دخولهم اليمن واستقلالهم بالملك فيها.
",000,False,000,False,False,False,1,1293
"### || فصل
",000,False,000,False,False,False,2,432
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,1
"### | ذكر خراب السد
",000,False,000,False,False,False,1,570
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,503
"### | فصل
",000,False,000,False,False,False,1,182
"### | فصل
",000,False,000,False,False,False,1,2
"### | ذكر ملوك الشام الجاهلية من غسان
",000,False,000,False,False,False,1,712
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,1671
"### | فصل
",000,False,000,False,False,False,1,13
"### | ذكر بني رسول ملوك اليمن في الإسلام
",000,False,000,False,False,False,1,3391
"### | الباب الثاني
",000,False,000,False,False,False,1,4
"### | ذكر قيام الدولة المنصورية
",000,False,000,False,False,False,1,8
"### | وأسبابها
",000,False,000,False,False,False,1,388
"### | فصل
",000,False,000,False,False,False,1,8743
"### | الباب الثالث
",000,False,000,False,False,False,1,4
"### | أخبار الدولة المظفرية وفتوحها
",000,False,000,False,False,False,1,41320
"### | الباب الرابع
",000,False,000,False,False,False,1,4
"### | ذكر قيام الدولة الأشرفية الصغرى
",000,False,000,False,False,False,1,2671
"### | الباب الخامس
",000,False,000,False,False,False,1,4
"### | ذكر أخبار الدولة المؤيدية
",000,False,000,False,False,False,1,8
"### | وما كان فيها
",000,False,000,False,False,False,1,29443
"### | الباب السادس
",000,False,000,False,False,False,1,4
"### | ذكر أخبار الدولة المجاهدية
",000,False,000,False,False,False,1,26452
"### | الباب السابع
",000,False,000,False,False,False,1,4
"### | ذكر قيام الدولة الأفضلية
",000,False,000,False,False,False,1,8
"### | ووقائعها
",000,False,000,False,False,False,1,7608
"### | الباب الثامن
",000,False,000,False,False,False,1,4
"### | ذكر قيام الدولة الأشرفية الكبرى
",000,False,000,False,False,False,1,10
"### | وبعض أيامها
",000,False,000,False,False,False,1,32012
