string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة المؤلف
",000,False,000,False,False,False,1,777
"### | المقدمة في ذكر أمور يحتاج إليها في علم الأنساب ومعرفة القبائل
",000,False,000,False,False,False,1,2613
"### || الفصل الأول
",000,False,000,False,False,False,2,781
"### || الفصل الثاني
",000,False,000,False,False,False,2,378
"### || الفصل الثالث
",000,False,000,False,False,False,2,288
"### || الفصل الرابع
",000,False,000,False,False,False,2,518
"### || الفصل الخامس
",000,False,000,False,False,False,2,639
"### | المقصد في معرفة تفاصيل أنساب العرب
",000,False,000,False,False,False,1,25443
"### || الفصل الأول في ذكر عمود النسب النبوي وما يتفرع عنه من الأنساب
",000,False,000,False,False,False,2,1784
"### || الفصل الثاني من المقصد في ذكر عرب الزمان وتفصيل أنسابهم وأصولهم التي عنها تفرعوا، وبيان ديارهم التي عنها نزحوا، ومنازلهم التي فيها قطنوا
",000,False,000,False,False,False,2,23652
"### ||| القسم الأول:
",000,False,000,False,False,False,3,11939
"### |||| القبيلة الأولى:
",000,False,000,False,False,False,4,2373
"### ||||| العمارة الثانية:
",000,False,000,False,False,False,5,217
"### ||||| العمارة الثالثة:
",000,False,000,False,False,False,5,515
"### ||||| العمارة الرابعة:
",000,False,000,False,False,False,5,147
"### ||||| العمارة الخامسة:
",000,False,000,False,False,False,5,98
"### ||||| العمارة السادسة:
",000,False,000,False,False,False,5,187
"### ||||| العمارة السابعة:
",000,False,000,False,False,False,5,101
"### ||||| العمارة الثامنة:
",000,False,000,False,False,False,5,142
"### |||| القبيلة الثانية من بني سبأ:
",000,False,000,False,False,False,4,8760
"### ||||| العمارة الأولى:
",000,False,000,False,False,False,5,2324
"### ||||| العمارة الثانية:
",000,False,000,False,False,False,5,418
"### ||||| العمارة الثالثة:
",000,False,000,False,False,False,5,101
"### ||||| العمارة الرابعة:
",000,False,000,False,False,False,5,3039
"### ||||| العمارة الثالثة:
",000,False,000,False,False,False,5,337
"### ||||| العمارة الرابعة:
",000,False,000,False,False,False,5,1585
"### ||||| العمارة الخامسة:
",000,False,000,False,False,False,5,264
"### ||||| العمارة السادسة:
",000,False,000,False,False,False,5,84
"### ||||| العمارة السابعة:
",000,False,000,False,False,False,5,105
"### ||||| العمارة الثامنة:
",000,False,000,False,False,False,5,497
"### |||| القبيلة الثالثة من بني سبأ:
",000,False,000,False,False,False,4,121
"### |||| القبيلة الرابعة من بني سبأ:
",000,False,000,False,False,False,4,47
"### |||| القبيلة الخامسة من بني سبأ:
",000,False,000,False,False,False,4,156
"### ||| القسم الثاني من العرب الموجودين الآن
",000,False,000,False,False,False,3,9900
"### |||| القبيلة الأولى:
",000,False,000,False,False,False,4,3141
"### |||| القبيلة الثانية:
",000,False,000,False,False,False,4,552
"### |||| القبيلة الثالثة:
",000,False,000,False,False,False,4,225
"### |||| القبيلة الرابعة:
",000,False,000,False,False,False,4,490
"### |||| القبيلة الخامسة:
",000,False,000,False,False,False,4,4945
"### ||| القسم الثالث من العرب المختلف في عروبتهم وهم البربر
",000,False,000,False,False,False,3,1725
"### |||| الأصل الأول: البرانس
",000,False,000,False,False,False,4,722
"### ||||| القبيلة الأولى:
",000,False,000,False,False,False,5,262
"### ||||| القبيلة الثانية:
",000,False,000,False,False,False,5,232
"### ||||| القبيلة الثالثة:
",000,False,000,False,False,False,5,216
"### |||| الأصل الثاني: من البربر: البتر
",000,False,000,False,False,False,4,933
"### ||||| القبيلة الأولى:
",000,False,000,False,False,False,5,514
"### ||||| القبيلة الثانية:
",000,False,000,False,False,False,5,404
