string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الجزء الاول
",000,False,000,False,False,False,1,10
"### | - تقديم-
",000,False,000,False,False,False,1,1530
"### | ننتقل الآن إلى كتاب الصبح نفسه لنتعرف على الغيض من فيض بحره الزاخر.
",000,False,000,False,False,False,1,26
"### | أولا: في تسمية الكتاب.
",000,False,000,False,False,False,1,198
"### | ثانيا: في مصادر صبح الأعشى ومنهج القلقشندي.
",000,False,000,False,False,False,1,1433
"### | ثالثا: أسلوب القلقشندي في الكتابة وشخصيته الأدبية 
",000,False,000,False,False,False,1,226
"### | .... 
",000,False,000,False,False,False,1,172
"### | رابعا: محتويات الكتاب.
",000,False,000,False,False,False,1,37
"### | أ- ففي المقدمة
",000,False,000,False,False,False,1,67
"### | ب- المقالة الأولى
",000,False,000,False,False,False,1,71
"### | ج- المقالة الثانية
",000,False,000,False,False,False,1,37
"### | د- المقالة الثالثة
",000,False,000,False,False,False,1,66
"### | ه- المقالة الرابعة
",000,False,000,False,False,False,1,161
"### | .... 
",000,False,000,False,False,False,1,23
"### | والمقالة الخامسة
",000,False,000,False,False,False,1,98
"### | ز- المقالة السادسة
",000,False,000,False,False,False,1,42
"### | ح- المقالة السابعة
",000,False,000,False,False,False,1,28
"### | ط- المقالة الثامنة
",000,False,000,False,False,False,1,57
"### | ك- المقالة العاشرة:
",000,False,000,False,False,False,1,47
"### | ل- الخاتمة
",000,False,000,False,False,False,1,146
"### | خامسا: مؤلفات القلقشندي.
",000,False,000,False,False,False,1,23
"### | 1- 
",000,False,000,False,False,False,1,13
"### | 2- 
",000,False,000,False,False,False,1,26
"### | 3- 
",000,False,000,False,False,False,1,21
"### | 4- 
",000,False,000,False,False,False,1,25
"### | 5- 
",000,False,000,False,False,False,1,22
"### | 6- 
",000,False,000,False,False,False,1,87
"### | سادسا: هذه الطبعة من «صبح الأعشى» .
",000,False,000,False,False,False,1,758
"### | [خطبة الكتاب]
",000,False,000,False,False,False,1,1236
"### | [المقدمة]
",000,False,000,False,False,False,1,2
"### | المقدمة في مباد ms0024 «1» يجب تقديمها قبل الخوض في كتابة الإنشاء وفيها خمسة أبواب
",000,False,000,False,False,False,1,3534
"### | المقدمة في المبادىء التي يجب تقديمها قبل الخوض في كتابة الإنشاء. وفيها خمسة أبواب:
",000,False,000,False,False,False,1,16
"### | الباب الأول في فضل الكتابة، ومدح فضلاء أهلها، وذم حمقاهم؛ وفيه فصلان
",000,False,000,False,False,False,1,22
"### | الفصل الأول في فضل الكتابة
",000,False,000,False,False,False,1,2366
"### | الفصل الثاني في مدح فضلاء الكتاب وذم حمقاهم
",000,False,000,False,False,False,1,892
"### | الباب الثاني من المقدمة
",000,False,000,False,False,False,1,41
"### | الفصل الأول في ذكر مدلولها وبيان معنى الإنشاء وإضافتها إليه ومرادفة التوقيع لكتابة الإنشاء في عرف الزمان، والتعبير عنها بصناعة الترسل
",000,False,000,False,False,False,1,659
