string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | CHECK [مقدمة المؤلف]
",000,False,000,False,False,False,1,1201
"### | AUTO ### || AUTO كتاب الملل والنحل باب الفرق الكفرية ( مسألة ) هي
",000,False,000,False,False,False,1,4319
"### || AUTO كتاب الملل والنحل باب الفرق الكفرية ( مسألة ) هي
",000,False,000,False,False,False,2,699
"### || AUTO باب الفرق الإسلامية .
",000,False,000,False,False,False,2,62
"### || AUTO ( مسألة ) وكان الناس في عهده صلى الله عليه وآله وسلم على دين
",000,False,000,False,False,False,2,340
"### || CHECK [مسألة الفرق الشيعية والفرقة الزيدية والإمامية]
",000,False,000,False,False,False,2,378
"### || CHECK [مسألة الفرقة الباطنية]
",000,False,000,False,False,False,2,178
"### || CHECK [مسألة فرقة الخوارج]
",000,False,000,False,False,False,2,89
"### || CHECK [مسألة المجبرة والفرقة السنية والمرجية]
",000,False,000,False,False,False,2,265
"### || CHECK [مسألة الحشوية وأصحاب الجمل]
",000,False,000,False,False,False,2,153
"### || CHECK [باب المعتزلة وطبقاتهم والعدلية وطبقاتهم العشر]
",000,False,000,False,False,False,2,754
"### || CHECK [مسألة الفرق التي أجملها رسول الله صلى الله عليه]
",000,False,000,False,False,False,2,1400
"### | AUTO ### || AUTO كتاب القلائد في تصحيح العقائد وفيه كتب ستة كتاب
",000,False,000,False,False,False,1,11900
"### || AUTO كتاب القلائد في تصحيح العقائد وفيه كتب ستة كتاب
",000,False,000,False,False,False,2,461
"### || AUTO ( فصل ) في صفاته تعالى ( مسألة ) وصحة الفعل دليل كونه قادرا
",000,False,000,False,False,False,2,788
"### || AUTO فصل ) في الأسماء ومعانيها ( مسألة ) الوصف والصفة عبارة عن
",000,False,000,False,False,False,2,498
"### || AUTO كتاب العدل .
",000,False,000,False,False,False,2,291
"### || CHECK [فصل في الإرادة]
",000,False,000,False,False,False,2,236
"### || AUTO ( فصل ) في الكلام ( مسألة ) ( له ) وهو متكلم بكلام .
",000,False,000,False,False,False,2,124
"### || AUTO ( فصل ) في خلق الأفعال ( مسألة ) : فعل العبد غير مخلوق فيه ،
",000,False,000,False,False,False,2,597
"### || AUTO ( مسألة ) تكليف ما لا يطاق قبيح ، وكانت المجبرة لا تلتزمه
",000,False,000,False,False,False,2,32
"### || CHECK [مسألة ولا يوصف الله تعالى بأنه قوى الكافر على الكفر]
",000,False,000,False,False,False,2,77
"### || AUTO فصل في الأجل والرزق .
",000,False,000,False,False,False,2,130
"### || CHECK [مسألة الحرام ليس برزق]
",000,False,000,False,False,False,2,72
"### || CHECK [مسألة التكسب]
",000,False,000,False,False,False,2,56
"### || CHECK [فصل لا يجوز إطلاق أن ms0031 المعاصي بقضاء الله]
",000,False,000,False,False,False,2,81
"### || AUTO ( مسألة ) ولا يطلق على الله أنه يضل الخلق .
",000,False,000,False,False,False,2,56
"### || CHECK [فصل خلق الله الخلق ليتفضل عليهم]
",000,False,000,False,False,False,2,53
"### || CHECK [مسألة التفضل بالثواب]
",000,False,000,False,False,False,2,65
