string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة
",000,False,000,False,False,False,1,585
"### | 1- 
",000,False,000,False,False,False,1,35
"### | 2- 
",000,False,000,False,False,False,1,54
"### | 1- 
",000,False,000,False,False,False,1,56
"### | 2- 
",000,False,000,False,False,False,1,38
"### | 3- 
",000,False,000,False,False,False,1,37
"### | 4- 
",000,False,000,False,False,False,1,95
"### | 1- 
",000,False,000,False,False,False,1,14
"### | 2- 
",000,False,000,False,False,False,1,18
"### | 3- 
",000,False,000,False,False,False,1,16
"### | 4- 
",000,False,000,False,False,False,1,46
"### | 6- 
",000,False,000,False,False,False,1,16
"### | 7- 
",000,False,000,False,False,False,1,58
"### | 1- 
",000,False,000,False,False,False,1,16
"### | 2- 
",000,False,000,False,False,False,1,21
"### | 3- 
",000,False,000,False,False,False,1,23
"### | 4- 
",000,False,000,False,False,False,1,20
"### | 5- 
",000,False,000,False,False,False,1,17
"### | 3- 
",000,False,000,False,False,False,1,27
"### | 6- 
",000,False,000,False,False,False,1,31
"### | 7- 
",000,False,000,False,False,False,1,23
"### | 8- 
",000,False,000,False,False,False,1,20
"### | 9- 
",000,False,000,False,False,False,1,391
"### | 1- 
",000,False,000,False,False,False,1,9
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,39
"### | 4- 
",000,False,000,False,False,False,1,32
"### | 5- 
",000,False,000,False,False,False,1,11
"### | 6- 
",000,False,000,False,False,False,1,19
"### | 7- 
",000,False,000,False,False,False,1,23
"### | 8- 
",000,False,000,False,False,False,1,27
"### | 9- 
",000,False,000,False,False,False,1,34
"### | 10- 
",000,False,000,False,False,False,1,15
"### | 11- 
",000,False,000,False,False,False,1,33
"### | 12- 
",000,False,000,False,False,False,1,33
"### | 13- 
",000,False,000,False,False,False,1,29
"### | 14- 
",000,False,000,False,False,False,1,11
"### | 15- 
",000,False,000,False,False,False,1,17
"### | 16- 
",000,False,000,False,False,False,1,39
"### | 17- 
",000,False,000,False,False,False,1,28
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,15
"### | 3- 
",000,False,000,False,False,False,1,20
"### | 4- 
",000,False,000,False,False,False,1,17
"### | 5- 
",000,False,000,False,False,False,1,572
"### | 1- 
",000,False,000,False,False,False,1,21
"### | 2- 
",000,False,000,False,False,False,1,13
"### | 3- 
",000,False,000,False,False,False,1,23
"### | 4- 
",000,False,000,False,False,False,1,19
"### | 5- 
",000,False,000,False,False,False,1,15
"### | 6- 
",000,False,000,False,False,False,1,18
"### | 7- 
",000,False,000,False,False,False,1,24
"### | 8- 
",000,False,000,False,False,False,1,14
"### | مدخل
",000,False,000,False,False,False,1,83
"### | من باب الزكاة
",000,False,000,False,False,False,1,106
"### | من باب بيع الأصول والثمار
",000,False,000,False,False,False,1,80
"### | من باب الرهن
",000,False,000,False,False,False,1,138
"### | من باب الفلس
",000,False,000,False,False,False,1,130
"### | من باب الحجر
",000,False,000,False,False,False,1,190
"### | من باب الوكالة
",000,False,000,False,False,False,1,29
"### | من باب [الإقرار] 
",000,False,000,False,False,False,1,56
"### | من باب العارية
",000,False,000,False,False,False,1,50
"### | من باب الوقف
",000,False,000,False,False,False,1,28
"### | من1 باب الشهادات
",000,False,000,False,False,False,1,146
"### | من باب إحياء الموات
",000,False,000,False,False,False,1,37
"### | من كتاب الوصية
",000,False,000,False,False,False,1,19
"### | من كتاب النكاح
",000,False,000,False,False,False,1,104
"### | من باب الصداق
",000,False,000,False,False,False,1,46
"### | من باب الاستبراء
",000,False,000,False,False,False,1,46
"### | من باب الحضانة
",000,False,000,False,False,False,1,20
"### | من باب الجنايات
",000,False,000,False,False,False,1,95
"### | من باب القضاء
",000,False,000,False,False,False,1,23
"### | من باب الدعوى
",000,False,000,False,False,False,1,104
"### | من باب الشهادة
",000,False,000,False,False,False,1,89
"### | من باب الجزية
",000,False,000,False,False,False,1,34
"### | من باب العتق
",000,False,000,False,False,False,1,45
"### | من باب أمية الولد
",000,False,000,False,False,False,1,45
"### | مصادر ومراجع
",000,False,000,False,False,False,1,1442
