string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | المجلد الأول
",000,False,000,False,False,False,1,4
"### | خطبة الكتاب
",000,False,000,False,False,False,1,11435
"### | 1 - 
",000,False,000,False,False,False,1,43
"### | 2 - 
",000,False,000,False,False,False,1,39
"### | 3 - 
",000,False,000,False,False,False,1,34
"### | 4 - 
",000,False,000,False,False,False,1,21
"### | 5 - 
",000,False,000,False,False,False,1,15
"### | 6 - 
",000,False,000,False,False,False,1,14
"### | 7 - 
",000,False,000,False,False,False,1,31
"### | 8 - 
",000,False,000,False,False,False,1,40
"### | 9 - 
",000,False,000,False,False,False,1,32
"### | 10 - 
",000,False,000,False,False,False,1,7
"### | 11 - 
",000,False,000,False,False,False,1,19
"### | 12 - 
",000,False,000,False,False,False,1,23
"### | 13 - 
",000,False,000,False,False,False,1,23
"### | 14 - 
",000,False,000,False,False,False,1,15
"### | 15 - 
",000,False,000,False,False,False,1,11
"### | 16 - 
",000,False,000,False,False,False,1,23
"### | 17 - 
",000,False,000,False,False,False,1,15
"### | 18 - 
",000,False,000,False,False,False,1,17
"### | 19 - 
",000,False,000,False,False,False,1,13
"### | 20 - 
",000,False,000,False,False,False,1,13
"### | 21 - 
",000,False,000,False,False,False,1,41
"### | 22 - 
",000,False,000,False,False,False,1,11
"### | 23 - 
",000,False,000,False,False,False,1,24
"### | 24 - 
",000,False,000,False,False,False,1,13
"### | 25 - 
",000,False,000,False,False,False,1,19
"### | 26 - 
",000,False,000,False,False,False,1,5
"### | 27 - 
",000,False,000,False,False,False,1,25
"### | 28 - 
",000,False,000,False,False,False,1,13
"### | 29 - 
",000,False,000,False,False,False,1,43
"### | 30 - 
",000,False,000,False,False,False,1,11
"### | 31 - 
",000,False,000,False,False,False,1,9
"### | 32 - 
",000,False,000,False,False,False,1,13
"### | 33 - 
",000,False,000,False,False,False,1,30
"### | 34 - 
",000,False,000,False,False,False,1,25
"### | 35 - 
",000,False,000,False,False,False,1,11
"### | 36 - 
",000,False,000,False,False,False,1,27
"### | 37 - 
",000,False,000,False,False,False,1,29
"### | 38 - 
",000,False,000,False,False,False,1,8
"### | 39 - 
",000,False,000,False,False,False,1,18
"### | 40 - 
",000,False,000,False,False,False,1,38
"### | 41 - 
",000,False,000,False,False,False,1,19
"### | 42 - 
",000,False,000,False,False,False,1,39
"### | 43 - 
",000,False,000,False,False,False,1,68
"### | 44 - 
",000,False,000,False,False,False,1,21
"### | 45 - 
",000,False,000,False,False,False,1,20
"### | 46 - 
",000,False,000,False,False,False,1,19
"### | 47 - 
",000,False,000,False,False,False,1,9
"### | 48 - 
",000,False,000,False,False,False,1,55
"### | 49 - 
",000,False,000,False,False,False,1,13
"### | 50 - 
",000,False,000,False,False,False,1,5
"### | 51 - 
",000,False,000,False,False,False,1,77
"### | 1 - 
",000,False,000,False,False,False,1,34
"### | 2 - 
",000,False,000,False,False,False,1,17
"### | 3 - 
",000,False,000,False,False,False,1,43
"### | 4 - 
",000,False,000,False,False,False,1,18
"### | 6 - 
",000,False,000,False,False,False,1,31
"### | 7 - 
",000,False,000,False,False,False,1,50
"### | 8 - 
",000,False,000,False,False,False,1,90
"### | 9 - 
",000,False,000,False,False,False,1,16
"### | 10 - 
",000,False,000,False,False,False,1,25
"### | 11 - 
",000,False,000,False,False,False,1,26
"### | 12 - 
",000,False,000,False,False,False,1,5554
"### | حرف الألف
",000,False,000,False,False,False,1,4
"### | 1 - 
",000,False,000,False,False,False,1,101
"### | 2 - 
",000,False,000,False,False,False,1,64
"### | 3 - 
",000,False,000,False,False,False,1,46
"### | 4 - 
",000,False,000,False,False,False,1,33
"### | 5 - 
",000,False,000,False,False,False,1,167
"### | 6 - 
",000,False,000,False,False,False,1,45
"### | 7 - 
",000,False,000,False,False,False,1,184
"### | 8 - 
",000,False,000,False,False,False,1,181
"### | 9 - 
",000,False,000,False,False,False,1,35
"### | 10 - 
",000,False,000,False,False,False,1,208
"### | 11 - 
",000,False,000,False,False,False,1,524
"### | 12 - 
",000,False,000,False,False,False,1,71
"### | 13 - 
",000,False,000,False,False,False,1,136
"### | 14 - 
",000,False,000,False,False,False,1,548
"### | 15 - 
",000,False,000,False,False,False,1,162
"### | 16 - 
",000,False,000,False,False,False,1,55
"### | 17 - 
",000,False,000,False,False,False,1,23
"### | 18 - 
",000,False,000,False,False,False,1,99
"### | 19 - 
",000,False,000,False,False,False,1,103
"### | 20 - 
",000,False,000,False,False,False,1,73
"### | 21 - 
",000,False,000,False,False,False,1,13
"### | 22 - 
",000,False,000,False,False,False,1,70
"### | 23 - 
",000,False,000,False,False,False,1,33
"### | 24 - 
",000,False,000,False,False,False,1,54
"### | 25 - 
",000,False,000,False,False,False,1,48
"### | 26 - 
",000,False,000,False,False,False,1,27
"### | 27 - 
",000,False,000,False,False,False,1,66
"### | 28 - 
",000,False,000,False,False,False,1,31
"### | 29 - 
",000,False,000,False,False,False,1,75
"### | 30 - 
",000,False,000,False,False,False,1,80
"### | 31 - 
",000,False,000,False,False,False,1,25
"### | 32 - 
",000,False,000,False,False,False,1,155
"### | 33 - 
",000,False,000,False,False,False,1,29
"### | 34 - 
",000,False,000,False,False,False,1,41
"### | 35 - 
",000,False,000,False,False,False,1,97
"### | 36 - 
",000,False,000,False,False,False,1,132
"### | 37 - 
",000,False,000,False,False,False,1,41
"### | 38 - 
",000,False,000,False,False,False,1,34
"### | 39 - 
",000,False,000,False,False,False,1,76
"### | 40 - 
",000,False,000,False,False,False,1,77
"### | 41 - 
",000,False,000,False,False,False,1,489
"### | 42 - 
",000,False,000,False,False,False,1,15
"### | 43 - 
",000,False,000,False,False,False,1,49
"### | 44 - 
",000,False,000,False,False,False,1,162
"### | 45 - 
",000,False,000,False,False,False,1,74
"### | 46 - 
",000,False,000,False,False,False,1,72
"### | 47 - 
",000,False,000,False,False,False,1,496
"### | 48 - 
",000,False,000,False,False,False,1,81
"### | 49 - 
",000,False,000,False,False,False,1,49
"### | 50 - 
",000,False,000,False,False,False,1,36
"### | 51 - 
",000,False,000,False,False,False,1,41
"### | 52 - 
",000,False,000,False,False,False,1,89
