string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,143
"### | حديث اجتمع فيه خمسة من الصحابة يروي بعضهم عن بعض
",000,False,000,False,False,False,1,20
"### | 2 - 
",000,False,000,False,False,False,1,105
"### | حديث اجتمع فيه أربعة من الصحابة
",000,False,000,False,False,False,1,12
"### | 3 - 
",000,False,000,False,False,False,1,170
"### | حديث اجتمع فيه أربع صحابيات ثنتان من أزواجه صلى الله عليه وسلم وثنتان ربيبتان له
",000,False,000,False,False,False,1,30
"### | 4 - 
",000,False,000,False,False,False,1,120
"### | حديث فيه رواية صحابي عن تابعي ms2 عن صحابي
",000,False,000,False,False,False,1,16
"### | 5 - 
",000,False,000,False,False,False,1,68
"### | حديث من رواية أحمد بن حنبل، عن الشافعي، عن مالك
",000,False,000,False,False,False,1,20
"### | 6 - 
",000,False,000,False,False,False,1,45
"### | 7 - 
",000,False,000,False,False,False,1,40
"### | 8 - 
",000,False,000,False,False,False,1,42
"### | 9 - 
",000,False,000,False,False,False,1,17
"### | 10 - 
",000,False,000,False,False,False,1,30
"### | 11 - 
",000,False,000,False,False,False,1,58
"### | حديث فيه رواية أبي حنيفة، عن مالك وهو المسئول عنه
",000,False,000,False,False,False,1,20
"### | 12 - 
",000,False,000,False,False,False,1,101
"### | حديث آخر كذلك
",000,False,000,False,False,False,1,6
"### | 13 - 
",000,False,000,False,False,False,1,119
"### | حديث فيه رواية الشافعي عن محمد بن الحسن، عن أبي يوسف
",000,False,000,False,False,False,1,22
"### | 14 - 
",000,False,000,False,False,False,1,76
"### | حديث من رواية الشافعي، عن مسلم، عن ابن جريج، عن الثوري، عن مالك، ففيه بينه وبين مالك ثلاثة أنفس
",000,False,000,False,False,False,1,38
"### | 15 - 
",000,False,000,False,False,False,1,40
"### | حديث فيه رواية المازني، عن سيبويه، عن الخليل بن أحمد
",000,False,000,False,False,False,1,20
"### | 16 - 
",000,False,000,False,False,False,1,94
"### | حديث فيه رواية ابن أبي دريد، عن أبي حاتم، عن الأصمعي، عن أبي عمرو بن العلاء
",000,False,000,False,False,False,1,32
"### | 17 - 
",000,False,000,False,False,False,1,180
"### | حديث في إسناده جماعة من الشعراء المشاهير
",000,False,000,False,False,False,1,14
"### | 18 - 
",000,False,000,False,False,False,1,154
"### | حديث في إسناده جماعة من الكتاب
",000,False,000,False,False,False,1,12
"### | 19 - 
",000,False,000,False,False,False,1,145
"### | حديث في إسناده من الخلفاء
",000,False,000,False,False,False,1,10
"### | 20 - 
",000,False,000,False,False,False,1,191
