string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة
",000,False,000,False,False,False,1,2411
"### | (من وجوه الإعجاز)
",000,False,000,False,False,False,1,6
"### | الوجه الأول من وجوه إعجازه
",000,False,000,False,False,False,1,2472
"### | الوجه الثاني من وجوه إعجازه
",000,False,000,False,False,False,1,39
"### | الوجه الثالث من وجوه إعجازه
",000,False,000,False,False,False,1,646
"### | وهل يجوز استعمال السجع في القرآن، 
",000,False,000,False,False,False,1,286
"### | : وقد تتبعت الأحكام التي وقعت في آخر الآي مراعاة للمناسبة فعثرت
",000,False,000,False,False,False,1,25
"### | 1 - 
",000,False,000,False,False,False,1,54
"### | 2 - 
",000,False,000,False,False,False,1,26
"### | 3 - 
",000,False,000,False,False,False,1,15
"### | 4 - 
",000,False,000,False,False,False,1,23
"### | 5 - 
",000,False,000,False,False,False,1,22
"### | 6 - 
",000,False,000,False,False,False,1,18
"### | 7 - 
",000,False,000,False,False,False,1,19
"### | 8 - 
",000,False,000,False,False,False,1,21
"### | 9 - 
",000,False,000,False,False,False,1,35
"### | 10 - 
",000,False,000,False,False,False,1,12
"### | 11 - 
",000,False,000,False,False,False,1,15
"### | 12 - 
",000,False,000,False,False,False,1,43
"### | 13 - 
",000,False,000,False,False,False,1,82
"### | 14 - 
",000,False,000,False,False,False,1,49
"### | 15 - 
",000,False,000,False,False,False,1,25
"### | 16 - 
",000,False,000,False,False,False,1,24
"### | 17 - 
",000,False,000,False,False,False,1,51
"### | 18 - 
",000,False,000,False,False,False,1,31
"### | 19 - 
",000,False,000,False,False,False,1,39
"### | 20 - 
",000,False,000,False,False,False,1,12
"### | 21 - 
",000,False,000,False,False,False,1,31
"### | 22 - 
",000,False,000,False,False,False,1,136
"### | 24 - 
",000,False,000,False,False,False,1,29
"### | 25 - 
",000,False,000,False,False,False,1,20
"### | 26 - 
",000,False,000,False,False,False,1,15
"### | 27 - 
",000,False,000,False,False,False,1,28
"### | 28 - 
",000,False,000,False,False,False,1,21
"### | 29 - 
",000,False,000,False,False,False,1,19
"### | 30 - 
",000,False,000,False,False,False,1,22
"### | 31 - 
",000,False,000,False,False,False,1,20
"### | 32 - 
",000,False,000,False,False,False,1,12
"### | 33 - 
",000,False,000,False,False,False,1,32
"### | 34 - 
",000,False,000,False,False,False,1,15
"### | 35 - 
",000,False,000,False,False,False,1,24
"### | 36 - 
",000,False,000,False,False,False,1,25
"### | 37 - 
",000,False,000,False,False,False,1,17
"### | 38 - 
",000,False,000,False,False,False,1,23
"### | 39 - 
",000,False,000,False,False,False,1,19
"### | 40 - 
",000,False,000,False,False,False,1,337
"### | تنبيهات
",000,False,000,False,False,False,1,1829
"### | (فصل)
",000,False,000,False,False,False,1,271
"### | تنبيهات
",000,False,000,False,False,False,1,418
"### | الوجه الرابع من وجوه إعجازه
",000,False,000,False,False,False,1,1337
"### | قاعدة
",000,False,000,False,False,False,1,90
"### | فصل
",000,False,000,False,False,False,1,19
"### | تنبيه
",000,False,000,False,False,False,1,562
"### | فصل
",000,False,000,False,False,False,1,1568
"### | الوجه الخامس من وجوه إعجازه افتتاح السور وخواتمها
",000,False,000,False,False,False,1,1938
"### | الوجه السادس من وجوه إعجازه (مشتبهات آياته)
",000,False,000,False,False,False,1,1660
"### | الوجه السابع من وجوه إعجازه (ووود مشكله حتى يوهم التعارض بين الآيات)
",000,False,000,False,False,False,1,1161
"### | فصل
",000,False,000,False,False,False,1,1002
"### | تنبيه
",000,False,000,False,False,False,1,219
"### | الوجه الثامن من وجوه إعجازه (وقوع ناسخه ومنسوخه)
",000,False,000,False,False,False,1,2268
"### | 
",000,False,000,False,False,False,1,0
"### | تنبيه
",000,False,000,False,False,False,1,947
"### | 
",000,False,000,False,False,False,1,0
"### | تنبيه
",000,False,000,False,False,False,1,512
"### | تنبيه:
",000,False,000,False,False,False,1,999
"### | الوجه التاسع من وجوه إعجازه (انقسامه إلى محكم ومتشابه)
",000,False,000,False,False,False,1,1822
"### | فصل
",000,False,000,False,False,False,1,2416
"### | الوجه العاشر من وجوه إعجازه (اختلاف ألفاظه في الحروف وكيفيتها من تخفيف وتشديد وغيرهما)
",000,False,000,False,False,False,1,313
"### | تنبيهات
",000,False,000,False,False,False,1,1371
"### | الوجه الحادي عشر من وجوه إعجازة (تقديم بعض ألفاظه وتأخيرها في مواضع)
",000,False,000,False,False,False,1,1599
"### | الوجه الثاني عشر من وجوه إعجازه (إفادة حصره واختصاصه)
",000,False,000,False,False,False,1,1510
"### | تنبيه:
",000,False,000,False,False,False,1,1069
"### | الوجه الثالث عشر من وجوه إعجازه (احتواؤه على جميع لغات العرب وبلغة غيرهم من الفرس والروم والحبشة وغيرهم)
",000,False,000,False,False,False,1,49
"### | فائدة
",000,False,000,False,False,False,1,1927
"### | فائدة
",000,False,000,False,False,False,1,44
"### | الوجه الرابع عشر من وجوه إعجازه (عموم بعض آياته وخصوص بعضها)
",000,False,000,False,False,False,1,238
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,879
"### | فصل
",000,False,000,False,False,False,1,119
"### | (فروع منثورة تتعلق بالعموم والخصوص)
",000,False,000,False,False,False,1,411
"### | الوجه الخامس عشر من وجوه إعجازه (ورود بعض آياته مجملة وبعضها مبينة)
",000,False,000,False,False,False,1,229
"### | فصل
",000,False,000,False,False,False,1,305
"### | 
",000,False,000,False,False,False,1,0
"### | تنبيه:
",000,False,000,False,False,False,1,569
"### | تنبيه:
",000,False,000,False,False,False,1,67
"### | الوجه السادس عشر من وجوه إعجازه (الاستدلال بمنطوته أو بمفهومه)
",000,False,000,False,False,False,1,331
"### | فصل
",000,False,000,False,False,False,1,317
"### | فائدة
",000,False,000,False,False,False,1,38
"### | الوجه السابع عشر من وجوه إعجازه (وجوه مخاطباته)
",000,False,000,False,False,False,1,1732
"### | الوجه الثامن عشر من وجوه إعجازه (ما انطوى عليه من الإخبار بالمغيبات)
",000,False,000,False,False,False,1,213
"### | الوجه التاسع عشر من وجوة إعجازه (إخباره بأحوال القرون السالفة والأمم البائدة، والشرائع الداثرة)
",000,False,000,False,False,False,1,340
"### | الوجه العشرون من وجوه إعجازه (الروعة التي تلحق قلوب سامعيه وأسماعهم عند سماعه) ، 
",000,False,000,False,False,False,1,374
"### | الوجه الحادي والعشرون من وجوه إعجازه (أن سامعه لا يمجه وقارئه لا يملة فتلذ له الأسماع وتشغف له القلوب ms0143)
",000,False,000,False,False,False,1,228
