string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة
",000,False,000,False,False,False,1,2
"### | مقدمة المحقق
",000,False,000,False,False,False,1,124
"### | .... 
",000,False,000,False,False,False,1,213
"### | 1- 
",000,False,000,False,False,False,1,27
"### | 2- 
",000,False,000,False,False,False,1,15
"### | 3- 
",000,False,000,False,False,False,1,9
"### | 4- 
",000,False,000,False,False,False,1,19
"### | 5- 
",000,False,000,False,False,False,1,19
"### | 6- 
",000,False,000,False,False,False,1,41
"### | ترجمة المؤلف
",000,False,000,False,False,False,1,827
"### | خطبة المؤلف وفيها بيان الداعي إل تأليف الكتاب
",000,False,000,False,False,False,1,828
"### | فصل: في بيان كونه صلى الله عليه وسلم لم يستخلف وسر ذلك
",000,False,000,False,False,False,1,464
"### | فصل: في بيان أن الأئمة من قريش والخلافة فيهم
",000,False,000,False,False,False,1,168
"### | فصل: في مدة الخلافة في الإسلام
",000,False,000,False,False,False,1,767
"### | فصل: في الأحاديث المنذرة بخلافة بني أمية
",000,False,000,False,False,False,1,213
"### | فصل: في الأحاديث المبشرة بخلافة بني العباس
",000,False,000,False,False,False,1,1266
"### | فصل: في شأن البردة النبوية التي تداولها الخلفاء إلى آخر وقت
",000,False,000,False,False,False,1,228
"### | فصل: في فوائد منثورة تقع في التراجم
",000,False,000,False,False,False,1,384
"### | 1- 
",000,False,000,False,False,False,1,13
"### | 2- 
",000,False,000,False,False,False,1,21
"### | 3- 
",000,False,000,False,False,False,1,25
"### | 4- 
",000,False,000,False,False,False,1,27
"### | 5- 
",000,False,000,False,False,False,1,122
"### | 6- 
",000,False,000,False,False,False,1,18
"### | 7- 
",000,False,000,False,False,False,1,23
"### | 8- 
",000,False,000,False,False,False,1,44
"### | 9- 
",000,False,000,False,False,False,1,30
"### | 10- 
",000,False,000,False,False,False,1,201
"### | 11- 
",000,False,000,False,False,False,1,145
"### | 12- 
",000,False,000,False,False,False,1,48
"### | 13- 
",000,False,000,False,False,False,1,21
"### | 14- 
",000,False,000,False,False,False,1,56
"### | 15- 
",000,False,000,False,False,False,1,36
"### | 16- 
",000,False,000,False,False,False,1,62
"### | 17- 
",000,False,000,False,False,False,1,40
"### | 18- 
",000,False,000,False,False,False,1,75
"### | 19- 
",000,False,000,False,False,False,1,69
"### | 20- 
",000,False,000,False,False,False,1,67
"### | الخلفاء الراشدون
",000,False,000,False,False,False,1,4
"### | الخليفة الأول: ابو بكر الصديق رضي الله عنه
",000,False,000,False,False,False,1,19860
"### | الخليفة الثاني: عمر بن الخطاب رضي الله عنه
",000,False,000,False,False,False,1,9445
"### | الخليفة الثالث: عثمان بن عفان رضي الله عنه
",000,False,000,False,False,False,1,4453
"### | الخليفة الرابع: علي بن أبي طالب رضي الله عنه
",000,False,000,False,False,False,1,6603
"### | عهد بن أمية
",000,False,000,False,False,False,1,6
"### | معاوية بن أبي سفيان رضي الله عنه
",000,False,000,False,False,False,1,2757
"### | يزيد بن معاوية أبو خالد الأموي
",000,False,000,False,False,False,1,1325
"### | معاوية بن يزيد
",000,False,000,False,False,False,1,81
"### | عبد الله بن الزبير
",000,False,000,False,False,False,1,896
"### | عبد الملك بن مروان
",000,False,000,False,False,False,1,2004
"### | الوليد بن عبد الملك
",000,False,000,False,False,False,1,109
"### | سليمان بن عبد الملك
",000,False,000,False,False,False,1,393
"### | سليمان بن عبد الملك
",000,False,000,False,False,False,1,649
"### | عمر بن عبد العزيز رضي الله عنه
",000,False,000,False,False,False,1,4501
"### | يزيد بن عبد الملك بن مروان
",000,False,000,False,False,False,1,222
"### | هشام بن عبد الملك
",000,False,000,False,False,False,1,730
"### | الوليد بن يزيد بن عبد الملك
",000,False,000,False,False,False,1,501
"### | يزيد الناقص أبو خالد بن الوليد
",000,False,000,False,False,False,1,364
"### | إبراهيم بن الوليد بن عبد الملك
",000,False,000,False,False,False,1,166
"### | مروان الحمار
",000,False,000,False,False,False,1,60
"### | مروان الحمار
",000,False,000,False,False,False,1,293
"### | عهد بني العباس في العراق
",000,False,000,False,False,False,1,10
"### | السفاح أول خلفاء بني العباس
",000,False,000,False,False,False,1,803
"### | المنصور أبو جعفر عبد الله
",000,False,000,False,False,False,1,2992
"### | المهدي: أبو عبد الله محمد بن المنصور
",000,False,000,False,False,False,1,1645
"### | الهادي أبو محمد، موسى بن المهدي
",000,False,000,False,False,False,1,806
"### | الرشيد هارون أبو جعفر
",000,False,000,False,False,False,1,3029
