string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [الحجج الباهرة في إفحام الطائفة الكافرة الفاجرة]
",000,False,000,False,False,False,1,384
"### | (إمامة أبي بكر)
",000,False,000,False,False,False,1,25
"### | الأول
",000,False,000,False,False,False,1,57
"### | الثاني
",000,False,000,False,False,False,1,206
"### | الثالث
",000,False,000,False,False,False,1,117
"### | الرابع
",000,False,000,False,False,False,1,149
"### | الخامس
",000,False,000,False,False,False,1,438
"### | السادس
",000,False,000,False,False,False,1,67
"### | السابع
",000,False,000,False,False,False,1,37
"### | الثامن
",000,False,000,False,False,False,1,113
"### | التاسع
",000,False,000,False,False,False,1,505
"### | (خلافة عمر)
",000,False,000,False,False,False,1,15
"### | الأول
",000,False,000,False,False,False,1,17
"### | الثاني
",000,False,000,False,False,False,1,13
"### | الثالث
",000,False,000,False,False,False,1,13
"### | الرابع
",000,False,000,False,False,False,1,9
"### | الخامس
",000,False,000,False,False,False,1,21
"### | السادس
",000,False,000,False,False,False,1,417
"### | (خلافة عثمان)
",000,False,000,False,False,False,1,1221
"### | (إمامة علي)
",000,False,000,False,False,False,1,1384
"### | الفصل الأول في رد حججهم وفي جواب إمامة علي رضي الله عنه دون من تقدمه من الثلاثة
",000,False,000,False,False,False,1,31
"### | (الاحتجاج بآية إنما وليكم الله ورسوله والذين آمنوا)
",000,False,000,False,False,False,1,67
"### | (الاحتجاج بآية وأنفسنا وأنفسكم)
",000,False,000,False,False,False,1,68
"### | (الاحتجاج بحديث أنت مني بمنزلة هارون من موسى)
",000,False,000,False,False,False,1,227
"### | (الاحتجاج بحديث من كنت مولاه فعلي مولاه)
",000,False,000,False,False,False,1,116
"### | (دعوى الوصية لعلي)
",000,False,000,False,False,False,1,1029
"### | (غدير خم)
",000,False,000,False,False,False,1,1159
"### | (حديث سأعطين الراية غدا رجلا يحب الله ورسوله)
",000,False,000,False,False,False,1,398
"### | (النسب)
",000,False,000,False,False,False,1,139
"### | (العلم)
",000,False,000,False,False,False,1,1027
"### | (اتخاذ الغلاة عليا إلها)
",000,False,000,False,False,False,1,109
"### | (الإخاء)
",000,False,000,False,False,False,1,135
"### | (الشجاعة)
",000,False,000,False,False,False,1,325
"### | (المصاهرة)
",000,False,000,False,False,False,1,74
"### | (دعوى العصمة)
",000,False,000,False,False,False,1,226
"### | الفصل الثاني فيما يوجب ترجيحهم عليا على أصحابه المقدمين عليه
",000,False,000,False,False,False,1,22
"### | (النوم في الفراش)
",000,False,000,False,False,False,1,353
