string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة [المحقق]
",000,False,000,False,False,False,1,399
"### | 1- 
",000,False,000,False,False,False,1,15
"### | 2- 
",000,False,000,False,False,False,1,11
"### | 3- 
",000,False,000,False,False,False,1,19
"### | 5- 
",000,False,000,False,False,False,1,20
"### | 6- 
",000,False,000,False,False,False,1,9
"### | 7- 
",000,False,000,False,False,False,1,9
"### | 8- 
",000,False,000,False,False,False,1,5
"### | 9- 
",000,False,000,False,False,False,1,9
"### | 10- 
",000,False,000,False,False,False,1,9
"### | 11- 
",000,False,000,False,False,False,1,9
"### | 12- 
",000,False,000,False,False,False,1,10
"### | 2- 
",000,False,000,False,False,False,1,13
"### | : «روض الأخيار 
",000,False,000,False,False,False,1,528
"### | 1- 
",000,False,000,False,False,False,1,25
"### | 2- 
",000,False,000,False,False,False,1,106
"### | [مقدمة الكتاب]
",000,False,000,False,False,False,1,391
"### | الروضة الأولى في الدين وما يتعلق به من العبادات
",000,False,000,False,False,False,1,2718
"### | الروضة الثانية في العلم والحكمة والأدب والكتابة وما اتصل بذلك
",000,False,000,False,False,False,1,4154
"### | الروضة الثالثة في السلطنة والإمارة والوزارة والسياسة والعدل والعفو والطاعة للولاة وما ناسب ذلك
",000,False,000,False,False,False,1,6145
"### | الروضة الرابعة في الجهاد والقتل والشهادة والحرب والصلح والأسلحة والغارة والهزيمة والشجاعة والجبن وما ناسب ذلك
",000,False,000,False,False,False,1,2502
"### | الروضة الخامسة في الظن والفراسة والعقل والفطنة والرأي والتدبير والتجارب والمشاورة
",000,False,000,False,False,False,1,2113
"### | الروضة السادسة في القضاء والحكومة وذكر الشهود والديون والخصومات
",000,False,000,False,False,False,1,772
"### | الروضة السابعة في المتصوفة والقصاص
",000,False,000,False,False,False,1,1062
"### | الروضة الثامنة في الصناعات والمحترفين والكسب والتجارة والغنى والفقر وما ناسب ذلك
",000,False,000,False,False,False,1,1850
"### | الروضة التاسعة في الرزق والحرمان وتبدل الأحوال والتفاوت
",000,False,000,False,False,False,1,1096
"### | الروضة العاشرة في ذكر الدنيا والآخرة والسنة والشهر واليوم والليلة والساعة وما ناسب ذلك
",000,year,000,False,False,False,1,1762
