string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الله يدعونا إليه
",000,False,000,False,False,False,1,353
"### | والرسول يرشدنا إلى الطريق
",000,False,000,False,False,False,1,1208
"### | التوبة وحقيقتها
",000,False,000,False,False,False,1,709
"### | الخوف والرجاء
",000,False,000,False,False,False,1,142
"### | ما يكفر الذنوب ما تقدم منها وما تاخر
",000,False,000,False,False,False,1,327
"### | ما يكفر ما تقدم من الذنوب
",000,False,000,False,False,False,1,271
"### | ما يخرج الإنسان من الذنوب كيوم ولدته أمه
",000,False,000,False,False,False,1,337
"### | ما يكفر الذنوب وإن كانت مثل زبد البحر
",000,False,000,False,False,False,1,777
"### | ما يغفر الذنوب وإن كان قد فر من الزحف
",000,False,000,False,False,False,1,161
"### | ما يغفر الذنوب بوجه عام
",000,False,000,False,False,False,1,1611
"### | ما يوجب الجنة
",000,False,000,False,False,False,1,817
"### | سعة رحمة الله تعالى
",000,False,000,False,False,False,1,1883
"### | احذر نفسك أن تحبط عملك ms30
",000,False,000,False,False,False,1,807
"### | الاستكثار من طلب الثواب
",000,False,000,False,False,False,1,395
