string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مقدمة الكتاب]
",000,False,000,False,False,False,1,1253
"### | [سلسلة الفقه إلى الإمام مالك ثم إلى رسول الله]
",000,False,000,False,False,False,1,674
"### | [سند الكتاب وشروحه وسند بعض كتب المذهب المشهورة]
",000,False,000,False,False,False,1,2399
"### | [الكلام على البسملة]
",000,False,000,False,False,False,1,789
"### | [فائدتان]
",000,False,000,False,False,False,1,130
"### | [شرح خطبة المختصر]
",000,False,000,False,False,False,1,2826
"### | [مسألة والصلاة والسلام عليه صلى الله عليه وسلم فرضان]
",000,False,000,False,False,False,1,216
"### | [فرع وتستحب الصلاة عليه صلى الله عليه وسلم في مواطن]
",000,False,000,False,False,False,1,158
"### | [فرع الصلاة على النبي عند الذبح وعند العطاس والجماع وغير ذلك]
",000,False,000,False,False,False,1,459
"### | [مسألة إفراد الصلاة على النبي عن السلام وعكسه]
",000,False,000,False,False,False,1,277
"### | [فائدة قال اللهم صل على محمد عدد كذا هل يثاب بعدد من صلى بتلك الأعداد]
",000,False,000,False,False,False,1,1757
"### | [تنبيه حكم الخطبة التي ليس فيها شهادة]
",000,False,000,False,False,False,1,478
"### | [ترجمة الإمام مالك]
",000,False,000,False,False,False,1,3389
"### | [فرع التقليد]
",000,False,000,False,False,False,1,615
"### | [فرع تقليد الميت]
",000,False,000,False,False,False,1,866
"### | [تنبيه لم يجد الشخص نصا في المسألة في مذهب إمامه]
",000,False,000,False,False,False,1,100
"### | [فرع أفتى رجلا فأتلف بفتواه مالا]
",000,False,000,False,False,False,1,128
"### | [فرع الإجارة على الفتيا]
",000,False,000,False,False,False,1,104
"### | [فرع ما أهدي للفقيه من غير حاجة]
",000,False,000,False,False,False,1,1590
"### | [تنبيه هل يجوز للعامي أن يقلد]
",000,False,000,False,False,False,1,1038
"### | [فرع هل يجوز أن يقال في طريق من الطرق هذا مذهب مالك]
",000,False,000,False,False,False,1,1054
"### | [فوائد]
",000,False,000,False,False,False,1,372
"### | [فائدة في تفسير اصطلاح العتبي وابن رشد في البيان]
",000,False,000,False,False,False,1,148
"### | كتاب الطهارة 
",000,False,000,False,False,False,1,681
"### | [كتاب الطهارة]
",000,False,000,False,False,False,1,4
"### | [باب يرفع الحدث وحكم الخبث]
",000,False,000,False,False,False,1,4528
"### | [فرع إذا ذاب البرد ونحوه فوجد في داخله شيء طاهر أو نجس من لواحق الأرض]
",000,False,000,False,False,False,1,514
"### | [فرع تطهير الرجل والمرأة جميعا من إناء واحد]
",000,False,000,False,False,False,1,48
"### | [فرع انتضح من غسل الجنب في إنائه ولا يستطيع الناس الامتناع من هذا]
",000,False,000,False,False,False,1,223
"### | [فرع توضأ على بلاط نجس وطار عليه ماء من البلاط]
",000,False,000,False,False,False,1,6066
"### | [فرع تغير الماء بما هو متأصل فيه]
",000,False,000,False,False,False,1,4496
"### | [تنبيهات]
",000,False,000,False,False,False,1,2
"### | [الماء خالطته نجاسة لم تغيره ثم استعمل]
",000,False,000,False,False,False,1,326
"### | [الماء الجاري حكمه كالكثير]
",000,False,000,False,False,False,1,1780
"### | [فرع تغير الماء في البرك المعدة للوضوء]
",000,False,000,False,False,False,1,177
"### | [فرع أتى الجنب بئرا قليلة الماء وبيده قذر وليس معه ما يغرف به]
",000,False,000,False,False,False,1,338
"### | [فرع الغسل في الحياض قبل غسل الأذى]
",000,False,000,False,False,False,1,812
"### | [فرع سؤر الكافر والنصراني]
",000,False,000,False,False,False,1,918
"### | [فرع الماء المسخن بالنجاسة]
",000,False,000,False,False,False,1,290
"### | [فرع دخول الحمام]
",000,False,000,False,False,False,1,734
"### | [فرع فيمن منع زوجته من الحمام]
",000,False,000,False,False,False,1,1007
"### | [فرع النزح قبل إخراج الميتة]
",000,False,000,False,False,False,1,905
"### | [تنبيهات فيما تغير بنجس]
",000,False,000,False,False,False,1,527
"### | [فرع الاغتراف من الماء قبل التطهر]
",000,False,000,False,False,False,1,231
"### | [فصل الطاهر أنواع]
",000,False,000,False,False,False,1,2126
"### | [فائدة حكم الشراب المتخذ من قشر البن]
",000,False,000,False,False,False,1,2733
"### | [فرع دخل في دبر الإنسان خرقة ونحوها ثم أخرجت]
",000,False,000,False,False,False,1,1564
"### | [فرع حكم من حمل قشرة القملة في الصلاة]
",000,False,000,False,False,False,1,192
"### | [فرع الصئبان الذي يتولد من القمل]
",000,False,000,False,False,False,1,48
"### | [ميتة الآدمي هل هي طاهرة]
",000,False,000,False,False,False,1,256
"### | [فرع في أجساد الأنبياء طاهرة]
",000,False,000,False,False,False,1,1267
"### | [فرع أستعمال النعال من جلد الميتة]
",000,False,000,False,False,False,1,160
"### | [فرع الصلاة على جلود الميتة]
",000,False,000,False,False,False,1,1657
"### | [تنبيه الطاهر إذا اتصل به نجس رطب]
",000,False,000,False,False,False,1,1364
"### | [فرع الفخار المطبوخ بالنجاسة]
",000,False,000,False,False,False,1,309
"### | [فرع بول الوطواط وبعره]
",000,False,000,False,False,False,1,377
"### | [فرع التخفيف فيما اختلف في نجاسته]
",000,False,000,False,False,False,1,57
"### | [فرع وقوع القملة في الدقيق أو غير ذلك]
",000,False,000,False,False,False,1,204
"### | [فرع وقوع النجاسة القليلة في الطعام]
",000,False,000,False,False,False,1,300
"### | [فرع سقوط الفأرة في السمن أو الزيت]
",000,False,000,False,False,False,1,1019
"### | [فرع وجود فأرة ميتة في زير من أزيار زيت]
",000,False,000,False,False,False,1,271
"### | [فرع هري زيتون وجدت فيه فأرة ميتة]
",000,False,000,False,False,False,1,215
"### | [فرع وقوع نجاسة مائعة في غسل جامد ونحوه]
",000,False,000,False,False,False,1,101
"### | [فرع وقعت دابة في طعام وأخرجت حية]
",000,False,000,False,False,False,1,91
"### | [فرع طرح من الجامد بحسب ما سرت فيه النجاسة]
",000,False,000,False,False,False,1,1095
"### | [فروع مناسبة]
",000,False,000,False,False,False,1,1835
"### | [فرع مصحف كتب من دواة ثم بعد الفراغ وجد فيها فأرة ميتة]
",000,False,000,False,False,False,1,896
"### | [فرع التداوي بشرب بول الأنعام]
",000,False,000,False,False,False,1,136
"### | [فرع من نقص منه سن أو عظم هل يجوز له رده]
",000,False,000,False,False,False,1,72
"### | [فرع انكسر عظمه فجبره بعظم ميتة]
",000,False,000,False,False,False,1,1632
"### | [فرع بيع ثوب جديدا به نجاسة لم تبين]
",000,False,000,False,False,False,1,1869
"### | [فرع نقش الخواتم ونقش أسماء أصحابها عليها ونقش اسم الله فيها]
",000,False,000,False,False,False,1,1064
"### | [فرع اتخاذ الأواني من الفخار ومن العظام الطاهرة وغير ذلك]
",000,False,000,False,False,False,1,408
"### | [فرع الاكتحال بمرود الذهب والفضة]
",000,False,000,False,False,False,1,97
"### | [فرع من أحكام المساجد]
",000,False,000,False,False,False,1,80
"### | [فصل بيان حكم النجاسة]
",000,False,000,False,False,False,1,4702
"### | [تنبيهات وقت الجمعة الذي تعاد فيها إذا صلاها بنجاسة]
",000,False,000,False,False,False,1,781
"### | [فروع رأى أن النجاسة في الصلاة فلما هم بالقطع نسي وتمادى]
",000,False,000,False,False,False,1,3672
"### | [تنبيهات البول هل يعفى عن يسيره]
",000,False,000,False,False,False,1,17182
"### | [فصل فرائض الوضوء وسننه وفضائله]
",000,False,000,False,False,False,1,19243
"### | [تنبيهات إذا نبت للمرأة لحية]
",000,False,000,False,False,False,1,6767
"### | [مسح بعض الأعضاء بما تبقى من ماء في اللحية أو غيرها]
",000,False,000,False,False,False,1,5567
"### | [مسألتين الأولى عزوب النية وهو انقطاعها والذهول عنها]
",000,False,000,False,False,False,1,131
"### | [المسألة الثانية رفض النية]
",000,False,000,False,False,False,1,14276
"### | [فصل آداب قضاء الحاجة]
",000,False,000,False,False,False,1,4064
"### | [مسألة الاستنجاء بالخاتم]
",000,False,000,False,False,False,1,712
"### | [فرع الاستنجاء في غير موضع قضاء الحاجة]
",000,False,000,False,False,False,1,2148
"### | [تنبيهات جمع الوطء مع البول وتقديمه عليه]
",000,False,000,False,False,False,1,106
"### | [آداب الجماع]
",000,False,000,False,False,False,1,1476
"### | [القراءة لمن يتنشف]
",000,False,000,False,False,False,1,90
"### | [فائدة على الإنسان عند قضاء حاجته أن يعتبر بما خرج منه]
",000,False,000,False,False,False,1,793
"### | [فرع إذا انسد المخرجان]
",000,False,000,False,False,False,1,2993
"### | [فصل نواقض الوضوء]
",000,False,000,False,False,False,1,2722
"### | [فرع من غلبه هم حتى ذهل وذهب عقله]
",000,False,000,False,False,False,1,2728
"### | [فرع فرج البهيمة لا يوجب وضوءا]
",000,False,000,False,False,False,1,336
"### | [فرع من مسح إبطه أو نتفه]
",000,False,000,False,False,False,1,611
"### | [فرع لو خاف على المصحف غرقا أو حرقا أو يد كافر]
",000,False,000,False,False,False,1,88
"### | [فرع مس المحدث للمنسوخ لفظه من القرآن]
",000,False,000,False,False,False,1,129
"### | [فائدة أوصى أن يجعل في أكفانه ختمة قرآن]
",000,False,000,False,False,False,1,374
"### | [فصل الطهارة الكبرى وهي الغسل]
",000,False,000,False,False,False,1,6416
"### | [فصل المسح على الخفين]
",000,False,000,False,False,False,1,1366
"### | [فرع إذا قطع الخف وشرج وجعل له غلق]
",000,False,000,False,False,False,1,1841
"### | [فصل في التيمم]
",000,False,000,False,False,False,1,18875
"### | [المسح على الجبائر]
",000,False,000,False,False,False,1,1691
"### | [فصل في بيان حكم الحيض والنفاس]
",000,False,000,False,False,False,1,5855
"### | [كتاب الصلاة]
",000,False,000,False,False,False,1,1162
"### | [فصل مشروعية الصلاة وحكمها]
",000,False,000,False,False,False,1,700
"### | [فصل الصلاة أفضل العبادات بعد الإيمان بالله تعالى]
",000,False,000,False,False,False,1,356
