string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مقدمة الشيخ الحويني حفظه الله]
",000,False,000,False,False,False,1,747
"### | ترجمة المصنف
",000,False,000,False,False,False,1,225
"### | [مقدمة المصنف]
",000,False,000,False,False,False,1,171
"### | الحديث الأول
",000,False,000,False,False,False,1,821
"### | الحديث الثاني
",000,False,000,False,False,False,1,175
"### | الحديث الثالث
",000,False,000,False,False,False,1,103
"### | الحديث الرابع
",000,False,000,False,False,False,1,202
"### | الحديث الخامس
",000,False,000,False,False,False,1,83
"### | 1 - 
",000,False,000,False,False,False,1,35
"### | 2 - 
",000,False,000,False,False,False,1,38
"### | 3 - 
",000,False,000,False,False,False,1,24
"### | 4 - 
",000,False,000,False,False,False,1,13
"### | 5 - 
",000,False,000,False,False,False,1,15
"### | 6 - 
",000,False,000,False,False,False,1,20
"### | 7 - 
",000,False,000,False,False,False,1,31
"### | 8 - 
",000,False,000,False,False,False,1,16
"### | الحديث السادس
",000,False,000,False,False,False,1,207
"### | الحديث السابع
",000,False,000,False,False,False,1,615
"### | الحديث الثامن
",000,False,000,False,False,False,1,166
"### | الحديث التاسع
",000,False,000,False,False,False,1,432
"### | 1 - 
",000,False,000,False,False,False,1,123
"### | 2 - 
",000,False,000,False,False,False,1,296
"### | الحديث العاشر
",000,False,000,False,False,False,1,148
"### | 1 - 
",000,False,000,False,False,False,1,66
"### | 2 - 
",000,False,000,False,False,False,1,41
"### | 3 - 
",000,False,000,False,False,False,1,142
"### | 5 - 
",000,False,000,False,False,False,1,107
"### | 1 - 
",000,False,000,False,False,False,1,123
"### | 2 - 
",000,False,000,False,False,False,1,82
"### | 3 - 
",000,False,000,False,False,False,1,77
"### | الحديث الحادي عشر
",000,False,000,False,False,False,1,213
"### | الحديث الثاني عشر
",000,False,000,False,False,False,1,163
"### | الحديث الثالث عشر
",000,False,000,False,False,False,1,122
"### | الحديث الرابع عشر
",000,False,000,False,False,False,1,67
"### | الحديث الخامس عشر
",000,False,000,False,False,False,1,383
"### | الحديث السادس عشر
",000,False,000,False,False,False,1,103
"### | الحديث السابع عشر
",000,False,000,False,False,False,1,58
"### | الحديث الثامن عشر
",000,False,000,False,False,False,1,33
"### | 1 - 
",000,False,000,False,False,False,1,44
"### | 2 - 
",000,False,000,False,False,False,1,27
"### | 3 - 
",000,False,000,False,False,False,1,50
"### | 5 - 
",000,False,000,False,False,False,1,11
"### | 6 - 
",000,False,000,False,False,False,1,15
"### | 7 - 
",000,False,000,False,False,False,1,19
"### | الحديث التاسع عشر
",000,False,000,False,False,False,1,230
"### | الحديث العشرون
",000,False,000,False,False,False,1,1051
"### | .... 
",000,False,000,False,False,False,1,267
"### | الحديث الحادي والعشرون
",000,False,000,False,False,False,1,512
"### | الحديث الثاني والعشرون
",000,False,000,False,False,False,1,142
"### | الحديث الثالث والعشرون
",000,False,000,False,False,False,1,308
"### | الحديث الرابع والعشرون
",000,False,000,False,False,False,1,192
"### | الحديث الخامس والعشرون
",000,False,000,False,False,False,1,211
"### | الحديث السادس والعشرون
",000,False,000,False,False,False,1,132
"### | الحديث السابع والعشرون
",000,False,000,False,False,False,1,124
"### | الحديث الثامن والعشرون
",000,False,000,False,False,False,1,169
"### | الحديث التاسع والعشرون
",000,False,000,False,False,False,1,177
"### | الحديث الثلاثون
",000,False,000,False,False,False,1,120
"### | الحديث الحادي والثلاثون
",000,False,000,False,False,False,1,453
"### | الحديث الثاني والثلاثون
",000,False,000,False,False,False,1,221
"### | الحديث الثالث والثلاثون
",000,False,000,False,False,False,1,147
"### | الحديث الرابع والثلاثون
",000,False,000,False,False,False,1,239
"### | الحديث الخامس والثلاثون
",000,False,000,False,False,False,1,181
"### | الحديث السادس والثلاثون
",000,False,000,False,False,False,1,556
"### | 2 - 
",000,False,000,False,False,False,1,40
"### | ....... 
",000,False,000,False,False,False,1,49
"### | الحديث السابع والثلاثون
",000,False,000,False,False,False,1,445
"### | 1 - 
",000,False,000,False,False,False,1,44
"### | 2 - 
",000,False,000,False,False,False,1,62
"### | 3 - 
",000,False,000,False,False,False,1,147
"### | الحديث الثامن والثلاثون
",000,False,000,False,False,False,1,309
"### | ........................... 
",000,False,000,False,False,False,1,40
"### | الحديث التاسع والثلاثون
",000,False,000,False,False,False,1,172
"### | الحديث الأربعون
",000,False,000,False,False,False,1,236
