string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [1 - سورة الفاتحة]
",000,False,000,False,False,False,1,33991
"### || [1.1]
",000,False,000,False,False,False,2,10552
"### || [1.2]
",000,False,000,False,False,False,2,1789
"### || [1.3]
",000,False,000,False,False,False,2,43
"### || [1.4]
",000,False,000,False,False,False,2,830
"### || [1.5]
",000,False,000,False,False,False,2,2401
"### || [1.6]
",000,False,000,False,False,False,2,5679
"### || [1.7]
",000,False,000,False,False,False,2,12694
"### | [2 - سورة البقرة]
",000,False,000,False,False,False,1,290056
"### || [2.1]
",000,False,000,False,False,False,2,6357
"### || [2.2]
",000,False,000,False,False,False,2,3494
"### || [2.3]
",000,False,000,False,False,False,2,9808
"### || [2.4]
",000,False,000,False,False,False,2,2925
"### || [2.5]
",000,False,000,False,False,False,2,900
"### || [2.6]
",000,False,000,False,False,False,2,8790
"### || [2.7]
",000,False,000,False,False,False,2,6468
"### || [2.8]
",000,False,000,False,False,False,2,2030
"### || [2.9]
",000,False,000,False,False,False,2,1428
"### || [2.10]
",000,False,000,False,False,False,2,3881
"### || [2.11]
",000,False,000,False,False,False,2,464
"### || [2.12]
",000,False,000,False,False,False,2,531
"### || [2.13]
",000,False,000,False,False,False,2,1217
"### || [2.14]
",000,False,000,False,False,False,2,1410
"### || [2.15]
",000,False,000,False,False,False,2,3380
"### || [2.16]
",000,False,000,False,False,False,2,695
"### || [2.17-18]
",000,False,000,False,False,False,2,4088
"### || [2.19-20]
",000,False,000,False,False,False,2,3703
"### || [2.21-22]
",000,False,000,False,False,False,2,18368
"### || [2.23]
",000,False,000,False,False,False,2,5129
"### || [2.24]
",000,False,000,False,False,False,2,2615
"### || [2.25]
",000,False,000,False,False,False,2,6673
"### || [2.26]
",000,False,000,False,False,False,2,10355
"### || [2.27]
",000,False,000,False,False,False,2,2249
"### || [2.28]
",000,False,000,False,False,False,2,4980
"### || [2.29]
",000,False,000,False,False,False,2,4757
"### || [2.30]
",000,False,000,False,False,False,2,4119
"### || [2.31]
",000,False,000,False,False,False,2,8167
"### || [2.32]
",000,False,000,False,False,False,2,1405
"### || [2.33]
",000,False,000,False,False,False,2,2366
"### || [2.34]
",000,False,000,False,False,False,2,15490
"### || [2.35]
",000,False,000,False,False,False,2,3173
"### || [2.36]
",000,False,000,False,False,False,2,6834
"### || [2.37]
",000,False,000,False,False,False,2,6337
"### || [2.38-39]
",000,False,000,False,False,False,2,2622
"### || [2.40]
",000,False,000,False,False,False,2,8990
"### || [2.41]
",000,False,000,False,False,False,2,4258
"### || [2.42]
",000,False,000,False,False,False,2,1285
"### || [2.43]
",000,False,000,False,False,False,2,2580
"### || [2.44]
",000,False,000,False,False,False,2,3755
"### || [2.45]
",000,False,000,False,False,False,2,3557
"### || [2.46]
",000,False,000,False,False,False,2,3390
"### || [2.47]
",000,False,000,False,False,False,2,530
"### || [2.48]
",000,False,000,False,False,False,2,6362
"### || [2.49]
",000,False,000,False,False,False,2,1861
"### || [2.50]
",000,False,000,False,False,False,2,2102
"### || [2.51]
",000,False,000,False,False,False,2,2771
"### || [2.52]
",000,False,000,False,False,False,2,2734
"### || [2.53]
",000,False,000,False,False,False,2,583
"### || [2.54]
",000,False,000,False,False,False,2,1269
"### || [2.55-56]
",000,False,000,False,False,False,2,2777
"### || [2.57]
",000,False,000,False,False,False,2,452
"### || [2.58]
",000,False,000,False,False,False,2,1026
"### || [2.59]
",000,False,000,False,False,False,2,809
"### || [2.60]
",000,False,000,False,False,False,2,1664
"### || [2.61]
",000,False,000,False,False,False,2,1443
"### || [2.62]
",000,False,000,False,False,False,2,1184
"### || [2.63]
",000,False,000,False,False,False,2,1230
"### || [2.64]
",000,False,000,False,False,False,2,740
"### || [2.65]
",000,False,000,False,False,False,2,1387
"### || [2.255]
",000,False,000,False,False,False,2,35739
"### || [2.256]
",000,False,000,False,False,False,2,6568
"### || [2.257]
",000,False,000,False,False,False,2,21799
"### | [24 - سورة النور]
",000,False,000,False,False,False,1,14961
"### || [24.24-35]
",000,False,000,False,False,False,2,14958
"### | [32 - سورة السجدة]
",000,False,000,False,False,False,1,29707
"### || [32.1]
",000,False,000,False,False,False,2,3499
"### || [32.2]
",000,False,000,False,False,False,2,1165
"### || [32.3]
",000,False,000,False,False,False,2,438
"### || [32.4]
",000,False,000,False,False,False,2,3365
"### || [32.5]
",000,False,000,False,False,False,2,2572
"### || [32.6-9]
",000,False,000,False,False,False,2,1920
"### || [32.10]
",000,False,000,False,False,False,2,3209
"### || [32.11]
",000,False,000,False,False,False,2,3709
"### || [32.12]
",000,False,000,False,False,False,2,802
"### || [32.13]
",000,False,000,False,False,False,2,675
"### || [32.14]
",000,False,000,False,False,False,2,438
"### || [32.15]
",000,False,000,False,False,False,2,448
"### || [32.16]
",000,False,000,False,False,False,2,323
"### || [32.17]
",000,False,000,False,False,False,2,2127
"### || [32.18]
",000,False,000,False,False,False,2,576
"### || [32.19-20]
",000,False,000,False,False,False,2,416
"### || [32.21]
",000,False,000,False,False,False,2,947
"### || [32.22]
",000,False,000,False,False,False,2,340
"### || [32.23-24]
",000,False,000,False,False,False,2,892
"### || [32.25]
",000,False,000,False,False,False,2,590
"### || [32.26]
",000,False,000,False,False,False,2,295
"### || [32.27]
",000,False,000,False,False,False,2,420
"### || [32.28-29]
",000,False,000,False,False,False,2,254
"### || [32.30]
",000,False,000,False,False,False,2,284
"### | [36 - سورة يس]
",000,False,000,False,False,False,1,79485
"### || [36.1]
",000,False,000,False,False,False,2,191
"### || [36.2]
",000,False,000,False,False,False,2,127
"### || [36.3]
",000,False,000,False,False,False,2,27
"### || [36.4]
",000,False,000,False,False,False,2,113
"### || [36.5]
",000,False,000,False,False,False,2,51
"### || [36.6]
",000,False,000,False,False,False,2,271
"### || [36.7]
",000,False,000,False,False,False,2,379
"### || [36.8]
",000,False,000,False,False,False,2,329
"### || [36.9]
",000,False,000,False,False,False,2,294
"### || [36.10]
",000,False,000,False,False,False,2,91
"### || [36.11]
",000,False,000,False,False,False,2,329
"### || [36.12]
",000,False,000,False,False,False,2,1505
"### || [36.13]
",000,False,000,False,False,False,2,59
"### || [36.14]
",000,False,000,False,False,False,2,720
"### || [36.15]
",000,False,000,False,False,False,2,358
"### || [36.16]
",000,False,000,False,False,False,2,1673
"### || [36.17]
",000,False,000,False,False,False,2,330
"### || [36.18]
",000,False,000,False,False,False,2,280
"### || [36.19]
",000,False,000,False,False,False,2,404
"### || [36.20]
",000,False,000,False,False,False,2,608
"### || [36.21]
",000,False,000,False,False,False,2,386
"### || [36.22]
",000,False,000,False,False,False,2,191
"### || [36.23-24]
",000,False,000,False,False,False,2,205
"### || [36.25]
",000,False,000,False,False,False,2,115
"### || [36.26-27]
",000,False,000,False,False,False,2,624
"### || [36.28]
",000,False,000,False,False,False,2,634
"### || [36.29]
",000,False,000,False,False,False,2,242
"### || [36.30]
",000,False,000,False,False,False,2,671
"### || [36.31]
",000,False,000,False,False,False,2,473
"### || [36.32]
",000,False,000,False,False,False,2,242
"### || [36.33]
",000,False,000,False,False,False,2,767
"### || [36.34]
",000,False,000,False,False,False,2,130
"### || [36.35]
",000,False,000,False,False,False,2,2593
"### || [36.36]
",000,False,000,False,False,False,2,854
"### || [36.37]
",000,False,000,False,False,False,2,581
"### || [36.38]
",000,False,000,False,False,False,2,381
"### || [36.39]
",000,False,000,False,False,False,2,870
"### || [36.40]
",000,False,000,False,False,False,2,3467
"### || [36.41]
",000,False,000,False,False,False,2,305
"### || [36.42]
",000,False,000,False,False,False,2,988
"### || [36.43-44]
",000,False,000,False,False,False,2,657
"### || [36.45]
",000,False,000,False,False,False,2,886
"### || [36.46]
",000,False,000,False,False,False,2,718
"### || [36.47]
",000,False,000,False,False,False,2,965
