string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | عملي في المخطوط
",000,False,000,False,False,False,1,6
"### | 1 - 
",000,False,000,False,False,False,1,28
"### | 2 - 
",000,False,000,False,False,False,1,27
"### | 3 - 
",000,False,000,False,False,False,1,23
"### | 4 - 
",000,False,000,False,False,False,1,17
"### | 5 - 
",000,False,000,False,False,False,1,17
"### | حول الرسالة
",000,False,000,False,False,False,1,4
"### | وصف النسخ الخطية
",000,False,000,False,False,False,1,151
"### | توثيق نسبتها للمؤلف
",000,False,000,False,False,False,1,26
"### | ترجمة المؤلف
",000,False,000,False,False,False,1,283
"### | تصانيفه
",000,False,000,False,False,False,1,170
"### | إتحاف ذوي الإتقان بحكم الرهان
",000,False,000,False,False,False,1,1204
