string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO سبيل الرشاد
",000,False,000,False,False,False,1,260
"### || AUTO [مقدمة المؤلف]
",000,False,000,False,False,False,2,218
"### | AUTO [باب التوحيد]
",000,False,000,False,False,False,1,1610
"### || AUTO [وجوب النظر وأهمية معرفة الله]
",000,False,000,False,False,False,2,628
"### || AUTO [الدليل على وحدانية الله]
",000,False,000,False,False,False,2,899
"### | AUTO باب العدل
",000,False,000,False,False,False,1,2219
"### || AUTO فصل [في أفعال العباد]
",000,False,000,False,False,False,2,392
"### || AUTO فصل [في القضاء والقدر]
",000,False,000,False,False,False,2,307
"### || AUTO فصل [في تكليف مالايطاق]
",000,False,000,False,False,False,2,142
"### || AUTO فصل [في أفعال الله تعالى]
",000,False,000,False,False,False,2,363
"### || AUTO فصل [في الرزق]
",000,False,000,False,False,False,2,321
"### || AUTO فصل [في النقائص والآلام]
",000,False,000,False,False,False,2,397
"### | AUTO باب الوعد والوعيد
",000,False,000,False,False,False,1,2458
"### || AUTO فصل [في الإيمان]
",000,False,000,False,False,False,2,622
"### || AUTO فصل [في التوبة]
",000,False,000,False,False,False,2,607
"### || AUTO فصل [في الشفاعة]
",000,False,000,False,False,False,2,771
"### | AUTO باب النبوءات
",000,False,000,False,False,False,1,4196
"### || AUTO فصل [في الإيمان بالأنبياء]
",000,False,000,False,False,False,2,98
"### || AUTO فصل [في مكانة نبينا محمد (ص)]
",000,False,000,False,False,False,2,119
"### || AUTO فصل [في الملائكة]
",000,False,000,False,False,False,2,211
"### || AUTO فصل [في القرآن]
",000,False,000,False,False,False,2,330
"### || AUTO فصل [في الإمامة]
",000,False,000,False,False,False,2,131
"### || AUTO فصل [في إمامة علي عليه السلام ]
",000,False,000,False,False,False,2,388
"### || AUTO فصل [في إمامة الحسنين]
",000,False,000,False,False,False,2,105
"### || AUTO فصل [في الإمامة بعد الحسنين]
",000,False,000,False,False,False,2,157
"### || AUTO فصل [في طاعة الإمام]
",000,False,000,False,False,False,2,382
"### || AUTO فصل [في معرفة الفرقة الناجية]
",000,False,000,False,False,False,2,595
"### || AUTO فصل [في الأمر بالمعروف والنهي عن لمنكر]
",000,False,000,False,False,False,2,220
"### || AUTO فصل [في مراتب الأمر والنهي]
",000,False,000,False,False,False,2,325
"### || AUTO فصل [في الهجرة]
",000,False,000,False,False,False,2,141
"### || AUTO فصل [في عذاب القبر]
",000,False,000,False,False,False,2,179
"### || AUTO فصل [في القيامة]
",000,False,000,False,False,False,2,307
