string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مقدمة الكتاب]
",000,False,000,False,False,False,1,514
"### | [كتاب الطهارة وفيه سبعة أبواب]
",000,False,000,False,False,False,1,10
"### | [الباب الأول في الوضوء وفيه خمسة فصول]
",000,False,000,False,False,False,1,14
"### | [الفصل الأول في فرائض الوضوء]
",000,False,000,False,False,False,1,1497
"### | [الفصل الثاني في سنن الوضوء]
",000,False,000,False,False,False,1,994
"### | [الفصل الثالث في المستحبات]
",000,False,000,False,False,False,1,702
"### | [الفصل الرابع في المكروهات]
",000,False,000,False,False,False,1,65
"### | [الفصل الخامس في نواقض الوضوء]
",000,False,000,False,False,False,1,1970
"### | [الباب الثاني في الغسل وفيه ثلاثة فصول]
",000,False,000,False,False,False,1,14
"### | [الفصل الأول في فرائض الغسل]
",000,False,000,False,False,False,1,378
"### | [الفصل الثاني في سنن الغسل]
",000,False,000,False,False,False,1,223
"### | [الفصل الثالث في المعاني الموجبة للغسل]
",000,False,000,False,False,False,1,1201
"### | [الباب الثالث في المياه وفيه فصلان]
",000,False,000,False,False,False,1,12
"### | [الفصل الأول فيما يجوز به التوضؤ]
",000,False,000,False,False,False,1,2380
"### | [الفصل الثاني فيما لا يجوز به التوضؤ]
",000,False,000,False,False,False,1,2422
"### | [الباب الرابع في التيمم وفيه ثلاثة فصول]
",000,False,000,False,False,False,1,14
"### | [الفصل الأول في أمور لا بد منها في التيمم]
",000,False,000,False,False,False,1,1887
"### | [الفصل الثاني فيما ينقض التيمم]
",000,False,000,False,False,False,1,483
"### | [الفصل الثالث في سنن التيمم]
",000,False,000,False,False,False,1,907
"### | [الباب الخامس في المسح على الخفين ويشتمل على فصلين]
",000,False,000,False,False,False,1,18
"### | [الفصل الأول في الأمور التي لا بد منها في جواز المسح]
",000,False,000,False,False,False,1,1346
"### | [الفصل الثاني في نواقض المسح]
",000,False,000,False,False,False,1,955
"### | [الباب السادس في الدماء المختصة بالنساء وفيه أربعة فصول]
",000,False,000,False,False,False,1,18
"### | [الفصل الأول في الحيض]
",000,False,000,False,False,False,1,466
"### | [الفصل الثاني في النفاس]
",000,False,000,False,False,False,1,312
"### | [الفصل الثالث في الاستحاضة]
",000,False,000,False,False,False,1,57
"### | [الفصل الرابع في أحكام الحيض والنفاس والاستحاضة ms0066]
",000,False,000,False,False,False,1,1857
"### | [الباب السابع في النجاسة وأحكامها وفيه ثلاثة فصول]
",000,False,000,False,False,False,1,16
"### | [الفصل الأول في تطهير الأنجاس]
",000,False,000,False,False,False,1,2135
"### | [الفصل الثاني في الأعيان النجسة]
",000,False,000,False,False,False,1,1322
"### | [الفصل الثالث في الاستنجاء]
",000,False,000,False,False,False,1,422
"### | [كيفية الاستنجاء من البول]
",000,False,000,False,False,False,1,141
"### | [صفة الاستنجاء بالماء]
",000,False,000,False,False,False,1,465
"### | [الاستنجاء على خمسة أوجه]
",000,False,000,False,False,False,1,353
"### | [كتاب الصلاة وفيه اثنان وعشرون بابا]
",000,False,000,False,False,False,1,120
"### | [الباب الأول في مواقيت الصلاة وما يتصل بها وفيه ثلاثة فصول]
",000,False,000,False,False,False,1,22
"### | [الفصل الأول في أوقات الصلاة]
",000,False,000,False,False,False,1,372
"### | [الفصل الثاني في بيان فضيلة الأوقات]
",000,False,000,False,False,False,1,228
"### | [الفصل الثالث ms0092 في بيان الأوقات التي لا تجوز فيها الصلاة وتكره فيها]
",000,False,000,False,False,False,1,566
"### | [الباب الثاني ms0094 في الأذان وفيه فصلان]
",000,False,000,False,False,False,1,12
"### | [الفصل الأول في صفة الأذان وأحوال المؤذن]
",000,False,000,False,False,False,1,1144
"### | [الفصل الثاني في كلمات الأذان والإقامة وكيفيتهما]
",000,False,000,False,False,False,1,1201
"### | [الباب الثالث في شروط الصلاة وفيه فصول أربعة] 
",000,False,000,False,False,False,1,16
"### | [الفصل الأول في الطهارة وستر العورة]
",000,False,000,False,False,False,1,1092
"### | [الفصل الثاني في طهارة ما يستر به العورة وغيره]
",000,False,000,False,False,False,1,1824
"### | [الفصل الثالث في استقبال القبلة]
",000,False,000,False,False,False,1,1234
"### | [الفصل الرابع في النية ms0117]
",000,False,000,False,False,False,1,1285
"### | [الباب الرابع في صفة الصلاة وهذا الباب يشتمل على خمسة فصول]
",000,False,000,False,False,False,1,22
"### | [الفصل الأول في فرائض الصلاة]
",000,False,000,False,False,False,1,1605
"### | [الفصل الثاني في واجبات الصلاة]
",000,False,000,False,False,False,1,842
"### | [الفصل الثالث في سنن الصلاة وآدابها وكيفيتها]
",000,False,000,False,False,False,1,2510
"### | [الفصل الرابع في القراءة]
",000,False,000,False,False,False,1,952
"### | [الفصل الخامس في زلة القارئ]
",000,False,000,False,False,False,1,1971
"### | [الباب الخامس في الإمامة وفيه سبعة فصول]
",000,False,000,False,False,False,1,14
"### | [الفصل الأول في الجماعة]
",000,False,000,False,False,False,1,308
"### | [الفصل الثاني في بيان من هو أحق بالإمامة]
",000,False,000,False,False,False,1,374
"### | [الفصل الثالث في بيان من يصلح إماما لغيره]
",000,False,000,False,False,False,1,1613
"### | [الفصل الرابع في بيان ما يمنع صحة الاقتداء وما لا يمنع]
",000,False,000,False,False,False,1,782
"### | [الفصل الخامس في بيان مقام الإمام والمأموم]
",000,False,000,False,False,False,1,704
"### | [الفصل السادس فيما يتابع الإمام وفيما لا يتابعه]
",000,False,000,False,False,False,1,476
"### | [الفصل السابع في المسبوق واللاحق]
",000,False,000,False,False,False,1,1493
"### | [الباب السادس في الحدث في الصلاة]
",000,False,000,False,False,False,1,1184
"### | [فصل في الاستخلاف]
",000,False,000,False,False,False,1,1238
"### | [الباب السابع فيما يفسد الصلاة وما يكره فيها وفيه فصلان]
",000,False,000,False,False,False,1,20
"### | [الفصل الأول فيما يفسدها]
",000,False,000,False,False,False,1,4108
"### | [الفصل الثاني فيما يكره في الصلاة وما لا يكره]
",000,False,000,False,False,False,1,2860
"### | [الباب الثامن في صلاة الوتر]
",000,False,000,False,False,False,1,589
"### | [الباب التاسع في النوافل]
",000,False,000,False,False,False,1,406
