string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | اذار
",000,False,000,False,False,False,1,92
"### | نيسان
",000,False,000,False,False,False,1,111
"### | ايار
",000,False,000,False,False,False,1,122
"### | حزيران
",000,False,000,False,False,False,1,113
"### | تموز
",000,False,000,False,False,False,1,110
"### | اب
",000,False,000,False,False,False,1,112
"### | ايلول
",000,False,000,False,False,False,1,117
"### | تشرين اول
",000,False,000,False,False,False,1,120
"### | تشرين ثاني
",000,False,000,False,False,False,1,112
"### | كانون اول
",000,False,000,False,False,False,1,127
"### | كانون ثاني
",000,False,000,False,False,False,1,113
"### | شباط
",000,False,000,False,False,False,1,97
"### | اذار
",000,False,000,False,False,False,1,42
