string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الفصل الأول بيان أن مهمة الرسل الأولى تحقيق توحيد العبادة كشف الشبهات
",000,False,000,False,False,False,1,176
"### | الفصل الثاني بيان الأدلة على أن المشركين الذين قاتلهم الرسول مقرون بتوحيد الربوبية
",000,False,000,False,False,False,1,284
"### | الفصل الثالث بيان أن توحيد العبادة هو معنى لا إله إلا الله
",000,False,000,False,False,False,1,222
"### | الفصل الرابع معرفة المؤمن أن نعمة الله عليه بالتوحيد توجب الفرح به والخوف من سلبه
",000,False,000,False,False,False,1,165
"### | الفصل الخامس إن حكمة الله اقتضت أن ms03 يجعل لأنبيائه وأوليائه أعداء من الإنس والجن
",000,False,000,False,False,False,1,81
"### | الفصل السادس وجوب التسلح بالكتاب والسنة لدحض شبهات الأعداء
",000,year,000,False,False,False,1,179
"### | الفصل السابع الرد على أهل الباطل إجمالا وتفصيلا
",000,False,000,False,False,False,1,622
"### | الفصل الثامن الرد على من زعم أن الدعاء ليس بعبادة
",000,False,000,False,False,False,1,226
"### | الفصل التاسع الفرق بين الشفاعة الشرعية والشركية
",000,False,000,False,False,False,1,243
"### | الفصل العاشر إثبات أن الالتجاء إلى الصالحين شرك
",000,False,000,False,False,False,1,538
"### | الفصل الحادي عشر إثبات أن شرك الأولين أخف من شرك أهل زماننا
",000,False,000,False,False,False,1,274
"### | الفصل الثاني عشر كشف شبهة من زعم أن من أدى بعض واجبات الدين لا يكون كافرا
",000,False,000,False,False,False,1,780
"### | الفصل الثالث عشر حكم من وقع من المسلمين في نوع من الشرك جهلا ثم تاب منه
",000,False,000,False,False,False,1,186
"### | الفصل الرابع عشر الرد على زعم الاكتفاء في التوحيد بقول لا إله إلا الله ولو ناقضها
",000,False,000,False,False,False,1,405
"### | الفصل الخامس عشر الفرق بين الاستغاثة بالحي الحاضر فيما يقدر عليه والاستغاثة بغيره
",000,False,000,False,False,False,1,336
"### | الفصل السادس عشر وجوب تطبيق التوحيد بالقلب واللسان والجوارح إلا لعذر شرعي
",000,False,000,False,False,False,1,417
