string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | الرسالة الأولى مسائل الجاهلية 
",000,False,000,False,False,False,1,2026
"### | الرسالة الثانية: شرح ستة مواضيع من السيرة
",000,False,000,False,False,False,1,1460
"### | الرسالة الثالثة تفسير كلمة التوحيد
",000,False,000,False,False,False,1,959
"### | الرسالة الرابعة: تلقين أصول العقيدة للعامة
",000,False,000,False,False,False,1,613
"### | الرسالة الخامسة ثلاث مسائل
",000,False,000,False,False,False,1,170
"### | الرسالة السادسة: معنى الطاغوت ورؤوس أنواعة
",000,False,000,False,False,False,1,391
"### | الرسالة السابعة الأصل الجامع لعبادة الله وحده
",000,False,000,False,False,False,1,379
"### | الرسالة الثامنة بعض فوائد سورة الفاتحة
",000,False,000,False,False,False,1,376
"### | الرسالة التاسعة نواقض الإسلام
",000,False,000,False,False,False,1,303
"### | الرسالة العاشرة مسائل مستنبطة من قوله تعالى: {وأن المساجد لله فلا تدعو مع الله أحدا} 
",000,False,000,False,False,False,1,203
"### | الرسالة الحادية عشر: ثماني حالات استنبطها محمد بن عبد الوهاب من قوله تعالى: {قل يا أيها الناس إن كنتم في شك من ديني فلا أعبد الذين تعبدون من دون الله}
",000,False,000,False,False,False,1,375
"### | الرسالة الثانية عشر: ستة أصول عظيمة مفيدة
",000,False,000,False,False,False,1,609
"### | الرسالة الثالثة عشر: رسالة في توحيد العبادة
",000,False,000,False,False,False,1,342
