string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | (فصل) في الاجتهاد 
",000,False,000,False,False,False,1,3631
"### | (فصل) في سنن الوضوء.
",000,False,000,False,False,False,1,2393
"### | (فصل) في شروط الوضوء، 
",000,False,000,False,False,False,1,300
"### | (فصل) في المسح على الخفين، 
",000,False,000,False,False,False,1,3473
"### | (فصل) في الاستنجاء، 
",000,False,000,False,False,False,1,978
"### | (فصل) في موجبات الغسل 
",000,False,000,False,False,False,1,1995
"### | باب النجاسة وإزالتها
",000,False,000,False,False,False,1,1340
"### | (فصل) في إزالة النجاسة، 
",000,False,000,False,False,False,1,1105
"### | باب التيمم
",000,False,000,False,False,False,1,4331
"### | (فصل) في الحيض 
",000,False,000,False,False,False,1,1111
"### | باب الصلاة
",000,False,000,False,False,False,1,1210
"### | (فصل) في مواقيت الصلاة، 
",000,False,000,False,False,False,1,2185
"### | (فصل) في الصلاة المحرمة من حيث الوقت.
",000,False,000,False,False,False,1,599
"### | (فصل) في الأذان والإقامة 
",000,False,000,False,False,False,1,3009
"### | باب صفة الصلاة
",000,False,000,False,False,False,1,4486
"### | .... 
",000,False,000,False,False,False,1,972
"### | فصل: في سنن الصلاة
",000,False,000,False,False,False,1,7922
"### | [ص:29]
",000,False,000,False,False,False,1,248
"### | (فصل): في شروط الصلاة، 
",000,False,000,False,False,False,1,8276
"### | (فصل): في مكروهات الصلاة.
",000,False,000,False,False,False,1,2302
"### | (فصل:) في سجود السهو 
",000,False,000,False,False,False,1,5333
"### | (فصل): في صلاة النفل.
",000,False,000,False,False,False,1,5620
"### | (فصل): في شروط الإمام.
",000,False,000,False,False,False,1,6430
"### | (فصل): في صفات الأئمة المستحبة.
",000,False,000,False,False,False,1,760
"### | (فصل): في بعض سنن الجماعة.
",000,False,000,False,False,False,1,937
"### | باب صلاة المسافر
",000,False,000,False,False,False,1,581
"### | (فصل) فيما يتحقق ms295، وينتهي به السفر، وبعض شروط القصر.
",000,False,000,False,False,False,1,1218
"### | (فصل) في بقية (شروط القصر) 
",000,False,000,False,False,False,1,495
"### | (فصل) في الجمع بين الصلاتين بالسفر والمطر.
",000,False,000,False,False,False,1,1389
"### | باب صلاة الجمعة
",000,False,000,False,False,False,1,3613
"### | (فصل): في بعض سنن الخطبة والجمعة.
",000,False,000,False,False,False,1,800
"### | (فصل): في سنن الجمعة.
",000,False,000,False,False,False,1,2910
"### | (فصل) في اللباس.
",000,False,000,False,False,False,1,2239
"### | باب صلاة العيدين
",000,False,000,False,False,False,1,1340
"### | (فصل) في توابع ما مر.
",000,False,000,False,False,False,1,700
"### | باب صلاة الكسوف
",000,False,000,False,False,False,1,813
"### | باب صلاة الاستسقاء
",000,False,000,False,False,False,1,1106
"### | (فصل) في توابع ما مر:
",000,False,000,False,False,False,1,347
"### | (فصل) في حكم تارك الصلاة 
",000,False,000,False,False,False,1,557
"### | باب الجنائز
",000,False,000,False,False,False,1,1460
"### | (فصل) في غسل الميت وما يتعلق به.
",000,False,000,False,False,False,1,2442
"### | (فصل) في أركان الصلاة على الميت 
",000,False,000,False,False,False,1,2994
"### | (فصل:) في الدفن وما يتعلق به.
",000,False,000,False,False,False,1,1786
"### | باب الزكاة
",000,False,000,False,False,False,1,1554
"### | (فصل) في زكاة الغنم.
",000,False,000,False,False,False,1,49
"### | (فصل) في بعض ما يتعلق بما مر.
",000,False,000,False,False,False,1,1460
"### | باب زكاة النبات
",000,False,000,False,False,False,1,1144
"### | (فصل) في واجب ما ms405 ذكر وما يتبعه.
",000,False,000,False,False,False,1,975
"### | باب زكاة النقد
",000,False,000,False,False,False,1,1342
"### | (فصل) في زكاة التجارة.
",000,False,000,False,False,False,1,1107
"### | (فصل) في زكاة الفطر.
",000,False,000,False,False,False,1,2054
"### | (فصل) في النية في الزكاة وتعجيلها.
",000,False,000,False,False,False,1,4168
"### | (فصل) في صدقة التطوع.
",000,False,000,False,False,False,1,1191
"### | كتاب الصوم
",000,False,000,False,False,False,1,4751
"### | (فصل) فيما يبيح الفطر.
",000,False,000,False,False,False,1,1086
"### | (فصل) في سنن الصوم.
",000,False,000,False,False,False,1,1543
"### | (فصل) في بيان كفارة جماع رمضان.
",000,False,000,False,False,False,1,4415
"### | كتاب الاعتكاف
",000,False,000,False,False,False,1,1878
"### | باب الحج
",000,False,000,False,False,False,1,2677
"### | (فصل) في المواقيت.
",000,False,000,False,False,False,1,1848
"### | (فصل) في أركان الحج.
",000,False,000,False,False,False,1,963
"### | (فصل) في سنن تتعلق بالإحرام.
",000,False,000,False,False,False,1,3082
"### | (فصل) في واجبات السعي وبعض سننه.
",000,False,000,False,False,False,1,853
"### | (فصل) في الوقوف بعرفة وما يذكر معه.
",000,False,000,False,False,False,1,1090
"### | (فصل) في الحلق.
",000,False,000,False,False,False,1,3262
"### | (فصل:
",000,False,000,False,False,False,1,245
"### | (فصل) في أوجه أداء النسكين.
",000,False,000,False,False,False,1,934
"### | (فصل) في دم الترتيب والتقدير.
",000,False,000,False,False,False,1,856
"### | (فصل) في محرمات الإحرام.
",000,False,000,False,False,False,1,5994
"### | (فصل) في الإحصار والفوات وما يذكر معهما.
",000,False,000,False,False,False,1,2492
"### | باب الأضحية
",000,False,000,False,False,False,1,2676
"### | (فصل) في العقيقة.
",000,False,000,False,False,False,1,1022
"### | (فصل) في محرمات تتعلق بالشعر ونحوه.
",000,False,000,False,False,False,1,122
"### | خاتمة
",000,False,000,False,False,False,1,660
