string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مقدمة الكتاب]
",000,False,000,False,False,False,1,156
"### | [مسائل العقائد]
",000,False,000,False,False,False,1,4
"### | [الإيمان بقضاء الله وقدره]
",000,False,000,False,False,False,1,1461
"### | [الملائكة الكرام هل هي أجسام مركبة من جواهر وأعراض]
",000,False,000,False,False,False,1,1256
"### | [عذاب القبر]
",000,False,000,False,False,False,1,646
"### | [التفضيل بين النبي صلى الله عليه وسلم والقرآن العزيز]
",000,False,000,False,False,False,1,479
"### | [تفضيل القرآن على التوراة والإنجيل]
",000,False,000,False,False,False,1,717
"### | [وقت ظهور المهدي]
",000,False,000,False,False,False,1,612
"### | [حياة الأنبياء والشهداء في قبورهم]
",000,False,000,False,False,False,1,1787
"### | [الميزان الذي توزن به أعمال العباد يوم القيامة]
",000,False,000,False,False,False,1,534
"### | [وقوف الناس بالمحشر]
",000,False,000,False,False,False,1,297
"### | [دخول الأمم الجنة هل يختلطون أو كل أمة على حدتها]
",000,False,000,False,False,False,1,345
"### | [قرأة الله سورة الأنعام على أهل الجنة]
",000,False,000,False,False,False,1,346
"### | [الشمس والقمر هل يعذبان في النار]
",000,False,000,False,False,False,1,328
"### | [الجنة هل هي فوق السموات السبع والنار تحت الأرضين السبع]
",000,False,000,False,False,False,1,216
"### | [الجن والشياطين هل هم جنس واحد أو أجناس]
",000,False,000,False,False,False,1,1289
"### | [أهل الكهف هل هم نيام إلى الآن لم يموتوا]
",000,False,000,False,False,False,1,373
"### | [إرم ذات العماد هل لها حقيقة]
",000,False,000,False,False,False,1,523
"### | [الفرق بين الصلاح والإصلاح]
",000,False,000,False,False,False,1,67
"### | [الفرق بين العلم والإرادة والقدرة]
",000,False,000,False,False,False,1,756
"### | [الأرواح هل هي بأفنية القبور]
",000,False,000,False,False,False,1,133
"### | [صفة النار]
",000,False,000,False,False,False,1,2335
"### | [الأطفال هل يسألون في قبورهم]
",000,False,000,False,False,False,1,642
"### | [رؤية الله تعالى مناما]
",000,False,000,False,False,False,1,377
"### | [مسائل أصول الفقه]
",000,False,000,False,False,False,1,6
"### | [أنواع الأحكام الشرعية]
",000,False,000,False,False,False,1,2212
"### | [عمل أهل المدينة]
",000,False,000,False,False,False,1,1408
"### | [ترك السنة لكون المبتدع يفعلها]
",000,year,000,False,False,False,1,1750
"### | [صفة الانتقال من مذهب إلى مذهب]
",000,False,000,False,False,False,1,98
"### | [هل يجوز التقليد مطلقا]
",000,False,000,False,False,False,1,359
"### | [التقليد في الرخصة]
",000,False,000,False,False,False,1,1132
"### | [كيفية التقليد]
",000,False,000,False,False,False,1,2176
"### | [تعارضت الأدلة عند المجتهد وتساوت وعجز عن الترجيح]
",000,False,000,False,False,False,1,7606
"### | [الإفتاء بغير علم]
",000,False,000,False,False,False,1,8549
"### | [مسائل إزالة النجاسة]
",000,False,000,False,False,False,1,6
"### | [حكم إزالة النجاسة]
",000,False,000,False,False,False,1,526
