string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | (لا بد من أصل يرجع إليه عند الاختلاف)
",000,False,000,False,False,False,1,234
"### | (آيات أنزلها الله ثناء على الصحابة)
",000,False,000,False,False,False,1,900
"### | (السنة الصحيحة ما صححه أئمة الحديث الثقات المشهورون)
",000,year,000,False,False,False,1,1562
"### | (الاجتهاد والتقليد)
",000,False,000,False,False,False,1,355
"### | (صحبة أبي بكر)
",000,False,000,False,False,False,1,54
"### | (براءة عائشة)
",000,False,000,False,False,False,1,191
"### | (تفضيل الخلفاء الأربعة)
",000,False,000,False,False,False,1,159
"### | (التقية)
",000,False,000,False,False,False,1,957
"### | (حقوق القرابة وحقوق الصحبة والمؤازرة والنصرة)
",000,False,000,False,False,False,1,241
"### | (التحذير من انتقاص الصحابة أو سبهم)
",000,False,000,False,False,False,1,336
