string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | نشوة السكران
",000,False,000,False,False,False,1,105
"### | مقدمة في ذكر العشق واسمه وما جاء في حده ورسمه
",000,False,000,False,False,False,1,739
"### | مبحث في أسباب العشق وعلاماته
",000,False,000,False,False,False,1,408
"### | مبحث في مراتب العشق وأسمائه وصفاته
",000,False,000,False,False,False,1,739
"### | مبحث في العشق وذمه وترياقه وسمه
",000,False,000,False,False,False,1,518
"### | مبحث في أن العشق اضطراري أو اختياري
",000,False,000,False,False,False,1,574
"### | مبحث في ذكر الحسن والجمال
",000,False,000,False,False,False,1,1995
"### | مبحث في ذكر الغزلان
",000,False,000,False,False,False,1,959
"### | مبحث في قسمة العشق مخاطباته
",000,False,000,False,False,False,1,630
"### | مبحث في أقسام النسوان وجلوة عدة من سرب الغزلان
",000,False,000,False,False,False,1,755
"### | مبحث في التقسيم باعتبار السن
",000,False,000,False,False,False,1,2145
"### | فصل في أقسام الغزلان التي هي من مستخرجات أزاد رحمه الله تعالى
",000,False,000,False,False,False,1,4283
"### | مبحث في ذكر من كلف وهو غير مكلف
",000,False,000,False,False,False,1,1043
"### | فصل في أحوال العشاق
",000,False,000,False,False,False,1,977
"### | خاتمة
",000,False,000,False,False,False,1,786
"### | مطلق الحسن
",000,False,000,False,False,False,1,31
"### | الضفيرة
",000,False,000,False,False,False,1,28
"### | الجبهة
",000,False,000,False,False,False,1,31
"### | الحاجب
",000,False,000,False,False,False,1,25
"### | العين
",000,False,000,False,False,False,1,27
"### | الهدب
",000,False,000,False,False,False,1,26
"### | اللحظ
",000,False,000,False,False,False,1,29
"### | الكحل
",000,False,000,False,False,False,1,29
"### | الأنف
",000,False,000,False,False,False,1,25
"### | الفم
",000,False,000,False,False,False,1,23
"### | الشفة
",000,False,000,False,False,False,1,25
"### | المسي
",000,False,000,False,False,False,1,25
"### | الثغر
",000,False,000,False,False,False,1,26
"### | التبسم
",000,False,000,False,False,False,1,29
"### | اللسان
",000,False,000,False,False,False,1,28
"### | الحديث
",000,False,000,False,False,False,1,27
"### | الرضاب
",000,False,000,False,False,False,1,30
"### | الخد
",000,False,000,False,False,False,1,27
"### | العرق
",000,False,000,False,False,False,1,30
"### | الخال
",000,False,000,False,False,False,1,33
"### | الذقن
",000,False,000,False,False,False,1,21
"### | القرط
",000,False,000,False,False,False,1,31
"### | الجيد
",000,False,000,False,False,False,1,31
"### | الطوق
",000,False,000,False,False,False,1,28
"### | الثدي
",000,False,000,False,False,False,1,25
"### | الوشاح
",000,False,000,False,False,False,1,30
"### | القلب
",000,False,000,False,False,False,1,28
"### | الساعد
",000,False,000,False,False,False,1,27
"### | السوار
",000,False,000,False,False,False,1,26
"### | اليد
",000,False,000,False,False,False,1,29
"### | الظفر
",000,False,000,False,False,False,1,27
"### | الحناء
",000,False,000,False,False,False,1,28
"### | الخصر
",000,False,000,False,False,False,1,20
"### | السرة
",000,False,000,False,False,False,1,28
"### | ما تحت السرة
",000,False,000,False,False,False,1,27
"### | الردف
",000,False,000,False,False,False,1,25
"### | الساق
",000,False,000,False,False,False,1,28
"### | الرجل
",000,False,000,False,False,False,1,24
"### | الخلخال
",000,False,000,False,False,False,1,225
"### | الخاتمة
",000,False,000,False,False,False,1,1126
