string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | (العهد القديم)
",000,False,000,False,False,False,1,340843
"### || GEN التكوين
",000,False,000,False,False,False,2,22468
"### ||| GEN.1
",000,False,000,False,False,False,3,476
"### ||| GEN.2
",000,False,000,False,False,False,3,372
"### ||| GEN.3
",000,False,000,False,False,False,3,375
"### ||| GEN.4
",000,False,000,False,False,False,3,386
"### ||| GEN.5
",000,False,000,False,False,False,3,371
"### ||| GEN.6
",000,False,000,False,False,False,3,357
"### ||| GEN.7
",000,False,000,False,False,False,3,381
"### ||| GEN.8
",000,False,000,False,False,False,3,358
"### ||| GEN.9
",000,False,000,False,False,False,3,400
"### ||| GEN.10
",000,False,000,False,False,False,3,306
"### ||| GEN.11
",000,False,000,False,False,False,3,414
"### ||| GEN.12
",000,False,000,False,False,False,3,311
"### ||| GEN.13
",000,False,000,False,False,False,3,285
"### ||| GEN.14
",000,False,000,False,False,False,3,396
"### ||| GEN.15
",000,False,000,False,False,False,3,278
"### ||| GEN.16
",000,False,000,False,False,False,3,268
"### ||| GEN.17
",000,False,000,False,False,False,3,411
"### ||| GEN.18
",000,False,000,False,False,False,3,521
"### ||| GEN.19
",000,False,000,False,False,False,3,635
"### ||| GEN.20
",000,False,000,False,False,False,3,317
"### ||| GEN.21
",000,False,000,False,False,False,3,472
"### ||| GEN.22
",000,False,000,False,False,False,3,375
"### ||| GEN.23
",000,False,000,False,False,False,3,315
"### ||| GEN.24
",000,False,000,False,False,False,3,1024
"### ||| GEN.25
",000,False,000,False,False,False,3,438
"### ||| GEN.26
",000,False,000,False,False,False,3,532
"### ||| GEN.27
",000,False,000,False,False,False,3,728
"### ||| GEN.28
",000,False,000,False,False,False,3,359
"### ||| GEN.29
",000,False,000,False,False,False,3,522
"### ||| GEN.30
",000,False,000,False,False,False,3,606
"### ||| GEN.31
",000,False,000,False,False,False,3,829
"### ||| GEN.32
",000,False,000,False,False,False,3,480
"### ||| GEN.33
",000,False,000,False,False,False,3,299
"### ||| GEN.34
",000,False,000,False,False,False,3,425
"### ||| GEN.35
",000,False,000,False,False,False,3,448
"### ||| GEN.36
",000,False,000,False,False,False,3,557
"### ||| GEN.37
",000,False,000,False,False,False,3,545
"### ||| GEN.38
",000,False,000,False,False,False,3,470
"### ||| GEN.39
",000,False,000,False,False,False,3,432
"### ||| GEN.40
",000,False,000,False,False,False,3,343
"### ||| GEN.41
",000,False,000,False,False,False,3,875
"### ||| GEN.42
",000,False,000,False,False,False,3,585
"### ||| GEN.43
",000,False,000,False,False,False,3,579
"### ||| GEN.44
",000,False,000,False,False,False,3,540
"### ||| GEN.45
",000,False,000,False,False,False,3,433
"### ||| GEN.46
",000,False,000,False,False,False,3,483
"### ||| GEN.47
",000,False,000,False,False,False,3,571
"### ||| GEN.48
",000,False,000,False,False,False,3,399
"### ||| GEN.49
",000,False,000,False,False,False,3,442
"### ||| GEN.50
",000,False,000,False,False,False,3,426
"### || EXO الخروج
",000,False,000,False,False,False,2,17966
"### ||| EXO.1
",000,False,000,False,False,False,3,272
"### ||| EXO.2
",000,False,000,False,False,False,3,370
"### ||| EXO.3
",000,False,000,False,False,False,3,429
"### ||| EXO.4
",000,False,000,False,False,False,3,511
"### ||| EXO.5
",000,False,000,False,False,False,3,365
