string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مختار من ديوان العلامة الأديب الأوحد الناظم الناثر الفقيه عمارة اليمنى رحمه الله تعالى
",000,False,000,False,False,False,1,27420
"### || قافية الألف
",000,False,000,False,False,False,2,745
"### || قافية الباء
",000,False,000,False,False,False,2,2413
"### || قافية التاء
",000,False,000,False,False,False,2,724
"### || قافية الجيم
",000,False,000,False,False,False,2,37
"### || قافية الحاء
",000,False,000,False,False,False,2,571
"### || قافية الخاء
",000,False,000,False,False,False,2,178
"### || قافية الدال
",000,False,000,False,False,False,2,2759
"### || قافية الراء
",000,False,000,False,False,False,2,6977
"### || قافية الزاي
",000,False,000,False,False,False,2,37
"### || قافية السين
",000,False,000,False,False,False,2,123
"### || قافية الشين
",000,False,000,False,False,False,2,83
"### || قافية الضاد
",000,False,000,False,False,False,2,53
"### || قافية العين
",000,False,000,False,False,False,2,1077
"### || قافية الفاء
",000,False,000,False,False,False,2,342
"### || قافية القاف
",000,False,000,False,False,False,2,864
"### || قافية الكاف
",000,False,000,False,False,False,2,30
"### || قافية اللام
",000,False,000,False,False,False,2,3755
"### || قافية الميم
",000,False,000,False,False,False,2,3425
"### || قافية النون
",000,False,000,False,False,False,2,2720
"### || قافية الهاء
",000,False,000,False,False,False,2,63
"### || قافية الياء 
",000,False,000,False,False,False,2,577
"### | ذيل ديوان عمارة اليمني
",000,False,000,False,False,False,1,765
