string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة المؤلف قدس سره
",000,False,000,False,False,False,1,421
"### | الركن الأول في المعرفين
",000,False,000,False,False,False,1,34266
"### || المقصد الأول في العالم الجليل والفاضل النبيل، الحامي في طريق ربه الباري الشيخ الشهير (ابن الغضائري
",000,False,000,False,False,False,2,7198
"### ||| مقدمة:
",000,False,000,False,False,False,3,423
"### ||| (معنى الغضائري)
",000,False,000,False,False,False,3,1221
"### ||| المبحث الثاني في بيان حاله
",000,False,000,False,False,False,3,3012
"### |||| والد الغضائري أبو عبد الله حسين بن عبيد الله الغضائري
",000,False,000,False,False,False,4,918
"### ||| المبحث الثالث في اعتبار تضعيفاته وعدمه (1)
",000,False,000,False,False,False,3,2513
"### |||| (توثيقات ابن الغضائري)
",000,False,000,False,False,False,4,145
"### || المقصد الثاني في العالم بالأخبار والمضطلع في الآثار محمد بن عمر بن عبد العزيز المعروف ب‍ (الكشي)
",000,False,000,False,False,False,2,3491
"### ||| قوله (صحب العياشي):
",000,False,000,False,False,False,3,740
"### ||| قوله (كتاب الرجال):
",000,False,000,False,False,False,3,35
"### ||| قوله (إلا أن فيه أغلاطا كثيرة):
",000,False,000,False,False,False,3,583
"### ||| وهاهنا فوائد
",000,False,000,False,False,False,3,1654
"### || المقصد الثالث في الحبر الذي يقتطف منه أزهار العلوم ويقتبس منه أنواع الفضل وأنواره، شيخ الطائفة محمد بن الحسن الطوسي
",000,False,000,False,False,False,2,8677
"### ||| المبحث الأول في بيان مصنفاته في علم الرجال وما يتعلق به مما نحن في صدده في ذاك المجال
",000,False,000,False,False,False,3,7233
"### |||| الأول: (اختيار الرجال)
",000,False,000,False,False,False,4,164
"### |||| (الثاني: الفهرست)
",000,False,000,False,False,False,4,3576
"### ||||| موضوع كتاب الفهرست
",000,False,000,False,False,False,5,313
"### ||||| في أن الفهرست بالتاء من الأغلاط
",000,False,000,False,False,False,5,70
"### |||| (الثالث: الرجال)
",000,False,000,False,False,False,4,3478
"### ||||| (المطلب) الأول (في عنوانه رجالا في أصحاب الأئمة وفيمن لم يرو عنهم عليهم السلام)
",000,False,000,False,False,False,5,655
"### ||||| المطلب الثاني (المراد من الأصحاب في كلام الشيخ)
",000,False,000,False,False,False,5,1333
"### ||||| المطلب الثالث (بناؤه ضبط أسماء الرواة عنهم عليهم السلام من دون اختصاص بالموثقين)
",000,False,000,False,False,False,5,1442
"### ||| المبحث الثاني في توثيقاته وتضعيفاته ونحوهما
",000,False,000,False,False,False,3,1285
"### || المقصد الرابع في العالم الثقة، الثبت، البصير والفاضل الفطن الشيخ أبي العباس، أحمد بن علي بن أحمد، الشهير ب‍ (النجاشي).
",000,False,000,False,False,False,2,5180
"### ||| مقدمة:
",000,False,000,False,False,False,3,137
"### ||| [المبحث] الأول
",000,False,000,False,False,False,3,1026
"### |||| في تحقيق شخصه
",000,False,000,False,False,False,4,624
"### |||| [النجاشي من أجلاء فن الرجال]
",000,False,000,False,False,False,4,404
"### ||| المبحث الثاني
",000,False,000,False,False,False,3,2690
"### |||| في وصف كتابه
",000,False,000,False,False,False,4,1887
"### |||| [النجاشي أثبت علماء الرجال وأضبطهم]
",000,False,000,False,False,False,4,354
"### |||| [قوة معرفة النجاشي في فن الرجال]
",000,False,000,False,False,False,4,457
"### ||| المبحث الثالث [ما وقع في رجال النجاشي من الأغلاط]
",000,False,000,False,False,False,3,1310
"### || المقصد الخامس في الطالع من سماء العلم كالبدر الباهر المشتهر في الآفاق بالعلامة على الإطلاق أعني: الحسن بن يوسف بن مطهر
",000,False,000,False,False,False,2,7856
"### ||| [المبحث الأول] [فيما صنف العلامة في فن الرجال] 
",000,False,000,False,False,False,3,699
"### ||| المبحث الثاني [في اعتبار توثيقات العلامة]
",000,False,000,False,False,False,3,682
"### ||| المبحث الثالث [ما وقع في الخلاصة من الاشتباه]
",000,False,000,False,False,False,3,641
"### ||| [الفائدة الأولى في المراد عن العدة في كتاب الكافي]
",000,False,000,False,False,False,3,2832
"### |||| تنبيه 
",000,False,000,False,False,False,4,1948
"### ||| الفائدة الثانية [في تعرض العلامة لطرق الشيخ في التهذيبين]
",000,False,000,False,False,False,3,911
"### ||| الفائدة الثالثة [في رواية إبراهيم بن هاشم عن حماد]
",000,False,000,False,False,False,3,1830
"### || المقصد السادس في الحسن بن علي بن داود
",000,False,000,False,False,False,2,1866
"### ||| تنبيه
",000,False,000,False,False,False,3,288
"### | الركن الثاني في المعرفين
",000,False,000,False,False,False,1,57945
"### || المقام الأول في تمييز المشتركات وفيه مقاصد
",000,False,000,False,False,False,2,36862
"### ||| المقصد الأول في أبي بصير
",000,False,000,False,False,False,3,12928
"### |||| [الفصل الأول] في يوسف بن الحارث 
",000,False,000,False,False,False,4,435
"### |||| الفصل الثاني في عبد الله بن محمد الأسدي
",000,False,000,False,False,False,4,998
"### |||| الفصل الثالث في يحيى
",000,False,000,False,False,False,4,6574
"### ||||| المقام يقتضي رسم مباحث 
",000,False,000,False,False,False,5,5999
"### |||| الفصل الرابع في ms167 أبي بصير ليث المرادي
",000,False,000,False,False,False,4,2560
"### |||| الفصل الخامس في نبذة من المميزات 
",000,False,000,False,False,False,4,2055
"### ||||| [المبحث] الأول فيما يميز به الأسدي عن المرادي، وهو أمور
",000,False,000,False,False,False,5,1022
"### ||||| المبحث الثاني فيما يميز به المرادي، عن الأسدي
",000,False,000,False,False,False,5,912
"### ||| المقصد الثاني في علي بن أبي حمزة
",000,False,000,False,False,False,3,12381
"### |||| [المبحث الأول] [مذهب علي بن أبي حمزة البطائني ووثاقته] 
",000,False,000,False,False,False,4,6308
"### |||| المبحث الثاني في بيان التمييز بينهما
",000,False,000,False,False,False,4,3078
"### |||| وهاهنا أمور ينبغي التنبيه عليها
",000,False,000,False,False,False,4,2559
"### ||||| ما وقع في الأسانيد من التصحيف
",000,False,000,False,False,False,5,1820
"### ||||| (عقد وحل)
",000,False,000,False,False,False,5,744
"### ||| المقصد الثالث في محمد بن إسماعيل، الراوي عن الفضل النبيل
",000,False,000,False,False,False,3,11556
"### |||| [المبحث الأول في تمييز شخصه]
",000,False,000,False,False,False,4,5676
"### |||| المبحث الثاني في تحقيق حاله
",000,False,000,False,False,False,4,1688
"### |||| تنبيهات 
",000,False,000,False,False,False,4,1458
"### |||| وهنا أمور ينبغي التنبيه عليها
",000,False,000,False,False,False,4,863
"### |||| ثم إنا نختم الكلام في تميز المشتركات بما ذكره صاحب الانتخاب في تميز نبذة منهم، لما فيه من كثرة الجدوى وشدة البلوى
",000,False,000,False,False,False,4,1263
"### || المقام الثاني في نقد المشتبهات
",000,False,000,False,False,False,2,21010
"### ||| الأول في إسماعيل بن أبي زياد المعروف ب‍ (السكوني)
",000,False,000,False,False,False,3,6909
"### |||| (المبحث) الأول
",000,False,000,False,False,False,4,995
"### ||||| في تحقيق شخصه واسمه ولقبه.
",000,False,000,False,False,False,5,811
"### ||||| [اطلاق السكوني على أشخاص كثيرة]
",000,False,000,False,False,False,5,184
"### |||| المبحث الثاني في تحقيق مذهبه
",000,False,000,False,False,False,4,1791
"### |||| المبحث الثالث في تحقيق وصف أخباره
",000,False,000,False,False,False,4,3007
"### |||| تنبيهات
",000,False,000,False,False,False,4,1093
