string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | المجلد الأول
",000,False,000,False,False,False,1,4
"### | مقدمات
",000,False,000,False,False,False,1,2
"### | مقدمة المؤلف
",000,False,000,False,False,False,1,231
"### | نص كتاب الأستاذ الإمام:
",000,False,000,False,False,False,1,67
"### | تصدير
",000,False,000,False,False,False,1,813
"### | صدر الكتاب
",000,False,000,False,False,False,1,658
"### | اليمامتان
",000,False,000,False,False,False,1,1481
"### | .... 
",000,False,000,False,False,False,1,876
"### | اجتلاء العيد
",000,False,000,False,False,False,1,743
"### | المعنى السياسي في العيد
",000,False,000,False,False,False,1,489
"### | الربيع
",000,False,000,False,False,False,1,528
"### | عرش الورد
",000,False,000,False,False,False,1,900
"### | أيها البحر
",000,False,000,False,False,False,1,633
"### | في الربيع الأزرق *: خواطر مرسلة 
",000,False,000,False,False,False,1,708
"### | حديث قطين:
",000,False,000,False,False,False,1,1786
"### | بين خروفين
",000,False,000,False,False,False,1,2527
"### | الطفولتان
",000,False,000,False,False,False,1,1847
"### | أحلام في الشارع
",000,False,000,False,False,False,1,1725
"### | أحلام في قصر
",000,False,000,False,False,False,1,1332
"### | بنت الباشا
",000,False,000,False,False,False,1,1276
"### | ورقة ورد
",000,False,000,False,False,False,1,990
"### | سمو الحب
",000,False,000,False,False,False,1,2541
"### | قصة زواج * وفلسفة المهر:
",000,False,000,False,False,False,1,1835
"### | ..... 
",000,False,000,False,False,False,1,670
"### | ذيل القصة وفلسفة المال
",000,False,000,False,False,False,1,1993
"### | زوجة إمام
",000,False,000,False,False,False,1,2260
"### | زوجة إمام بقية الخير
",000,False,000,False,False,False,1,1821
"### | قبح جميل
",000,False,000,False,False,False,1,2094
"### | .... 
",000,False,000,False,False,False,1,346
"### | الطائشة
",000,False,000,False,False,False,1,1089
"### | .... 
",000,False,000,False,False,False,1,2809
"### | دموع من رسائل الطائشة
",000,False,000,False,False,False,1,1071
"### | فلسفة الطائشة
",000,False,000,False,False,False,1,1981
"### | تربية لؤلؤية
",000,False,000,False,False,False,1,453
"### | .... 
",000,False,000,False,False,False,1,2
"### | .... 
",000,False,000,False,False,False,1,1499
"### | س. ا.ع 
",000,False,000,False,False,False,1,212
"### | .... 
",000,False,000,False,False,False,1,1677
"### | استنوق الجمل
",000,False,000,False,False,False,1,1527
"### | أرملة حكومة
",000,False,000,False,False,False,1,1782
"### | رؤيا في السماء
",000,False,000,False,False,False,1,1717
"### | 
",000,False,000,False,False,False,1,0
"### | بنته الصغيرة
",000,False,000,False,False,False,1,1967
"### | بنته الصغيرة
",000,False,000,False,False,False,1,132
"### | .... 
",000,False,000,False,False,False,1,1961
"### | الأجنبية
",000,False,000,False,False,False,1,2149
"### | قصيدة مترجمة عن الشيطان: لحوم البحر
",000,False,000,False,False,False,1,1821
"### | 
",000,False,000,False,False,False,1,0
"### | الجمال البائس *: ""
",000,False,000,False,False,False,1,1243
"### | 
",000,False,000,False,False,False,1,0
"### | الجمال البائس: ""
",000,False,000,False,False,False,1,1574
"### | 
",000,False,000,False,False,False,1,0
"### | الجمال البائس: ""
",000,False,000,False,False,False,1,1635
"### | 
",000,False,000,False,False,False,1,0
"### | الجمال البائس: ""
",000,False,000,False,False,False,1,1429
"### | الجمال البائس: ""5""
",000,False,000,False,False,False,1,1990
"### | عروبة اللقطاء *:
",000,False,000,False,False,False,1,1784
"### | .... 
",000,False,000,False,False,False,1,38
"### | الله أكبر
",000,False,000,False,False,False,1,1524
"### | في اللهب ولا تحترق
",000,False,000,False,False,False,1,1431
"### | 
",000,False,000,False,False,False,1,0
"### | المشكلة
",000,False,000,False,False,False,1,1780
"### | 
",000,False,000,False,False,False,1,0
"### | المشكلة ""
",000,False,000,False,False,False,1,1599
"### | 
",000,False,000,False,False,False,1,0
"### | المشكلة ""
",000,False,000,False,False,False,1,1981
"### | المشكلة ""4"":
",000,False,000,False,False,False,1,1681
"### | فهرس المحتويات
",000,False,000,False,False,False,1,170
"### | المجلد الثاني
",000,False,000,False,False,False,1,4
"### | الإشراق الإلهي وفلسفة الإسلام
",000,False,000,False,False,False,1,1704
"### | حقيقة المسلم
",000,False,000,False,False,False,1,1197
"### | وحي الهجرة
",000,False,000,False,False,False,1,1438
"### | فلسفة القصة
",000,False,000,False,False,False,1,1539
"### | فوق الآدمية * الإسراء والمعراج:
",000,False,000,False,False,False,1,1832
"### | الإنسانية العليا
",000,False,000,False,False,False,1,1998
"### | 
",000,False,000,False,False,False,1,0
"### | سمو الفقر * في المصلح الاجتماعي الأعظم ""
",000,False,000,False,False,False,1,1525
"### | سمو الفقر في المصلح الاجتماعي الأعظم ""2""
",000,False,000,False,False,False,1,1574
"### | درس من النبوة
",000,False,000,False,False,False,1,1607
"### | شهر للثورة * فلسفة الصيام:
",000,False,000,False,False,False,1,1489
"### | ثبات الأخلاق
",000,False,000,False,False,False,1,1541
"### | قلت لنفسي وقالت لي
",000,False,000,False,False,False,1,1748
"### | 
",000,False,000,False,False,False,1,0
"### | الانتحار * ""
",000,False,000,False,False,False,1,2284
"### | 
",000,False,000,False,False,False,1,0
"### | الانتحار ""
",000,False,000,False,False,False,1,2098
"### | 
",000,False,000,False,False,False,1,0
"### | الانتحار ""
",000,False,000,False,False,False,1,1977
"### | 
",000,False,000,False,False,False,1,0
"### | الانتحار ""
",000,False,000,False,False,False,1,1756
"### | 
",000,False,000,False,False,False,1,0
"### | الانتحار ""
",000,False,000,False,False,False,1,2163
"### | الانتحار ""6""
",000,False,000,False,False,False,1,2228
"### | وحي القبور
",000,False,000,False,False,False,1,969
"### | عروس تزف إلى قبرها * ""1"":
",000,False,000,False,False,False,1,216
"### | 2- 
",000,False,000,False,False,False,1,250
"### | 3- 
",000,False,000,False,False,False,1,389
"### | 4- 
",000,False,000,False,False,False,1,63
"### | موت أم
",000,False,000,False,False,False,1,975
"### | قصة أب
",000,False,000,False,False,False,1,1406
"### | السمكة:
",000,False,000,False,False,False,1,2192
"### | الزاهدان * ""2"":
",000,False,000,False,False,False,1,1613
