string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | المجلد الأول
",000,False,000,False,False,False,1,4
"### | فهارس
",000,False,000,False,False,False,1,2
"### | فهرس: الجزء الأول
",000,False,000,False,False,False,1,58
"### | 31 1- 
",000,False,000,False,False,False,1,6
"### | 32 2- 
",000,False,000,False,False,False,1,6
"### | 33 3- 
",000,False,000,False,False,False,1,76
"### | فهرس: الجزء الثاني
",000,False,000,False,False,False,1,71
"### | 128 1- 
",000,False,000,False,False,False,1,12
"### | 131 2- 
",000,False,000,False,False,False,1,23
"### | 135 1- 
",000,False,000,False,False,False,1,8
"### | 136 2- 
",000,False,000,False,False,False,1,10
"### | 137 3- 
",000,False,000,False,False,False,1,6
"### | 139 4- 
",000,False,000,False,False,False,1,6
"### | 140 5- 
",000,False,000,False,False,False,1,8
"### | 141 6- 
",000,False,000,False,False,False,1,13
"### | 146 1- 
",000,False,000,False,False,False,1,16
"### | 149 2- 
",000,False,000,False,False,False,1,99
"### | 202 1- 
",000,False,000,False,False,False,1,10
"### | 206 2- 
",000,False,000,False,False,False,1,10
"### | 212 3- 
",000,False,000,False,False,False,1,46
"### | فهرس: الجزء الثالث
",000,False,000,False,False,False,1,88
"### | 288 1- 
",000,False,000,False,False,False,1,18
"### | 290 2- 
",000,False,000,False,False,False,1,20
"### | 294 3- 
",000,False,000,False,False,False,1,20
"### | 298 4- 
",000,False,000,False,False,False,1,22
"### | 303 1- 
",000,False,000,False,False,False,1,8
"### | 305 2- 
",000,False,000,False,False,False,1,42
"### | 331 1- 
",000,False,000,False,False,False,1,6
"### | 334 2- 
",000,False,000,False,False,False,1,10
"### | 335 3- 
",000,False,000,False,False,False,1,18
"### | 354 1- 
",000,False,000,False,False,False,1,12
"### | 355 2- 
",000,False,000,False,False,False,1,8
"### | 357 - 
",000,False,000,False,False,False,1,26
"### | 368 1- 
",000,False,000,False,False,False,1,10
"### | 370 2- 
",000,False,000,False,False,False,1,10
"### | 371 3- 
",000,False,000,False,False,False,1,20
"### | 373 4- 
",000,False,000,False,False,False,1,19
"### | 378 1- 
",000,False,000,False,False,False,1,8
"### | 380 2- 
",000,False,000,False,False,False,1,39
"### | 411 1- 
",000,False,000,False,False,False,1,6
"### | 412 2- 
",000,False,000,False,False,False,1,14
"### | المقدمات
",000,False,000,False,False,False,1,2
"### | مقدمة الناشر
",000,False,000,False,False,False,1,176
"### | مقدمة الكتاب
",000,False,000,False,False,False,1,426
"### | الجزء الأول
",000,False,000,False,False,False,1,4
"### | إرشادات في طريقة التدريس:
",000,False,000,False,False,False,1,14
"### | 1- 
",000,False,000,False,False,False,1,17
"### | 2- 
",000,False,000,False,False,False,1,9
"### | 3- 
",000,False,000,False,False,False,1,23
"### | 4- 
",000,False,000,False,False,False,1,15
"### | 5- 
",000,False,000,False,False,False,1,21
"### | 6- 
",000,False,000,False,False,False,1,36
"### | 7- 
",000,False,000,False,False,False,1,91
"### | 1- 
",000,False,000,False,False,False,1,25
"### | 2- 
",000,False,000,False,False,False,1,31
"### | 3- 
",000,False,000,False,False,False,1,14
"### | 4- 
",000,False,000,False,False,False,1,38
"### | 5- 
",000,False,000,False,False,False,1,37
"### | 6- 
",000,False,000,False,False,False,1,31
"### | الجملة المفيدة
",000,False,000,False,False,False,1,4
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,9
"### | 6- 
",000,False,000,False,False,False,1,134
"### | 1- 
",000,False,000,False,False,False,1,23
"### | 2- 
",000,False,000,False,False,False,1,47
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,5
"### | 7- 
",000,False,000,False,False,False,1,7
"### | 8- 
",000,False,000,False,False,False,1,7
"### | 9- 
",000,False,000,False,False,False,1,7
"### | 10- 
",000,False,000,False,False,False,1,9
"### | 11- 
",000,False,000,False,False,False,1,9
"### | 12- 
",000,False,000,False,False,False,1,20
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,5
"### | 7- 
",000,False,000,False,False,False,1,5
"### | 8- 
",000,False,000,False,False,False,1,18
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,7
"### | 1- 
",000,False,000,False,False,False,1,19
"### | 2- 
",000,False,000,False,False,False,1,42
"### | أجزاء الجملة
",000,False,000,False,False,False,1,4
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,9
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,9
"### | 7- 
",000,False,000,False,False,False,1,9
"### | 8- 
",000,False,000,False,False,False,1,189
"### | 3- 
",000,False,000,False,False,False,1,75
"### | 1- 
",000,False,000,False,False,False,1,9
"### | 2- 
",000,False,000,False,False,False,1,9
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,6
"### | تقسيم الكلمة إلى اسم، وفعل وحرف:
",000,False,000,False,False,False,1,8
"### | 3- 
",000,False,000,False,False,False,1,75
"### | 1- 
",000,False,000,False,False,False,1,9
"### | 2- 
",000,False,000,False,False,False,1,9
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,6
"### | 7- 
",000,False,000,False,False,False,1,7
"### | 8- 
",000,False,000,False,False,False,1,9
"### | 9- 
",000,False,000,False,False,False,1,7
"### | 10- 
",000,False,000,False,False,False,1,9
"### | 11- 
",000,False,000,False,False,False,1,7
"### | 12- 
",000,False,000,False,False,False,1,20
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,9
"### | 6- 
",000,False,000,False,False,False,1,9
"### | 7- 
",000,False,000,False,False,False,1,7
"### | 8- 
",000,False,000,False,False,False,1,9
"### | 9- 
",000,False,000,False,False,False,1,9
"### | 10- 
",000,False,000,False,False,False,1,9
"### | 1- 
",000,False,000,False,False,False,1,17
"### | 2- 
",000,False,000,False,False,False,1,23
"### | 3- 
",000,False,000,False,False,False,1,23
"### | 4- 
",000,False,000,False,False,False,1,17
"### | 1- 
",000,False,000,False,False,False,1,15
"### | 2- 
",000,False,000,False,False,False,1,15
"### | 3- 
",000,False,000,False,False,False,1,15
"### | 4- 
",000,False,000,False,False,False,1,12
"### | 1- 
",000,False,000,False,False,False,1,23
"### | 2- 
",000,False,000,False,False,False,1,25
"### | 3- 
",000,False,000,False,False,False,1,27
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,3
"### | 6- 
",000,False,000,False,False,False,1,5
"### | 7- 
",000,False,000,False,False,False,1,7
"### | 8- 
",000,False,000,False,False,False,1,18
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,5
"### | 7- 
",000,False,000,False,False,False,1,5
"### | 8- 
",000,False,000,False,False,False,1,16
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,9
"### | 5- 
",000,False,000,False,False,False,1,7
"### | 6- 
",000,False,000,False,False,False,1,8
"### | 1- 
",000,False,000,False,False,False,1,23
"### | 2- 
",000,False,000,False,False,False,1,25
"### | 3- 
",000,False,000,False,False,False,1,15
"### | تقسيم الفعل باعتبار زمنه:
",000,False,000,False,False,False,1,8
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,84
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,5
"### | 7- 
",000,False,000,False,False,False,1,5
"### | 8- 
",000,False,000,False,False,False,1,109
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,7
"### | 6- 
",000,False,000,False,False,False,1,109
"### | 1- 
",000,False,000,False,False,False,1,23
"### | 2- 
",000,False,000,False,False,False,1,25
"### | 3- 
",000,False,000,False,False,False,1,15
"### | 4- 
",000,False,000,False,False,False,1,15
"### | 5- 
",000,False,000,False,False,False,1,19
"### | 6- 
",000,False,000,False,False,False,1,19
"### | 7- 
",000,False,000,False,False,False,1,16
"### | 1- 
",000,False,000,False,False,False,1,29
"### | 2- 
",000,False,000,False,False,False,1,42
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,9
"### | 4- 
",000,False,000,False,False,False,1,21
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,8
"### | 1- 
",000,False,000,False,False,False,1,19
"### | 2- 
",000,False,000,False,False,False,1,19
"### | 3- 
",000,False,000,False,False,False,1,13
"### | 1- 
",000,False,000,False,False,False,1,31
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,25
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,7
"### | 6- 
",000,False,000,False,False,False,1,28
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,7
"### | 6- 
",000,False,000,False,False,False,1,7
"### | 1- 
",000,False,000,False,False,False,1,25
"### | 2- 
",000,False,000,False,False,False,1,25
"### | 3- 
",000,False,000,False,False,False,1,25
"### | 4- 
",000,False,000,False,False,False,1,13
"### | الفاعل
",000,False,000,False,False,False,1,3
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,75
"### | 7- 
",000,False,000,False,False,False,1,132
"### | 1- 
",000,False,000,False,False,False,1,13
"### | 2- 
",000,False,000,False,False,False,1,15
"### | 1- 
",000,False,000,False,False,False,1,12
"### | 2- 
",000,False,000,False,False,False,1,17
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | المفعول به
",000,False,000,False,False,False,1,4
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,7
"### | 6- 
",000,False,000,False,False,False,1,101
"### | 8- 
",000,False,000,False,False,False,1,24
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,7
"### | 6- 
",000,False,000,False,False,False,1,7
"### | 7- 
",000,False,000,False,False,False,1,7
"### | 8- 
",000,False,000,False,False,False,1,46
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,5
"### | 7- 
",000,False,000,False,False,False,1,5
"### | 8- 
",000,False,000,False,False,False,1,5
"### | 9- 
",000,False,000,False,False,False,1,69
"### | 1- 
",000,False,000,False,False,False,1,21
"### | 2- 
",000,False,000,False,False,False,1,20
"### | 1- 
",000,False,000,False,False,False,1,16
"### | 2- 
",000,False,000,False,False,False,1,22
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,6
"### | الموازنة بين الفاعل والمفعول به:
",000,False,000,False,False,False,1,7
"### | 1- 
",000,False,000,False,False,False,1,7
"### | 2- 
",000,False,000,False,False,False,1,7
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,7
"### | 5- 
",000,False,000,False,False,False,1,7
"### | 6- 
",000,False,000,False,False,False,1,25
"### | 1- 
",000,False,000,False,False,False,1,15
"### | 2- 
",000,False,000,False,False,False,1,15
"### | 3- 
",000,False,000,False,False,False,1,17
"### | 4- 
",000,False,000,False,False,False,1,9
"### | 5- 
",000,False,000,False,False,False,1,8
"### | المبتدأ والخبر
",000,False,000,False,False,False,1,4
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,103
"### | 9- 
",000,False,000,False,False,False,1,13
"### | 10- 
",000,False,000,False,False,False,1,27
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,5
"### | 7- 
",000,False,000,False,False,False,1,5
"### | 8- 
",000,False,000,False,False,False,1,5
"### | 9- 
",000,False,000,False,False,False,1,87
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,19
"### | 1- 
",000,False,000,False,False,False,1,16
"### | 2- 
",000,False,000,False,False,False,1,36
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | الجملة الفعلية
",000,False,000,False,False,False,1,4
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
"### | 4- 
",000,False,000,False,False,False,1,5
"### | 5- 
",000,False,000,False,False,False,1,5
"### | 6- 
",000,False,000,False,False,False,1,44
"### | 11- 
",000,False,000,False,False,False,1,128
"### | الجملة الاسمية
",000,False,000,False,False,False,1,4
"### | 1- 
",000,False,000,False,False,False,1,5
"### | 2- 
",000,False,000,False,False,False,1,5
"### | 3- 
",000,False,000,False,False,False,1,5
