string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | إهداء الكتاب
",000,False,000,False,False,False,1,88
"### | المقدمة
",000,False,000,False,False,False,1,710
"### | [متن الكتاب]
",000,False,000,False,False,False,1,4
"### | نسبه صلى الله عليه وسلم
",000,False,000,False,False,False,1,140
"### | مناقب أجداده صلى الله عليه وسلم
",000,False,000,False,False,False,1,720
"### | أولاد عبد المطلب: أعمام رسول الله وعماته
",000,False,000,False,False,False,1,208
"### | نذر عبد المطلب جد النبي صلى الله عليه وسلم
",000,False,000,False,False,False,1,551
"### | زواج عبد الله
",000,False,000,False,False,False,1,241
"### | قصة الفيل
",000,False,000,False,False,False,1,652
"### | مولده صلى الله عليه وسلم
",000,False,000,False,False,False,1,394
"### | الاحتفال بمولده ms013 صلى الله عليه وسلم.
",000,False,000,False,False,False,1,545
"### | مرضعاته صلى الله عليه وسلم
",000,False,000,False,False,False,1,465
"### | شق الصدر
",000,False,000,False,False,False,1,346
"### | الحض على قتله صغيرا
",000,False,000,False,False,False,1,190
"### | وفاة آمنة
",000,False,000,False,False,False,1,176
"### | عبد المطلب يهنئ سيف بن ذي يزن
",000,False,000,False,False,False,1,800
"### | وفاة جده عبد المطلب وكفالة عمه أبي طالب
",000,False,000,False,False,False,1,359
"### | السفر إلى الشام.
",000,False,000,False,False,False,1,958
"### | من هو بحيرا؟
",000,False,000,False,False,False,1,122
"### | رعية رسول الله الغنم بمكة (1)
",000,False,000,False,False,False,1,85
"### | حرب الفجار (1) (580 - 590 م)
",000,False,000,False,False,False,1,400
"### | حلف الفضول
",000,False,000,False,False,False,1,95
"### | هل سافر النبي إلى اليمن؟
",000,False,000,False,False,False,1,90
"### | الرحلة الثانية إلى الشام 595 م.
",000,False,000,False,False,False,1,218
"### | تزويج رسول الله خديجة رضي الله عنها.
",000,False,000,False,False,False,1,494
"### | تجديد بناء الكعبة سنة 605 م.
",605,year,000,False,605,764,1,430
"### | تسميته بالأمين صلى الله عليه وسلم.
",000,False,000,False,False,False,1,141
"### | رسالة محمد صلى الله عليه وسلم.
",000,False,000,False,False,False,1,1209
"### | انذار يهود برسول الله صلى الله عليه وسلم.
",000,False,000,False,False,False,1,568
"### | سلمان الفارسي وقصة إسلامه
",000,False,000,False,False,False,1,973
"### | من تسمى في الجاهلية بمحمد
",000,False,000,False,False,False,1,125
"### | كنية النبي وأسماؤه
",000,False,000,False,False,False,1,141
"### | عبادة الأصنام والأوثان
",000,False,000,False,False,False,1,914
"### | الأربعة الباحثون عن دين إبراهيم
",000,False,000,False,False,False,1,125
"### | 1 - 
",000,False,000,False,False,False,1,23
"### | 2 - 
",000,False,000,False,False,False,1,48
"### | 3 - 
",000,False,000,False,False,False,1,15
"### | 4 - 
",000,False,000,False,False,False,1,335
"### | زيد بن عمرو (1)
",000,False,000,False,False,False,1,502
"### | بدء الوحي
",000,False,000,False,False,False,1,434
"### | النبي المنتظر
",000,False,000,False,False,False,1,27
"### | 1 - 
",000,False,000,False,False,False,1,25
"### | 2 - 
",000,False,000,False,False,False,1,40
"### | 3 - 
",000,False,000,False,False,False,1,25
"### | 4 - 
",000,False,000,False,False,False,1,51
"### | 5 - 
",000,False,000,False,False,False,1,56
"### | 6 - 
",000,False,000,False,False,False,1,41
"### | 7 - 
",000,False,000,False,False,False,1,35
"### | 8 - 
",000,False,000,False,False,False,1,258
"### | النبي الأمي
",000,False,000,False,False,False,1,1094
"### | فترة الوحي (1)
",000,False,000,False,False,False,1,341
"### | أبو بكر الصديق واسلامه
",000,False,000,False,False,False,1,1754
"### | علي بن أبي طالب وإسلامه
",000,False,000,False,False,False,1,444
"### | قتله رضي الله عنه
",000,False,000,False,False,False,1,429
"### | زيد بن حارثة واسلامه
",000,False,000,False,False,False,1,444
"### | الدعوة إلى الاسلام خفية
",000,False,000,False,False,False,1,176
"### | 1 - 
",000,False,000,False,False,False,1,107
"### | 2 - 
",000,False,000,False,False,False,1,108
"### | 3 - 
",000,False,000,False,False,False,1,107
"### | 4 - 
",000,False,000,False,False,False,1,134
"### | 5 - 
",000,False,000,False,False,False,1,558
"### | ايذاء المشركين لأبي بكر الصديق
",000,False,000,False,False,False,1,571
"### | اظهار الاسلام
",000,False,000,False,False,False,1,761
"### | القرآن يحير ألباب العرب
",000,False,000,False,False,False,1,375
"### | قريش تفاوض أبا طالب في أمر ms081 رسول الله صلى الله عليه وسلم.
",000,False,000,False,False,False,1,536
"### | تعذيب المسلمين
",000,False,000,False,False,False,1,750
"### | ما عرضته قريش على رسول الله
",000,False,000,False,False,False,1,1284
"### | حماقة أبي جهل
",000,False,000,False,False,False,1,283
"### | قريش تمتحن رسول الله صلى الله عليه وسلم
",000,False,000,False,False,False,1,868
"### | اسلام جابر بن عبد الله
",000,False,000,False,False,False,1,275
"### | الهجرة الأولى إلى الحبشة.
",000,False,000,False,False,False,1,235
"### | شفاعة الغرانيق (1) افتراء الزنادقة على رسول الله صلى الله عليه وسلم.
",000,False,000,False,False,False,1,1650
"### | اسلام حمزة
",000,False,000,False,False,False,1,386
"### | عمر بن الخطاب وسبب اسلامه.
",000,False,000,False,False,False,1,1114
"### | الهجرة الثانية إلى الحبشة.
",000,False,000,False,False,False,1,795
"### | الطفيل بن عمرو الدوسي شاعر يحكم عقله ويسلم
",000,False,000,False,False,False,1,597
"### | وفاة أبي طالب سنة 620 م.
",620,year,000,False,620,749,1,235
"### | وفاة خديجة سنة 620 م.
",620,year,000,False,620,749,1,812
"### | الإسراء والمعراج سنة 621 م.
",621,year,000,False,621,748,1,303
"### | تأثير خبر الإسراء ms117 في قريش.
",000,False,000,False,False,False,1,445
"### | المعراج (1) .
",000,False,000,False,False,False,1,673
"### | فريضة الصلاة.
",000,False,000,False,False,False,1,226
"### | عرض الرسول صلى الله عليه وسلم نفسه على قبائل العرب.
",000,False,000,False,False,False,1,393
"### | بدء اسلام الأنصار بيعة العقبة الأولى - اسلام سعد بن معاذ
",000,False,000,False,False,False,1,669
"### | 1 - 
",000,False,000,False,False,False,1,162
"### | مؤامرة قريش على قتل رسول الله صلى الله عليه وسلم.
",000,False,000,False,False,False,1,285
"### | ما نزل من القرآن بمكة.
",000,False,000,False,False,False,1,306
"### | الهجرة إلى المدينة.
",000,False,000,False,False,False,1,1084
"### | وصوله صلى الله عليه وسلم إلى المدينة
",000,False,000,False,False,False,1,499
"### | خطبة رسول الله صلى الله عليه وسلم في أول جمعة صلاها بالمدينة.
",000,False,000,False,False,False,1,421
"### | معاهدة رسول الله صلى الله عليه وسلم اليهود.
",000,False,000,False,False,False,1,768
"### | الخزرج والأوس وما كان بينهما وبين اليهود.
",000,False,000,False,False,False,1,836
"### | العداوة بين الأوس والخزرج
",000,False,000,False,False,False,1,794
"### | الخلاصة
",000,False,000,False,False,False,1,382
"### | مدينة يثرب.
",000,False,000,False,False,False,1,427
"### | مرض المهاجرين بحمى المدينة.
",000,False,000,False,False,False,1,192
"### | مسجد رسول الله صلى الله عليه وسلم.
",000,False,000,False,False,False,1,616
"### | تزويج النبي صلى الله عليه وسلم بعائشة رضي الله عنها
",000,False,000,False,False,False,1,276
"### | صرف القبلة عن بيت المقدس إلى الكعبة.
",000,False,000,False,False,False,1,156
"### | ذكر الأذان
",000,False,000,False,False,False,1,113
"### | فرض صيام شهر رمضان وزكاة الفطر.
",000,False,000,False,False,False,1,161
"### | المؤاخاة بين المهاجرين والأنصار.
",000,False,000,False,False,False,1,312
"### | إسلام عبد الله بن سلام بن الحارث.
",000,False,000,False,False,False,1,488
"### | عداء اليهود ومناقشاتهم.
",000,False,000,False,False,False,1,1685
"### | بعث حمزة
",000,False,000,False,False,False,1,138
"### | سرية عبيدة بن الحارث.
",000,False,000,False,False,False,1,118
"### | سرية سعد بن أبي وقاص.
",000,False,000,False,False,False,1,73
"### | غزوة ودان أو غزوة الأبواء.
",000,False,000,False,False,False,1,259
"### | غزوة بواط
",000,False,000,False,False,False,1,70
"### | غزوة بدر ms163 الأولى
",000,False,000,False,False,False,1,114
"### | غزوة العشيرة
",000,False,000,False,False,False,1,207
"### | سرية عبد الله بن حجش الأسدي
",000,False,000,False,False,False,1,360
"### | غزوة بدر الثانية أو غزوة بدر الكبرى.
",000,False,000,False,False,False,1,189
"### | قوة قريش.
",000,False,000,False,False,False,1,149
"### | قوة المسلمين
",000,False,000,False,False,False,1,212
"### | رسول الله صلى الله عليه وسلم يستشير أصحابه.
",000,False,000,False,False,False,1,324
"### | الخلاف بين أبي سفيان وأبو جهل.
",000,False,000,False,False,False,1,188
"### | مسير الجيشين ونزول المطر.
",000,False,000,False,False,False,1,182
"### | بناء حوض على القليب.
",000,False,000,False,False,False,1,154
"### | بناء العريش
",000,False,000,False,False,False,1,237
"### | عتبة بن ربيعة ينصح قريشا بالرجوع.
",000,False,000,False,False,False,1,280
"### | اقتحام الحوض
",000,False,000,False,False,False,1,105
"### | المبارزة
",000,False,000,False,False,False,1,157
"### | تعديل صفوف المسلمين والحث على الجهاد
",000,False,000,False,False,False,1,141
"### | ألوية المسلمين والمشركين
",000,False,000,False,False,False,1,79
"### | تزاحف الناس والتحام القتال
",000,False,000,False,False,False,1,479
"### | امداد المسلمين بالملائكة يوم بدر
",000,False,000,False,False,False,1,167
"### | سيما الملائكة يوم بدر.
",000,False,000,False,False,False,1,99
"### | القاء القتلى في القليب
",000,False,000,False,False,False,1,130
"### | الأسرى وفداؤهم
",000,False,000,False,False,False,1,714
"### | رأي أبي بكر رضي الله عنه في الأسرى.
",000,False,000,False,False,False,1,52
"### | رأي عمر بن الخطاب رضي الله عنه.
",000,False,000,False,False,False,1,539
"### | تأثير الإنتصار في المدينة.
",000,False,000,False,False,False,1,111
"### | رجوعه صلى الله عليه وسلم إلى المدينة.
",000,False,000,False,False,False,1,46
"### | وقع خبر الإنتصار على قريش.
",000,False,000,False,False,False,1,90
"### | أسباب انتصار المسلمين في موقعة بدر.
",000,False,000,False,False,False,1,625
"### | زواج فاطمة.
",000,False,000,False,False,False,1,41
"### | غزوة بني سليم.
",000,False,000,False,False,False,1,106
"### | غزوة بني قينقاع.
",000,False,000,False,False,False,1,747
"### | غزوة السويق.
",000,False,000,False,False,False,1,286
"### | غزوة ذي امر وهي غزوة غطفان.
",000,False,000,False,False,False,1,150
"### | زواج أم كلثوم
",000,False,000,False,False,False,1,27
"### | زواج حفصة.
",000,False,000,False,False,False,1,27
"### | سرية زيد بن حارثة.
",000,False,000,False,False,False,1,101
"### | قتل كعب بن الأشرف.
",000,False,000,False,False,False,1,822
"### | قتل ابن سنينة.
",000,False,000,False,False,False,1,454
"### | غزوة أحد.
",000,False,000,False,False,False,1,1045
"### | الكرة على المسلمين.
",000,False,000,False,False,False,1,462
"### | المثلة بحمزة.
",000,False,000,False,False,False,1,259
"### | إحدى معجزات رسول الله صلى الله عليه وسلم.
",000,False,000,False,False,False,1,105
"### | سعد بن أبي وقاص رضي الله عنه.
",000,False,000,False,False,False,1,204
"### | المنهزمون من المسلمين.
",000,False,000,False,False,False,1,119
"### | شجاعة امرأة وثباتها مع رسول الله صلى الله عليه وسلم.
",000,False,000,False,False,False,1,236
"### | أسباب انهزام المسلمين في موقعة أحد.
",000,False,000,False,False,False,1,201
"### | نداء أبي سفيان.
",000,False,000,False,False,False,1,452
"### | استشهاد سعد بن الربيع الأنصاري.
",000,False,000,False,False,False,1,322
"### | قتل مخيريق.
",000,False,000,False,False,False,1,123
"### | انتحار قزمان.
",000,False,000,False,False,False,1,110
"### | دفن قتلى أحد.
",000,False,000,False,False,False,1,121
"### | رجوع رسول الله صلى الله عليه وسلم إلى المدينة.
",000,False,000,False,False,False,1,101
"### | ذكر عزوة أحد في القرآن.
",000,False,000,False,False,False,1,490
"### | غزوة حمراء الأسد.
",000,False,000,False,False,False,1,511
"### | بعث الرجيع.
",000,False,000,False,False,False,1,721
"### | سرية بئر معونة (1)
",000,False,000,False,False,False,1,501
"### | غزوة بني النضير.
",000,False,000,False,False,False,1,966
"### | تحرم الخمر. (الاصلاح الأجتماعي العظيم) .
",000,False,000,False,False,False,1,253
"### | غزوة ذات الرقاع.
",000,False,000,False,False,False,1,463
"### | غزوة بدر الأخيرة.
",000,False,000,False,False,False,1,282
"### | غزوة دومة الجندل وهي أول غزوات الشام.
",000,False,000,False,False,False,1,116
"### | تزوج رسول الله صلى الله عليه وسلم زينب بنت جحش.
",000,False,000,False,False,False,1,454
"### | غزوة المريسيع أو غزوة بني المصطلق.
",000,False,000,False,False,False,1,366
"### | قتل هشام بن صبابة.
",000,False,000,False,False,False,1,650
"### | آية التيمم.
",000,False,000,False,False,False,1,89
"### | عائشة وحديث الأفك.
",000,False,000,False,False,False,1,1466
"### | غزوة الخندق وهي الأحزاب.
",000,False,000,False,False,False,1,72
"### | تحزب الأحزاب.
",000,False,000,False,False,False,1,303
"### | خروج الأحزاب وقوادهم.
",000,False,000,False,False,False,1,45
"### | حفر الخندق.
",000,False,000,False,False,False,1,85
"### | سلمان منا أهل البيت.
",000,False,000,False,False,False,1,45
"### | اعتراض صخرة بيضاء ومعجزة الرسول.
",000,False,000,False,False,False,1,279
"### | عدد الجيشين.
",000,False,000,False,False,False,1,52
"### | نقض العهد.
",000,False,000,False,False,False,1,99
"### | اشتداد الحصار.
",000,False,000,False,False,False,1,55
"### | اقتحام الخندق.
",000,False,000,False,False,False,1,218
"### | حسان بن ثابت يخشى القتال.
",000,False,000,False,False,False,1,179
"### | استمرار القتال وفوات الصلاة.
",000,False,000,False,False,False,1,122
"### | إن الحرب خدعة.
",000,False,000,False,False,False,1,549
"### | حرب ms241 الطبيعة.
",000,False,000,False,False,False,1,97
"### | خطبة أبي سفيان.
",000,False,000,False,False,False,1,224
"### | خسائر المسلمين.
",000,False,000,False,False,False,1,42
"### | خسائر المشركين.
",000,False,000,False,False,False,1,27
"### | غزوة بني قريظة.
",000,False,000,False,False,False,1,925
"### | حكم سعد بن معاذ.
",000,False,000,False,False,False,1,500
"### | غنائم المسلمين.
",000,False,000,False,False,False,1,124
"### | دفن القتلى.
",000,False,000,False,False,False,1,47
"### | وفاة سعد؟
",000,False,000,False,False,False,1,215
"### | خسائر المسلمين في غزوة بني قريظة.
",000,False,000,False,False,False,1,42
"### | ما نزل من القرآن في أمر الخندق وبني قريظة.
",000,False,000,False,False,False,1,233
"### | يهود المدينة وما آل إليه أمرهم.
",000,False,000,False,False,False,1,227
"### | سرية القرطا (1) واسلام ثمامة بن أثال الحنفي.
",000,False,000,False,False,False,1,414
"### | غزوة بني لحيان.
",000,False,000,False,False,False,1,187
"### | اغارة عيينة بن حصن.
",000,False,000,False,False,False,1,164
"### | غزوة ذي قرد وهي غزوة الغابة.
",000,False,000,False,False,False,1,218
"### | سرية الغمر أو سرية عكاشة بن محصن الأسدي.
",000,False,000,False,False,False,1,81
"### | سرية محمد بن مسلمة الأنصاري إلى ذي القصة (1) .
",000,False,000,False,False,False,1,191
"### | سرية زيد بن حارثة.
",000,False,000,False,False,False,1,188
"### | سرية أخرى لزيد بن حارثة.
",000,False,000,False,False,False,1,221
"### | سرية عبد الرحمن بن عوف إلى دممة الجندل.
",000,False,000,False,False,False,1,214
