string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO رفع الخصاصة
",000,False,000,False,False,False,1,17189
"### || AUTO تقديم
",000,False,000,False,False,False,2,250
"### || AUTO أهمية أصول الدين
",000,False,000,False,False,False,2,331
"### || AUTO ترجمة المؤلف
",000,False,000,False,False,False,2,496
"### ||| AUTO مؤلفاته:
",000,False,000,False,False,False,3,210
"### || AUTO مقدمة المؤلف
",000,False,000,False,False,False,2,177
"### || AUTO ترجمة الناظم رحمه الله تعالى
",000,False,000,False,False,False,2,369
"### || AUTO مسائل في إثبات الصانع سبحانه وتعالى
",000,False,000,False,False,False,2,2419
"### ||| AUTO المسألة الأولى من مسائل التوحيد (في أنه لابد لهذا العالم من
",000,False,000,False,False,False,3,450
"### ||| AUTO المسألة الثانية (في أن الله تعالى قادر)
",000,False,000,False,False,False,3,313
"### ||| AUTO المسألة الثالثة (في أن الله سبحانه وتعالى عالم)
",000,False,000,False,False,False,3,217
"### ||| AUTO المسألة الرابعة (في أن الله سبحانه وتعالى حي)
",000,False,000,False,False,False,3,82
"### ||| AUTO المسألة الخامسة (في أنه تعالى سميع بصير)
",000,False,000,False,False,False,3,124
"### ||| AUTO المسألة السادسة (في أنه تعالى قديم)
",000,False,000,False,False,False,3,327
"### |||| AUTO والدلالة على أنه تعالى قديم ما أشار إليه الناظم بقوله: ولو
",000,False,000,False,False,False,4,271
"### ||| AUTO المسألة السابعة والثامنة (في أنه تعالى لايشبه شيئا من خلقه
",000,False,000,False,False,False,3,174
"### ||| AUTO المسألة التاسعة (في أنه تعالى لاتدركه الأبصار في الدنيا
",000,False,000,False,False,False,3,349
"### ||| AUTO المسألة العاشرة (في أنه تعالى واحد لا ثاني له)
",000,False,000,False,False,False,3,255
"### || AUTO باب العدل ومسائله
",000,False,000,False,False,False,2,2316
"### ||| AUTO المسألة الأولى (في أنه عدل حكيم)
",000,False,000,False,False,False,3,150
"### ||| AUTO المسألة الثانية (في أن للعبد فعلا يحدثه على حسب إرادته)
",000,False,000,False,False,False,3,254
"### ||| AUTO المسألة الثالثة (في أنه تعالى لا يثيب أحدا إلا بعمله ولا
",000,False,000,False,False,False,3,225
"### ||| AUTO المسألة الرابعة (في أنه تعالى لم يأمر بالمعاصي ولم يقض بها)
",000,False,000,False,False,False,3,176
"### ||| AUTO المسألة الخامسة (في أنه تعالى لا يكلف العبد ما لايطيق)
",000,False,000,False,False,False,3,130
"### ||| AUTO المسألة السادسة (فيما يفعل الله تعالى بعباده من الآلام
",000,False,000,False,False,False,3,143
"### ||| AUTO ### ||| AUTO المسألة السابعة (في أنه تعالى لا يريد الظلم
",000,False,000,False,False,False,3,261
"### ||| AUTO المسألة الثامنة والتاسعة (في أن القرآن كلام الله تعالى وأنه مخلوق)
",000,False,000,False,False,False,3,216
"### ||| AUTO المسألة العاشرة (في نبوة نبينا محمد )
",000,False,000,False,False,False,3,337
"### || AUTO باب الوعد والوعيد
",000,False,000,False,False,False,2,10781
"### ||| AUTO المسألة الأولى من مسائل الوعد والوعيد (أن من وعد الله من
",000,False,000,False,False,False,3,162
"### ||| AUTO المسألة الثانية والثالثة (فيمن وعد الله العقاب من الكفار
",000,False,000,False,False,False,3,373
"### ||| AUTO المسألة الرابعة (في ثبوت المنزلة بين المنزلتين)
",000,False,000,False,False,False,3,358
"### ||| AUTO المسألة الخامسة (في ثبوت الشفاعة للمؤمنين وتحريمها
",000,False,000,False,False,False,3,293
"### ||| AUTO المسألة السادسة (في الأمر بالمعروف والنهي عن المنكر)
",000,False,000,False,False,False,3,270
"### ||| AUTO المسألة السابعة (في إمامة أمير المؤمنين علي عليه السلام)
",000,False,000,False,False,False,3,5279
"### ||| AUTO المسألة الثامنة والتاسعة (في إمامة الحسنين عليهما السلام)
",000,False,000,False,False,False,3,94
"### ||| AUTO المسألة العاشرة (في أن الإمامة بعد الحسنين في أولادهما مع
",000,False,000,False,False,False,3,117
"### ||| AUTO فصل في خاتمة القصيدة وفي ذكر شيم شيخ الناظم رضي الله عنهما
",000,False,000,False,False,False,3,290
"### ||| AUTO نظم الخلاصة للإمام الهادي بن إبراهيم الوزير(رحمه الله)
",000,False,000,False,False,False,3,3440
