string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO الجداول الصغرى مختصر الطبقات الكبرى
",000,False,000,False,False,False,1,499
"### || AUTO ترجمة مختصرة للمؤلف:
",000,False,000,False,False,False,2,462
"### | AUTO مقدمة المؤلف
",000,False,000,False,False,False,1,914
"### || AUTO علامات الكتب المذكورة في الجداول
",000,False,000,False,False,False,2,169
"### | AUTO القسم الأول
",000,False,000,False,False,False,1,9829
"### || AUTO كتاب الرجال من الصحابة
",000,False,000,False,False,False,2,8773
"### ||| AUTO حرف الهمزة
",000,False,000,False,False,False,3,231
"### ||| AUTO حرف الباء الموحدة
",000,False,000,False,False,False,3,273
"### ||| AUTO حرف التاء المثناه
",000,False,000,False,False,False,3,51
"### ||| AUTO حرف الثاء المثلثة
",000,False,000,False,False,False,3,65
"### ||| AUTO حرف الجيم
",000,False,000,False,False,False,3,334
"### ||| AUTO حرف الحاء المهملة
",000,False,000,False,False,False,3,373
"### ||| AUTO حرف الخاء المعجمة
",000,False,000,False,False,False,3,145
"### ||| AUTO حرف الدال
",000,False,000,False,False,False,3,29
"### ||| AUTO حرف الذال
",000,False,000,False,False,False,3,21
"### ||| AUTO حرف الراء
",000,False,000,False,False,False,3,79
"### ||| AUTO حرف الزاي
",000,False,000,False,False,False,3,252
"### ||| AUTO حرف السين المهملة
",000,False,000,False,False,False,3,738
"### ||| AUTO حرف الشين المعجمة
",000,False,000,False,False,False,3,93
"### ||| AUTO حرف الصاد المهملة
",000,False,000,False,False,False,3,144
"### ||| AUTO حرف الضاد المعجمة
",000,False,000,False,False,False,3,48
"### ||| AUTO حرف الطاء المهملة
",000,False,000,False,False,False,3,167
"### ||| AUTO حرف العين
",000,False,000,False,False,False,3,2330
"### ||| AUTO حرف الغين المعجمة
",000,False,000,False,False,False,3,24
"### ||| AUTO حرف الفاء
",000,False,000,False,False,False,3,78
"### ||| AUTO حرف القاف
",000,False,000,False,False,False,3,125
"### ||| AUTO حرف الكاف ms025
",000,False,000,False,False,False,3,138
"### ||| AUTO حرف اللام
",000,False,000,False,False,False,3,22
"### ||| AUTO حرف الميم
",000,False,000,False,False,False,3,713
"### ||| AUTO حرف النون
",000,False,000,False,False,False,3,187
"### ||| AUTO حرف الهاء
",000,False,000,False,False,False,3,30
"### ||| AUTO حرف الواو
",000,False,000,False,False,False,3,125
"### ||| AUTO حرف الياء
",000,False,000,False,False,False,3,71
"### ||| AUTO فصل في الكنى
",000,False,000,False,False,False,3,1625
"### |||| AUTO حرف الهمزة
",000,False,000,False,False,False,4,102
"### |||| AUTO حرف الباء
",000,False,000,False,False,False,4,182
"### |||| AUTO حرف الثاء المثلثة
",000,False,000,False,False,False,4,35
"### |||| AUTO حرف الجيم
",000,False,000,False,False,False,4,110
"### |||| AUTO حرف الحاء ms031
",000,False,000,False,False,False,4,39
"### |||| AUTO حرف الخاء المعجمة
",000,False,000,False,False,False,4,30
"### |||| AUTO حرف الدال المهملة
",000,False,000,False,False,False,4,71
"### |||| AUTO حرف الذال المعجمة
",000,False,000,False,False,False,4,76
"### |||| AUTO حرف الراء
",000,False,000,False,False,False,4,56
"### |||| AUTO حرف السين المهملة
",000,False,000,False,False,False,4,102
"### |||| AUTO حرف الشين
",000,False,000,False,False,False,4,11
"### |||| AUTO حرف الطاء المهملة
",000,False,000,False,False,False,4,44
"### |||| AUTO حرف العين المهملة
",000,False,000,False,False,False,4,108
"### |||| AUTO حرف القاف
",000,False,000,False,False,False,4,119
"### |||| AUTO حرف الكاف
",000,False,000,False,False,False,4,20
"### |||| AUTO حرف اللام
",000,False,000,False,False,False,4,71
"### |||| AUTO حرف الميم
",000,False,000,False,False,False,4,208
"### |||| AUTO حرف الهاء
",000,False,000,False,False,False,4,216
"### |||| AUTO حرف الواو
",000,False,000,False,False,False,4,21
"### ||| AUTO فصل في المبهمات
",000,False,000,False,False,False,3,93
"### || AUTO كتاب الصحابيات
",000,False,000,False,False,False,2,1042
"### ||| AUTO حرف الهمزة
",000,False,000,False,False,False,3,89
"### ||| AUTO حرف الباء
",000,False,000,False,False,False,3,29
"### ||| AUTO حرف الجيم
",000,False,000,False,False,False,3,20
"### ||| AUTO حرف الحاء المهملة
",000,False,000,False,False,False,3,51
"### ||| AUTO حرف الخاء
",000,False,000,False,False,False,3,28
"### ||| AUTO حرف الدال المهملة
",000,False,000,False,False,False,3,21
"### ||| AUTO حرف الراء
",000,False,000,False,False,False,3,23
"### ||| AUTO حرف الزاي
",000,False,000,False,False,False,3,53
"### ||| AUTO حرف السين المهملة
",000,False,000,False,False,False,3,72
"### ||| AUTO حرف الصاد
",000,False,000,False,False,False,3,32
"### ||| AUTO حرف العين
",000,False,000,False,False,False,3,144
"### ||| AUTO حرف الفاء
",000,False,000,False,False,False,3,46
"### ||| AUTO حرف الكاف
",000,False,000,False,False,False,3,17
"### ||| AUTO حرف الميم
",000,False,000,False,False,False,3,60
"### ||| AUTO حرف الهاء
",000,False,000,False,False,False,3,19
"### ||| AUTO حرف الياء
",000,False,000,False,False,False,3,15
"### ||| AUTO فصل في الكنى
",000,False,000,False,False,False,3,285
"### ||| AUTO فصل في المبهمات
",000,False,000,False,False,False,3,35
"### | AUTO القسم الثاني
",000,False,000,False,False,False,1,205308
"### || CHECK [الكتاب الأول ms039 في رجال التابعين ومن بعدهم إلى أول سنة خمس مائة]
",500,year,000,False,500,875,2,188314
"### ||| AUTO حرف الهمزة
",000,False,000,False,False,False,3,26288
"### |||| AUTO من اسمه أبان
",000,False,000,False,False,False,4,320
"### |||| AUTO من اسمه إبراهيم
",000,False,000,False,False,False,4,4169
"### |||| AUTO من اسمه أثير
",000,False,000,False,False,False,4,15
"### |||| AUTO من اسمه أجلح.
",000,False,000,False,False,False,4,65
"### |||| AUTO من اسمه أحمد
",000,False,000,False,False,False,4,11116
"### |||| AUTO من اسمه أحوص
",000,False,000,False,False,False,4,91
