string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,173
"### | حرف الألف
",000,False,000,False,False,False,1,4
"### | إبراهيم بن أحمد الأكوع الذمارى
",000,False,000,False,False,False,1,90
"### | إبراهيم بن احمد بن عامر الشهارى
",000,False,000,False,False,False,1,134
"### | الفقيه إبراهيم بن أحمد المحلى الراغب
",000,False,000,False,False,False,1,94
"### | الفقيه ابراهيم ابن حثيث الذمارى
",000,False,000,False,False,False,1,101
"### | القاضى إبراهيم بن الحسن العيزرى
",000,False,000,False,False,False,1,90
"### | القاضى إبراهيم بن حسن الأكوع الشهارى
",000,False,000,False,False,False,1,112
"### | السيد إبراهيم بن الحسين بن الحسن بن القاسم الصنعانى
",000,False,000,False,False,False,1,115
"### | السيد إبراهيم بن زيد بن جحاف الحبورى
",000,False,000,False,False,False,1,175
"### | إبراهيم بن عبد الله جعمان الزبيدى
",000,False,000,False,False,False,1,148
"### | السيد إبراهيم بن على بن المرتضى اليمنى الحسنى
",000,False,000,False,False,False,1,170
"### | الشيخ إبراهيم بن محمد جعمان الزبيدي
",000,False,000,False,False,False,1,100
"### | السيد إبراهيم بن محمد المؤيدى اليمنى
",000,False,000,False,False,False,1,147
"### | الشيخ إبراهيم بن محمد العجمى
",000,False,000,False,False,False,1,379
"### | السيد إبراهيم بن المهدى بن على حجاف
",000,False,000,False,False,False,1,72
"### | الشيخ إبراهيم بن محمد بن مسعود الحوالى اليمنى
",000,False,000,False,False,False,1,115
"### | السيد إبراهيم بن المهدى جحاف الحبوري
",000,False,000,False,False,False,1,133
"### | السيد إبراهيم بن يحيى بن جحاف
",000,False,000,False,False,False,1,108
"### | السيد أبو بكر بن أبى القاسم الأهدل اليمنى التهامى
",000,False,000,False,False,False,1,156
"### | السيد أبو بكر العيدروس
",000,False,000,False,False,False,1,60
"### | السيد أبو بكر بن أحمد باعلوى الشلى
",000,False,000,False,False,False,1,78
"### | السيد ابو بكر بن حسين العيدروس
",000,False,000,False,False,False,1,82
"### | السيد أبو بكر بن حسين الحضرمى
",000,False,000,False,False,False,1,76
"### | السيد أبو بكر بن سعيد الجفرى الحضرمى
",000,False,000,False,False,False,1,91
"### | السيد أبو بكر بن عبد الرحمن السقاف الحضرمى
",000,False,000,False,False,False,1,92
"### | السيد أبو بكر بن على خرد الحسينى الحضرمى
",000,False,000,False,False,False,1,60
"### | السيد ابو بكر بن محمد بن الطيب باعلوى
",000,False,000,False,False,False,1,57
"### | الشيخ أبو بكر بن محمد الزيلعى التهامى
",000,False,000,False,False,False,1,74
"### | السيد أبو بكر بن محمد بن على بافقيه الحضرمى
",000,False,000,False,False,False,1,120
"### | الشيخ ابو بكر بن المقبول الزيلعى التهامى اللحيى
",000,False,000,False,False,False,1,73
"### | السيد أبو طالب بن احمد بن محمد بن علوى الحضرمى
",000,False,000,False,False,False,1,87
"### | السيد الإمام أحمد بن إبراهيم المؤيدي اليمنى
",000,False,000,False,False,False,1,244
"### | السيد أحمد بن أبى بكر بن أحمد الشلى الحسينى الحضرمى
",000,False,000,False,False,False,1,104
"### | السيد أحمد بن أبى بكر بن عبد الله باعلوى الشلى
",000,False,000,False,False,False,1,99
"### | السيد أحمد بن أبى بكر بن سالم الحضرمى
",000,False,000,False,False,False,1,80
"### | السيد أحمد بن احمد الديلمى الذمارى
",000,False,000,False,False,False,1,78
"### | السيد أحمد بن اسحاق بن إبراهيم بن المهدي
",000,False,000,False,False,False,1,277
"### | الفقيه أحمد بن إسماعيل العلفى
",000,False,000,False,False,False,1,121
"### | السيد أحمد بن إسماعيل بن على بن عبد الله الذمارى
",000,False,000,False,False,False,1,114
"### | الفقيه احمد بن جابر الكينعى الشهارى
",000,False,000,False,False,False,1,77
"### | السيد احمد بن الحسن ابن المتوكل على الله إسماعيل اليمنى
",000,False,000,False,False,False,1,113
"### | السيد أحمد بن الحسن الجرموزى الصنعانى
",000,False,000,False,False,False,1,195
"### | الفقيه احمد بن حسن بركات اليمنى
",000,False,000,False,False,False,1,414
"### | القاضى أحمد بن حسن السحولى
",000,False,000,False,False,False,1,164
"### | السيد احمد بن حسين بن إبراهيم الشرفى
",000,False,000,False,False,False,1,90
"### | القاضى احمد بن حسين الهبل الصنعانى
",000,False,000,False,False,False,1,162
"### | الشيخ أحمد بن حسين بافقيه الحضرمى
",000,False,000,False,False,False,1,91
"### | السيد احمد بن حسين العيدروس الحضرمى
",000,False,000,False,False,False,1,89
"### | الشيخ احمد بن حسين بن محمد بافقيه الحضرمى
",000,False,000,False,False,False,1,67
"### | الفقيه احمد بن حميد المحلى اليمنى
",000,False,000,False,False,False,1,65
"### | الفقيه التقى احمد الراعى الصنعانى
",000,False,000,False,False,False,1,334
"### | السيد أحمد بن زيد بن محمد بن الحسن بن القاسم الصنعانى
",000,False,000,False,False,False,1,140
"### | القاضى أحمد بن زيد الهبل الروضى
",000,False,000,False,False,False,1,56
"### | القاضى أحمد بن سعيد الهبل الصنعانى
",000,False,000,False,False,False,1,113
"### | السيد أحمد بن شيخان باعلوي
",000,False,000,False,False,False,1,56
"### | السيد أحمد بن شيخ العيدروس الحضرمى
",000,False,000,False,False,False,1,72
"### | القاضى أحمد بن صالح العنسى الصنعانى
",000,False,000,False,False,False,1,12
"### | 4
",000,False,000,False,False,False,1,121
"### | القاضى أحمد بن صلاح الدوارى القصعة الصعدى
",000,False,000,False,False,False,1,181
"### | القاضى أحمد بن عامر الذمارى
",000,False,000,False,False,False,1,107
"### | السيد أحمد بن عبد الله الوزير
",000,False,000,False,False,False,1,146
"### | الفقيه أحمد بن عبد الله الجربى اليمنى
",000,False,000,False,False,False,1,92
"### | الشيخ أحمد بن عبد الله السلمى الأصابى
",000,False,000,False,False,False,1,104
"### | الشيخ احمد بن عبد الله باعنتر الحضرمى
",000,False,000,False,False,False,1,50
"### | القاضى أحمد بن عبد الله الدوارى الصعدى
",000,False,000,False,False,False,1,84
"### | السيد أحمد بن عز الدين بن الحسن الحسنى اليمنى
",000,False,000,False,False,False,1,111
"### | السيد احمد بن على بن الحسن الشامى الصنعاني
",000,False,000,False,False,False,1,234
"### | الفقيه أحمد بن على الحبشى الصعدى
",000,False,000,False,False,False,1,43
"### | القاضى أحمد بن على ذعفان الذمارى
",000,False,000,False,False,False,1,71
"### | اليسد أحمد بن على الأهنومى
",000,False,000,False,False,False,1,70
"### | القاضى أحمد بن على سلامة اليمنى
",000,False,000,False,False,False,1,54
"### | الشيخ أحمد بن على مطير الحكمي اليمنى
",000,False,000,False,False,False,1,96
"### | السيد أبو طالب أحمد ابن الإمام القاسم بن محمد الحسنى
",000,False,000,False,False,False,1,122
"### | السيد احمد بن محمد بن إبراهيم بن المفضل الشبامى
",000,False,000,False,False,False,1,73
"### | السيد العلامة احمد بن محمد بن إسماعيل الذمارى
",000,False,000,False,False,False,1,85
"### | القاضى أحمد بن محمد الأكوع
",000,False,000,False,False,False,1,67
"### | الفقيه أحمد بن محمد الخالدي
",000,False,000,False,False,False,1,66
"### | الفقيه أحمد بن محمد الضبوى اليمنى
",000,False,000,False,False,False,1,100
"### | الشيخ أحمد بن محمد بن عجيل التهامى
",000,False,000,False,False,False,1,98
"### | الشيخ أحمد بن مقبول الزيلعى التهامى
",000,False,000,False,False,False,1,39
"### | الفقيه أحمد بن معوضة الجربى اليمنى
",000,False,000,False,False,False,1,95
"### | القاضى احمد بن مهدى الشبيبي الذمارى
",000,False,000,False,False,False,1,68
"### | القاضى أحمد بن ناصر المهلا
",000,False,000,False,False,False,1,539
"### | احمد بن الهادى الهارونى الهدوى
",000,False,000,False,False,False,1,229
"### | القاضى احمد بن يحيى الآنسى
",000,False,000,False,False,False,1,80
"### | الفقيه احمد بن يحيى بن سالم الذويد اليمنى
",000,False,000,False,False,False,1,129
"### | الحكيم أحمد بن يعقوب الهاشمى الهندى ثم اليمنى
",000,False,000,False,False,False,1,460
"### | القاضى ادريس بن جابر العيزرى اليمنى
",000,False,000,False,False,False,1,112
"### | السيد ادريس بن على الحمزى المؤرخ
",000,False,000,False,False,False,1,136
"### | السيد إسحاق بن احمد بن الحسن بن القاسم
",000,False,000,False,False,False,1,154
"### | السيد اسحاق بن محمد الكوكبانى
",000,False,000,False,False,False,1,85
"### | الشيخ اسحاق بن محمد جعمان الزبيدى
",000,False,000,False,False,False,1,111
"### | السيد إسماعيل بن إبراهيم بن يحيى جحاف الحبورى
",000,False,000,False,False,False,1,158
"### | الفقيه إسماعيل بن إبراهيم النجرانى
",000,False,000,False,False,False,1,80
"### | السيد إسماعيل بن إبراهيم المهدى صاحب المواهب
",000,False,000,False,False,False,1,75
"### | الفقيه إسماعيل بن احمد بن القحيف الذمارى
",000,False,000,False,False,False,1,126
"### | الفقيه إسماعيل بن أحمد بن عبد الله بن إبراهيم بن عطية النجرانى
",000,False,000,False,False,False,1,103
"### | القاضى إسماعيل بن حسن أبى الرجال
",000,False,000,False,False,False,1,469
"### | السيد إسماعيل بن صلاح الأمير
",000,False,000,False,False,False,1,616
"### | السيد إسماعيل بن على الخطيب الذمارى
",000,False,000,False,False,False,1,69
"### | السيد إسماعيل بن محمد فايع الصنعانى
",000,False,000,False,False,False,1,191
"### | حرف الجيم
",000,False,000,False,False,False,1,4
"### | القاضى جعفر الظفيرى
",000,False,000,False,False,False,1,147
"### | السيد جعفر الصادق العيدروس
",000,False,000,False,False,False,1,98
"### | حرف الحاء المهملة
",000,False,000,False,False,False,1,6
"### | السيد حاتم بن احمد الاهدل اليمنى
",000,False,000,False,False,False,1,295
"### | الفقيه حاتم الحملانى اليمنى
",000,False,000,False,False,False,1,133
"### | الفقيه الحسن بن احمد الشبيبي اليمنى
",000,False,000,False,False,False,1,183
"### | الشيخ الحسن بن احمد المحيشى الشهارى
",000,False,000,False,False,False,1,107
"### | السيد الحسن بن شرف الدين الكحلانى
",000,False,000,False,False,False,1,95
"### | الفقيه الحسن بن صالح العفارى الشهارى
",000,False,000,False,False,False,1,147
"### | الفقيه الحسن بن صالح الحداد الصنعانى
",000,False,000,False,False,False,1,12
"### | 4
",000,False,000,False,False,False,1,477
"### | الإمام الحسن بن عز الدين بن الحسن
",000,False,000,False,False,False,1,85
"### | السيد الحسن بن على بن الحسين الأبيض
",000,False,000,False,False,False,1,133
"### | القاضى الحسن بن على الأكوع
",000,False,000,False,False,False,1,156
"### | اليسد الحسن بن على بن صلاح العبالى
",000,False,000,False,False,False,1,115
"### | الفقيه الحسن بن على حنش
",000,False,000,False,False,False,1,73
"### | القاضى الحسن بن عبد الله الريمى
",000,False,000,False,False,False,1,53
"### | الإمام الحسن بن القاسم بن المؤيد الشهارى
",000,False,000,False,False,False,1,141
"### | السيد الحسن بن لطف الله الزبارى
",000,False,000,False,False,False,1,70
"### | القاضى الحسن بن محسن الغربى الصنعانى
",000,False,000,False,False,False,1,97
"### | السيد الحسن بن محمد الكوكبانى
",000,False,000,False,False,False,1,84
"### | السيد الحسن بن محمد الأخفش
",000,False,000,False,False,False,1,53
"### | السيد الحسن بن محمد جحاف الحبوري
",000,False,000,False,False,False,1,64
"### | الفقيه الحسن بن محمد الرزيقى
",000,False,000,False,False,False,1,76
"### | القاضى الحسن بن نسر الأهنومى
",000,False,000,False,False,False,1,79
"### | القاضى الحسن بن يحيى حابس الصعدى
",000,False,000,False,False,False,1,90
"### | القاضى الحسين بن أحمد المجاهد الذماري
",000,False,000,False,False,False,1,58
"### | القاضى الحسين بن أحمد بن ناصر الحيمى الصنعانى
",000,False,000,False,False,False,1,157
"### | القاضى الحسين بن الحسن بن إبراهيم المجاهد
",000,False,000,False,False,False,1,67
"### | السيد الحسين بن الحسن ابن الإمام القاسم
",000,False,000,False,False,False,1,140
"### | السيد الحسين بن الحسن العوامى
",000,False,000,False,False,False,1,85
"### | السيد الحسين بن الحسن الحوثى
",000,False,000,False,False,False,1,116
"### | السيد الحسين بن زيد جحاف اليمنى
",000,False,000,False,False,False,1,99
"### | السيد الحسين بن عبد القادر بن على بن المهدى
",000,False,000,False,False,False,1,473
"### | القاضى الحسين ذعفان الذمارى
",000,False,000,False,False,False,1,102
"### | السيد الحسين بن على بن أحمد ابن الإمام القاسم ابن محمد الحسنى الصعدى
",000,False,000,False,False,False,1,108
"### | القاضى الحسين بن على المجاهد الذمارى
",000,False,000,False,False,False,1,77
"### | السيد الحسين بن على الديلمى الذمارى
",000,False,000,False,False,False,1,59
"### | السيد الحسين بن المهدى لدين الله أحمد بن الحسن
",000,False,000,False,False,False,1,191
"### | السيد الحسين بن على جحاف الحبوري
",000,False,000,False,False,False,1,67
"### | السيد الحسين بن صلاح بن عبد الرحيم الهدوى
",000,False,000,False,False,False,1,60
