string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [1 - سورة الفاتحة]
",000,False,000,False,False,False,1,1430
"### || [1.2]
",000,False,000,False,False,False,2,156
"### || [1.3]
",000,False,000,False,False,False,2,329
"### || [1.4]
",000,False,000,False,False,False,2,47
"### || [1.5]
",000,False,000,False,False,False,2,328
"### || [1.6-7]
",000,False,000,False,False,False,2,567
"### | [2 - سورة البقرة]
",000,False,000,False,False,False,1,54210
"### || [2.2]
",000,False,000,False,False,False,2,133
"### || [2.3]
",000,False,000,False,False,False,2,461
"### || [2.7]
",000,False,000,False,False,False,2,260
"### || [2.8]
",000,False,000,False,False,False,2,25
"### || [2.15]
",000,False,000,False,False,False,2,27
"### || [2.18]
",000,False,000,False,False,False,2,61
"### || [2.19]
",000,False,000,False,False,False,2,726
"### || [2.20]
",000,False,000,False,False,False,2,306
"### || [2.21-22]
",000,False,000,False,False,False,2,428
"### || [2.23]
",000,False,000,False,False,False,2,39
"### || [2.24]
",000,False,000,False,False,False,2,42
"### || [2.25]
",000,False,000,False,False,False,2,150
"### || [2.27]
",000,False,000,False,False,False,2,79
"### || [2.29]
",000,False,000,False,False,False,2,65
"### || [2.30]
",000,False,000,False,False,False,2,3574
"### || [2.31]
",000,False,000,False,False,False,2,29
"### || [2.33]
",000,False,000,False,False,False,2,37
"### || [2.34]
",000,False,000,False,False,False,2,320
"### || [2.37]
",000,False,000,False,False,False,2,33
"### || [2.40]
",000,False,000,False,False,False,2,167
"### || [2.42]
",000,False,000,False,False,False,2,59
"### || [2.45]
",000,False,000,False,False,False,2,108
"### || [2.46]
",000,False,000,False,False,False,2,35
"### || [2.48]
",000,False,000,False,False,False,2,220
"### || [2.49]
",000,False,000,False,False,False,2,12
"### || [2.50]
",000,False,000,False,False,False,2,138
"### || [2.51]
",000,False,000,False,False,False,2,45
"### || [2.53]
",000,False,000,False,False,False,2,166
"### || [2.54]
",000,False,000,False,False,False,2,90
"### || [2.63]
",000,False,000,False,False,False,2,51
"### || [2.65]
",000,False,000,False,False,False,2,29
"### || [2.68]
",000,False,000,False,False,False,2,87
"### || [2.72]
",000,False,000,False,False,False,2,27
"### || [2.73]
",000,False,000,False,False,False,2,50
"### || [2.74]
",000,False,000,False,False,False,2,42
"### || [2.78]
",000,False,000,False,False,False,2,82
"### || [2.85]
",000,False,000,False,False,False,2,127
"### || [2.87]
",000,False,000,False,False,False,2,86
"### || [2.92]
",000,False,000,False,False,False,2,59
"### || [2.93]
",000,False,000,False,False,False,2,157
"### || [2.96]
",000,False,000,False,False,False,2,263
"### || [2.97]
",000,False,000,False,False,False,2,110
"### || [2.100]
",000,False,000,False,False,False,2,87
"### || [2.101]
",000,False,000,False,False,False,2,65
"### || [2.108]
",000,False,000,False,False,False,2,51
"### || [2.109]
",000,False,000,False,False,False,2,131
"### || [2.114]
",000,False,000,False,False,False,2,100
"### || [2.116]
",000,False,000,False,False,False,2,51
"### || [2.124]
",000,False,000,False,False,False,2,48
"### || [2.127]
",000,False,000,False,False,False,2,66
"### || [2.128-129]
",000,False,000,False,False,False,2,139
"### || [2.130]
",000,False,000,False,False,False,2,63
"### || [2.132]
",000,False,000,False,False,False,2,48
"### || [2.136]
",000,False,000,False,False,False,2,221
"### || [2.142]
",000,False,000,False,False,False,2,34
"### || [2.143]
",000,False,000,False,False,False,2,299
"### || [2.144]
",000,False,000,False,False,False,2,16
"### || [2.159]
",000,False,000,False,False,False,2,27
"### || [2.164]
",000,False,000,False,False,False,2,243
"### || [2.165]
",000,False,000,False,False,False,2,72
"### || [2.166]
",000,False,000,False,False,False,2,81
"### || [2.168]
",000,False,000,False,False,False,2,34
"### || [2.169]
",000,False,000,False,False,False,2,166
"### || [2.173]
",000,False,000,False,False,False,2,6941
"### || [2.177]
",000,False,000,False,False,False,2,115
"### || [2.183-184]
",000,False,000,False,False,False,2,41
"### || [2.185]
",000,False,000,False,False,False,2,85
"### || [2.186]
",000,False,000,False,False,False,2,88
"### || [2.187]
",000,False,000,False,False,False,2,50
"### || [2.189]
",000,False,000,False,False,False,2,125
"### || [2.190]
",000,False,000,False,False,False,2,74
"### || [2.196]
",000,False,000,False,False,False,2,4283
"### || [2.198]
",000,False,000,False,False,False,2,125
"### || [2.199]
",000,False,000,False,False,False,2,182
"### || [2.212]
",000,False,000,False,False,False,2,93
"### || [2.216]
",000,False,000,False,False,False,2,34
"### || [2.217]
",000,False,000,False,False,False,2,73
"### || [2.219]
",000,False,000,False,False,False,2,51
"### || [2.221]
",000,False,000,False,False,False,2,131
"### || [2.222-223]
",000,False,000,False,False,False,2,1273
"### || [2.225]
",000,False,000,False,False,False,2,93
"### || [2.228]
",000,False,000,False,False,False,2,2427
"### || [2.229]
",000,False,000,False,False,False,2,14432
"### || [2.231]
",000,False,000,False,False,False,2,196
"### || [2.233]
",000,False,000,False,False,False,2,73
"### || [2.234]
",000,False,000,False,False,False,2,270
"### || [2.241]
",000,False,000,False,False,False,2,515
"### || [2.243]
",000,False,000,False,False,False,2,274
"### || [2.245]
",000,False,000,False,False,False,2,56
"### || [2.251]
",000,False,000,False,False,False,2,47
"### || [2.252]
",000,False,000,False,False,False,2,34
"### || [2.253]
",000,False,000,False,False,False,2,1166
"### || [2.257]
",000,False,000,False,False,False,2,457
"### || [2.264]
",000,False,000,False,False,False,2,61
"### || [2.275]
",000,False,000,False,False,False,2,244
"### || [2.276]
",000,False,000,False,False,False,2,7625
"### || [2.282-283]
",000,False,000,False,False,False,2,1198
"### || [2.286]
",000,False,000,False,False,False,2,228
"### | [3 - سورة آل عمران]
",000,False,000,False,False,False,1,8995
"### || [3.7]
",000,False,000,False,False,False,2,2182
"### || [3.10]
",000,False,000,False,False,False,2,245
"### || [3.11]
",000,False,000,False,False,False,2,151
"### || [3.13]
",000,False,000,False,False,False,2,90
"### || [3.14]
",000,False,000,False,False,False,2,145
