string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 
",000,False,000,False,False,False,1,33
"### | الباب الأول في المهزة 
",000,False,000,False,False,False,1,150338
"### || الفصل الأول في أسامي آدم 
",000,False,000,False,False,False,2,1017
"### || الفصل الثاني في أسامي أبان
",000,False,000,False,False,False,2,2529
"### || الفصل الثالث في أسامي أبجر
",000,False,000,False,False,False,2,62
"### || الفصل الرابع في أسامي إبراهيم من رواة الشيعة 
",000,False,000,False,False,False,2,31861
"### || الفصل الخامس في المتفرقات
",000,False,000,False,False,False,2,1117
"### || الفصل السادس في أسامي أحمد
",000,False,000,False,False,False,2,68581
"### || الفصل السابع في المتفرقات
",000,False,000,False,False,False,2,1019
"### || الفصل الثامن في أسامي إدريس
",000,False,000,False,False,False,2,1638
"### || الفصل التاسع في المتفرقات
",000,False,000,False,False,False,2,1798
"### || الفصل العاشر في أسامي إسحاق
",000,False,000,False,False,False,2,11783
"### || 
",000,False,000,False,False,False,2,28987
"### | باب الباء
",000,False,000,False,False,False,1,799279
"### || الفصل الأول في المصدرين بالأب اعلم أن وضع باب الكنى لأجل التعرض لمن
",000,False,000,False,False,False,2,35238
"### || الفصل الثاني في المصدرين بالابن 17437 - ابن أبي أويس:
",000,False,000,False,False,False,2,4239
"### || الفصل الثالث في الألقاب المنسوبة 17649 - الآدمي: هو سهل بن زياد.
",000,False,000,False,False,False,2,2906
"### || الفصل الرابع في الألقاب الغير المنسوبة 17765 - الأبرش أبو عون:
",000,False,000,False,False,False,2,2813
"### || الفصل الخامس في النساء الراويات أو الواقعة في الروايات 17937 - آسية
",000,False,000,False,False,False,2,13284
