string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO نبذه عن الشاعر:
",000,False,000,False,False,False,1,352
"### | AUTO وأحمل الذكرى
",000,False,000,False,False,False,1,504
"### | AUTO من أرض بلقيس
",000,False,000,False,False,False,1,186
"### | AUTO فلسفة الفن
",000,False,000,False,False,False,1,248
"### | AUTO نار وقلب
",000,False,000,False,False,False,1,210
"### | AUTO هائم
",000,False,000,False,False,False,1,412
"### | AUTO طائر الربيع
",000,False,000,False,False,False,1,668
"### | AUTO عروس الحزن
",000,False,000,False,False,False,1,266
"### | AUTO أثيم الهوى
",000,False,000,False,False,False,1,229
"### | AUTO هكذا قالت
",000,False,000,False,False,False,1,113
"### | AUTO ليالي الجائعين
",000,False,000,False,False,False,1,233
"### | AUTO حين يشقى الناس
",000,False,000,False,False,False,1,94
"### | AUTO الشاعر
",000,False,000,False,False,False,1,210
"### | AUTO سائل
",000,False,000,False,False,False,1,133
"### | AUTO الشمس
",000,False,000,False,False,False,1,142
"### | AUTO أنا والشعر
",000,False,000,False,False,False,1,144
"### | AUTO بعد الحب
",000,False,000,False,False,False,1,166
"### | AUTO روح شاعر
",000,False,000,False,False,False,1,316
"### | AUTO أمي
",000,False,000,False,False,False,1,300
"### | AUTO فلسفة الجراح
",000,False,000,False,False,False,1,164
"### | AUTO تحت الليل
",000,False,000,False,False,False,1,147
"### | AUTO البعث العربي
",000,False,000,False,False,False,1,275
"### | AUTO منبت الحب
",000,False,000,False,False,False,1,135
"### | AUTO محنة الفن
",000,False,000,False,False,False,1,210
"### | AUTO من هواها
",000,False,000,False,False,False,1,198
"### | AUTO راهب الفن
",000,False,000,False,False,False,1,101
"### | AUTO منها وإليها
",000,False,000,False,False,False,1,124
"### | AUTO أم الكرم
",000,False,000,False,False,False,1,192
"### | AUTO نجوى
",000,False,000,False,False,False,1,70
"### | AUTO في الطريق
",000,False,000,False,False,False,1,29
"### | AUTO الليل الحزين
",000,False,000,False,False,False,1,110
"### | AUTO أنا
",000,False,000,False,False,False,1,202
"### | AUTO مع الحياة
",000,False,000,False,False,False,1,292
"### | AUTO من أغني
",000,False,000,False,False,False,1,115
"### | AUTO في الليل
",000,False,000,False,False,False,1,157
"### | AUTO لست أهواك
",000,False,000,False,False,False,1,163
"### | AUTO شعري
",000,False,000,False,False,False,1,207
"### | AUTO فجر النبوة
",000,False,000,False,False,False,1,428
"### | AUTO حيث التقينا
",000,False,000,False,False,False,1,199
"### | AUTO أنا الغريب
",000,False,000,False,False,False,1,113
"### | AUTO ليالي السجن
",000,False,000,False,False,False,1,40
"### | AUTO عندما ضمنا اللقاء
",000,False,000,False,False,False,1,112
"### | AUTO وحدي هنا
",000,False,000,False,False,False,1,108
"### | AUTO الحب القتيل
",000,False,000,False,False,False,1,153
"### | AUTO كيف أنسى
",000,False,000,False,False,False,1,239
"### | AUTO أين مني
",000,False,000,False,False,False,1,140
"### | AUTO ميلاد الربيع
",000,False,000,False,False,False,1,202
"### | AUTO هموم الشعر
",000,False,000,False,False,False,1,107
"### | AUTO ما لي صمت عن الرثاء
",000,False,000,False,False,False,1,47
"### | AUTO هو ... وهي
",000,False,000,False,False,False,1,66
"### | AUTO حيرة الساري
",000,False,000,False,False,False,1,252
"### | AUTO مدرسة الحياة
",000,False,000,False,False,False,1,170
"### | AUTO ليلة الذكريات
",000,False,000,False,False,False,1,55
"### | AUTO سكرة الحب
",000,False,000,False,False,False,1,320
"### | AUTO لا تسل عني
",000,False,000,False,False,False,1,179
"### | AUTO تائه
",000,False,000,False,False,False,1,118
"### | AUTO يا شباب الفدى في الجنوب
",000,False,000,False,False,False,1,249
"### | AUTO الربيع والشعر
",000,False,000,False,False,False,1,226
"### | AUTO فجران
",000,False,000,False,False,False,1,448
"### | AUTO إلى قارئي
",000,False,000,False,False,False,1,149
"### | AUTO في طريق الفجر
",000,False,000,False,False,False,1,239
"### | AUTO صراع الأشباح
",000,False,000,False,False,False,1,456
"### | AUTO عتاب ووعيد
",000,False,000,False,False,False,1,154
"### | AUTO الجناح المحطم
",000,False,000,False,False,False,1,308
"### | AUTO لا تسألي
",000,False,000,False,False,False,1,383
"### | AUTO عذاب ولحن
",000,False,000,False,False,False,1,296
"### | AUTO قصة من الماضي
",000,False,000,False,False,False,1,606
"### | AUTO نحن والحاكمون
",000,False,000,False,False,False,1,386
"### | AUTO كلنا في انتظار ميلاد الفجر
",000,False,000,False,False,False,1,374
"### | AUTO عيد الجلوس
",000,False,000,False,False,False,1,303
"### | AUTO رحلة النجوم
",000,False,000,False,False,False,1,144
"### | AUTO زحف العروبة
",000,False,000,False,False,False,1,512
"### | AUTO حديث نهدين
",000,False,000,False,False,False,1,214
"### | AUTO هكذا أمضي
",000,False,000,False,False,False,1,311
"### | AUTO حين يصحو الشعب
",000,False,000,False,False,False,1,267
