string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [chapter 1] كتاب «صنعة الشعر» لأرسطو (ترجمة حديثة)
",000,False,000,False,False,False,1,385
"### | [chapter 2]
",000,False,000,False,False,False,1,171
"### | [chapter 3]
",000,False,000,False,False,False,1,200
"### | [chapter 4]
",000,False,000,False,False,False,1,562
"### | [chapter 5]
",000,False,000,False,False,False,1,234
"### | [chapter 6]
",000,False,000,False,False,False,1,631
"### | [chapter 7]
",000,False,000,False,False,False,1,324
"### | [chapter 8]
",000,False,000,False,False,False,1,170
"### | [chapter 9]
",000,False,000,False,False,False,1,465
"### | [chapter 10]
",000,False,000,False,False,False,1,85
"### | [chapter 11]
",000,False,000,False,False,False,1,222
"### | [chapter 12]
",000,False,000,False,False,False,1,117
"### | [chapter 13]
",000,False,000,False,False,False,1,395
"### | [chapter 14]
",000,False,000,False,False,False,1,481
"### | [chapter 15]
",000,False,000,False,False,False,1,348
"### | [chapter 16]
",000,False,000,False,False,False,1,338
"### | [chapter 17]
",000,False,000,False,False,False,1,321
"### | [chapter 18]
",000,False,000,False,False,False,1,386
"### | [chapter 19]
",000,False,000,False,False,False,1,197
"### | [chapter 20]
",000,False,000,False,False,False,1,372
"### | [chapter 21]
",000,False,000,False,False,False,1,517
"### | [chapter 22]
",000,False,000,False,False,False,1,498
"### | [chapter 23]
",000,False,000,False,False,False,1,224
"### | [chapter 24]
",000,False,000,False,False,False,1,649
"### | [chapter 25]
",000,False,000,False,False,False,1,911
"### | [chapter 26]
",000,False,000,False,False,False,1,434
