string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | CHECK [المجلد الأول]
",000,False,000,False,False,False,1,154912
"### || AUTO مقدمة التحقيق
",000,False,000,False,False,False,2,6355
"### ||| CHECK [منهج ms0009 العمل في التحقيق]
",000,False,000,False,False,False,3,401
"### ||| CHECK [ترجمة الإمام علي بن المؤيد بن جبريل]
",000,False,000,False,False,False,3,890
"### |||| AUTO مولده:
",000,False,000,False,False,False,4,532
"### |||| AUTO وفاته عليه السلام:
",000,False,000,False,False,False,4,90
"### |||| AUTO أولاده عليه السلام:
",000,False,000,False,False,False,4,18
"### ||| AUTO ترجمة الإمام عزالدين عليه السلام
",000,False,000,False,False,False,3,1369
"### |||| AUTO أمه عليه السلام : هي الشريفة الطاهرة الفاضلة الكاملة مارية
",000,False,000,False,False,False,4,22
"### |||| AUTO مولده: ولد عليه السلام بهجرة فلله يوم الإثنين لسبع ليال
",000,False,000,False,False,False,4,19
"### |||| AUTO نشأته عليه السلام : نشأ منشأ آبائه الجحاجحة الكرام، وقفا
",000,False,000,False,False,False,4,276
"### |||| CHECK [رثاء مولانا المتوكل على الله شرف الدين بن شمس الدين , حي
",000,False,000,False,False,False,4,14
"### |||| AUTO دعوته:
",000,False,000,False,False,False,4,2
"### |||| AUTO قال: وكانت دعوته عليه السلام في يوم تاسع من شهر شوال سنة
",000,year,000,False,False,False,4,595
"### |||| CHECK [زيارة الفقيه العلامة سعد الدين المسوري للإمامين]
",000,False,000,False,False,False,4,250
"### |||| CHECK [أولاد الإمام عز الدين عليه السلام]
",000,False,000,False,False,False,4,58
"### |||| AUTO مؤلفاته
",000,False,000,False,False,False,4,106
"### ||| AUTO ترجمة الإمام الحسن بن عز الدين عليه السلام
",000,False,000,False,False,False,3,537
"### |||| AUTO مولده عليه السلام:
",000,False,000,False,False,False,4,31
"### |||| AUTO نشأته عليه السلام:
",000,False,000,False,False,False,4,44
"### |||| AUTO دراسته عليه السلام:
",000,False,000,False,False,False,4,27
"### |||| AUTO إهتمام والده به:
",000,False,000,False,False,False,4,30
"### |||| AUTO دعوته عليه السلام:
",000,False,000,False,False,False,4,209
"### |||| AUTO مؤلفاته:
",000,False,000,False,False,False,4,88
"### |||| CHECK [زيارة العلامة سعد الدين المسوري , للهجرة المقدسة]
",000,False,000,False,False,False,4,8
"### |||| AUTO وفاته عليه السلام:
",000,False,000,False,False,False,4,91
"### ||| AUTO ترجمة السيد العلامة صارم الدين الوزير
",000,False,000,False,False,False,3,131
"### |||| AUTO مولده ونشأته:
",000,False,000,False,False,False,4,56
"### |||| AUTO مؤلفاته:
",000,False,000,False,False,False,4,49
"### ||| AUTO ترجمة القاضي عبد الله النجري
",000,False,000,False,False,False,3,140
"### |||| AUTO مولده: ب(حوث) سنة 825ه، ونشأ بها وقرأ على والده وأخيه، ثم
",825,year,000,False,825,False,4,59
"### |||| AUTO مؤلفاته:
",000,False,000,False,False,False,4,37
"### |||| AUTO وفاته: توفي رحمه الله في ذي القعدة سنة 877ه.
",877,year,000,False,877,False,4,11
"### ||| AUTO ترجمة العلامة علي بن محمد البكري
",000,False,000,False,False,False,3,144
"### |||| AUTO مؤلفاته :
",000,False,000,False,False,False,4,49
"### |||| AUTO وفاته:
",000,False,000,False,False,False,4,11
"### ||| AUTO مصادر التراجم
",000,False,000,False,False,False,3,128
"### |||| AUTO أولا: المخطوطات
",000,False,000,False,False,False,4,63
"### |||| AUTO ثانيا: المطبوعات:
",000,False,000,False,False,False,4,62
"### ||| CHECK [صور لبعض صفحات المخطوطات]
",000,False,000,False,False,False,3,176
"### || AUTO ((القسم الأول ))
",000,False,000,False,False,False,2,61472
"### ||| AUTO ### |||| AUTO الخاص بالإمامة
",000,False,000,False,False,False,3,61469
"### |||| AUTO الخاص بالإمامة
",000,False,000,False,False,False,4,1245
"### |||| AUTO الرسالة الثانية
",000,False,000,False,False,False,4,3154
"### ||||| CHECK [درجات الإمامة :]
",000,False,000,False,False,False,5,3
"### ||||| AUTO [الدرجة الأولى: درجة المعصومين المنصوص على إمامتهم]
",000,False,000,False,False,False,5,39
"### ||||| AUTO [الدرجة الثانية: درجة الأئمة الهادين المبشر بهم تصريحا أو
",000,False,000,False,False,False,5,97
"### ||||| AUTO [الدرجة الثالثة: درجة الأئمة السابقين]
",000,False,000,False,False,False,5,128
"### ||||| AUTO [الدرجة الرابعة: درجة الأئمة اللاحقين المقتدين بالأئمة
",000,False,000,False,False,False,5,399
"### ||||| AUTO [بيان حال الإمام المؤلف مع تواضع من غير إخلال]
",000,False,000,False,False,False,5,2258
"### |||| CHECK [العناية التامة في تحقيق مسألة الإمامة, للإمام عز الدين]
",000,False,000,False,False,False,4,30681
"### ||||| AUTO مقدمة
",000,False,000,False,False,False,5,555
"### ||||| AUTO القول في الإمامة
",000,False,000,False,False,False,5,862
"### ||||| AUTO وأما الحجج التي يذكرها أهل المذهب المختار فهي ثلاث:
",000,False,000,False,False,False,5,368
"### ||||| CHECK [الجواب عليها : ونحن نقول وبالله التوفيق ...]
",000,False,000,False,False,False,5,1445
"### ||||| AUTO تنبيه
",000,False,000,False,False,False,5,1540
"### ||||| AUTO فائدة: إذا جعل الطريق إلى ثبوت إجابة الإمام العقد
",000,False,000,False,False,False,5,743
"### ||||| AUTO تنبيه: حكى الإمام يحيى عليه السلام في كيفية البيعة أنها
",000,False,000,False,False,False,5,124
"### ||||| AUTO ### ||||| AUTO ### ||||| AUTO تنبيه آخر: وهل يشترط إجماع
",000,False,000,False,False,False,5,462
"### ||||| AUTO واعلم أن شرائط الإمام تنقسم إلى خلقية واكتسابية.
",000,False,000,False,False,False,5,24301
"### |||| AUTO [رسالة الإمام عزالدين بن الحسن عليه السلام التي وجهها إلى
",000,False,000,False,False,False,4,2783
"### ||||| AUTO [بحث يتضمن السؤال: هل الإمامة من المسائل القطعية أم هي من
",000,False,000,False,False,False,5,187
"### ||||| AUTO الإمام فيه، ووجه قصره عليه، وغير ذلك، والأدلة القاطعة
",000,False,000,False,False,False,5,338
"### ||||| AUTO [إثبات ما يترتب على القول بقطعية الإمامة]
",000,False,000,False,False,False,5,414
"### ||||| AUTO [بحث حكم النافي لإمامة الإمام والمتوقف فيها وتخطئة
",000,False,000,False,False,False,5,326
"### ||||| AUTO [احتجاج الإمام بتسامح الأئمة فيما بينهم]
",000,False,000,False,False,False,5,681
"### ||||| AUTO [مبحث في حكم الصلاة خلف المخالف في الإمامة وخلف نافيها]
",000,False,000,False,False,False,5,559
"### |||| AUTO [وهذا جواب للرسالة أجاب به الفقيه العلامة فخر الدين عبد
",000,False,000,False,False,False,4,727
"### ||||| AUTO وما ذكره -أبقاه الله- تعالى من التشكيك في نقل الإجماع
",000,False,000,False,False,False,5,70
"### ||||| AUTO وما ذكره سيدي أبقاه الله تعالى في المسألة الثانية: من أنه
",000,False,000,False,False,False,5,144
