string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO القول الأول والثاني
",000,False,000,False,False,False,1,11984
"### || AUTO مقدمة
",000,False,000,False,False,False,2,451
"### || AUTO المنهج العلمي
",000,False,000,False,False,False,2,152
"### || AUTO المبحث التمهيدي
",000,False,000,False,False,False,2,1115
"### ||| AUTO ترجمة مختصرة للإمام الهادي إلى الحق
",000,False,000,False,False,False,3,1082
"### |||| AUTO المطلب الأول: اسمه ونسبه
",000,False,000,False,False,False,4,74
"### |||| AUTO المطلب الثاني: حياته
",000,False,000,False,False,False,4,341
"### |||| AUTO المطلب الثالث: مؤلفاته:
",000,False,000,False,False,False,4,660
"### || AUTO المبحث الأول القول الأول والثاني في الطهارة
",000,False,000,False,False,False,2,1834
"### ||| AUTO المطلب الأول استقبال القبلة عند قضاء الحاجة
",000,False,000,False,False,False,3,493
"### ||| AUTO المطلب الثاني الاستنجاء من الريح
",000,False,000,False,False,False,3,311
"### ||| AUTO المطلب الثالث التسمية في الوضوء
",000,False,000,False,False,False,3,314
"### ||| AUTO المطلب الرابع غسل اليدين أول الوضوء
",000,False,000,False,False,False,3,300
"### ||| AUTO المطلب الخامس مسح الجبيرة في الوضوء
",000,False,000,False,False,False,3,408
"### || AUTO المبحث الثاني القول الأول والثاني في الصلاة
",000,False,000,False,False,False,2,3064
"### ||| AUTO المطلب الأول الصلاة في الحرير الممتزج بالقطن
",000,False,000,False,False,False,3,348
"### ||| AUTO المطلب الثاني صفة التعوذ في الصلاة
",000,False,000,False,False,False,3,245
"### ||| AUTO المطلب الثالث صفة التشهد الأوسط
",000,False,000,False,False,False,3,376
"### ||| AUTO المطلب الرابع إمامة الأعمى في الصلاة
",000,False,000,False,False,False,3,254
"### ||| AUTO المطلب الخامس صلاة المسافر خلف المقيم
",000,False,000,False,False,False,3,411
"### ||| AUTO المطلب السادس القيام إلى الصلاة عند الحيعلة في الإقامة
",000,False,000,False,False,False,3,229
"### ||| AUTO المطلب السابع صلاة الإمام في موضع مرتفع أو منخفض
",000,False,000,False,False,False,3,302
