string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO قراءة في كتب العقائد
",000,False,000,False,False,False,1,52043
"### || AUTO الإهداء
",000,False,000,False,False,False,2,140
"### || AUTO المذكرة الإيضاحية
",000,False,000,False,False,False,2,4563
"### || AUTO أولا: مصطلح العقيدة بين السنة والبدعة:
",000,year,000,False,False,False,2,1846
"### || AUTO ثانيا: الجذور السياسية للخلافات العقدية:
",000,False,000,False,False,False,2,1218
"### || AUTO 1- الاختلاف يوم السقيفة وموقف المسلمين منها وآثارها الفكرية:
",000,False,000,False,False,False,2,2058
"### || AUTO 2- وصية أبي بكر لعمر بالخلافة وموقف المسلمين منها
",000,False,000,False,False,False,2,586
"### || AUTO 3- بيعة عثمان والشورى وموقف المسلمين منها
",000,False,000,False,False,False,2,596
"### || AUTO 4- الفتنة الأولى وآثارها الفكرية وموقف المسلمين منها
",000,False,000,False,False,False,2,1757
"### || AUTO - بيعة علي بن أبي طالب وحدوث الفتنة الثانية وآثارها الفكرية
",000,False,000,False,False,False,2,2643
"### || AUTO 6- صلح الحسن وآثاره:
",000,False,000,False,False,False,2,1057
"### || AUTO 7- الدولة الأموية وآثارها على العلم والفكر:
",000,False,000,False,False,False,2,6495
"### || AUTO ثالثا: نقد المذهب الحنبلي في العقيدة:
",000,False,000,False,False,False,2,628
"### || AUTO أولا: التكفير والتبديع في كتب الحنابلة
",000,False,000,False,False,False,2,2182
"### || AUTO 3- التكفير عند ابن تيمية!!
",000,False,000,False,False,False,2,1977
"### || AUTO ثانيا: التجسيم والتشبيه:
",000,False,000,False,False,False,2,560
"### || AUTO ثالثا: كثرة الأكاذيب من الأحاديث الموضوعة والآثار الباطلة
",000,False,000,False,False,False,2,1376
"### || AUTO رابعا: تأثير العقيدة على الجرح والتعديل:
",000,False,000,False,False,False,2,264
"### || AUTO خامسا: التناقض:
",000,False,000,False,False,False,2,747
"### || AUTO سادسا: عدم فهم حجة الآخر:
",000,False,000,False,False,False,2,1501
"### || AUTO سابعا: الظلم:
",000,False,000,False,False,False,2,110
"### || AUTO ثامنا: العنف:
",000,False,000,False,False,False,2,111
"### || AUTO تاسعا: الافتراء على الخصوم:
",000,False,000,False,False,False,2,187
"### || AUTO عاشرا: إرهاب المتوقفين
",000,False,000,False,False,False,2,133
"### || AUTO أحد عشر: سكوتهم عن الإنكار على بعضهم وانشغالهم بذم الآخرين:
",000,False,000,False,False,False,2,289
"### || AUTO أثنى عشر: الغلو ms119 في شيوخهم وأئمتهم:
",000,False,000,False,False,False,2,1651
"### || AUTO ثالث عشر: ردود الأفعال:
",000,False,000,False,False,False,2,140
"### || AUTO رابع عشر: عدم إدراك معنى الكلام!!:
",000,False,000,False,False,False,2,244
"### || AUTO خامس عشر: تشريع الكراهية بين المسلمين:
",000,False,000,False,False,False,2,162
"### || AUTO سادس عشر: ذم المناظرة والحوار:
",000,False,000,False,False,False,2,362
"### || AUTO سابع عشر: التزهيد في التحاكم إلى القرآن الكريم مع المبالغة
",000,False,000,False,False,False,2,310
"### || AUTO ثامن عشر: التزهيد والتساهل في كبائر الذنوب والموبقات مع
",000,False,000,False,False,False,2,120
"### || AUTO تاسع عشر: التقارب مع اليهود والنصارى والتشدد على المسلمين:
",000,False,000,False,False,False,2,116
"### || AUTO - تقرير شرعية الفرح بمصائب المسلمين من الطوائف الأخرى
",000,False,000,False,False,False,2,84
"### || AUTO واحد وعشرون: الحكم الجائر على نيات الآخرين:
",000,False,000,False,False,False,2,149
"### || AUTO - النصب
",000,False,000,False,False,False,2,1901
"### || AUTO - الاستدراك على الشرع (أو بدعة اشتراط فهم السلف)
",000,False,000,False,False,False,2,771
"### || AUTO ما البديل؟!
",000,False,000,False,False,False,2,1184
"### || AUTO الخاتمة وأبرز النتائج
",000,False,000,False,False,False,2,809
"### || AUTO الحنابلة والسياسة!!
",000,False,000,False,False,False,2,2173
"### || AUTO نحو إعادة التفكير دون خوف من تكفير أو تبديع أو تضليل
",000,False,000,False,False,False,2,2047
"### || AUTO عقيدة الله 00 أم عقيدة المذهب؟!
",000,False,000,False,False,False,2,1744
"### || AUTO ظاهرة التكفير والاتهام بالزندقة في الفكر الإسلامي
",000,False,000,False,False,False,2,1032
"### || AUTO تكفير العلماء:
",000,False,000,False,False,False,2,744
"### || AUTO أصحاب العقائد وسياقات النصوص
",000,False,000,False,False,False,2,2885
"### || AUTO اعتذار ورجاء
",000,False,000,False,False,False,2,72
