string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,8
"### | باب مقدمة الكتاب
",000,False,000,False,False,False,1,4313
"### | باب بعثة برزويه إلى بلاد الهند
",000,False,000,False,False,False,1,2012
"### | باب عرض الكتاب ترجمة عبد الله بن المقفع
",000,False,000,False,False,False,1,2038
"### | باب بروزيه ترجمة بزرجمهر بن البختكان
",000,False,000,False,False,False,1,2380
"### | باب الأسد والثور وهو أول الكتاب
",000,False,000,False,False,False,1,8022
"### | باب الفحص عن أمر دمنة
",000,False,000,False,False,False,1,3171
"### | باب الحمامة المطوقة
",000,False,000,False,False,False,1,2935
"### | باب البوم والغربان
",000,False,000,False,False,False,1,4087
"### | باب القرد والغيلم
",000,False,000,False,False,False,1,1108
"### | الناسك وابن عرس
",000,False,000,False,False,False,1,528
"### | باب الجرذ والسنور
",000,False,000,False,False,False,1,1117
"### | باب ابن الملك والطائر فنزة
",000,False,000,False,False,False,1,1204
"### | باب الأسد والشغبر الناسك وهو ابن آوى
",000,False,000,False,False,False,1,1614
"### | باب إيلاذ وبلاذ وايراخت
",000,False,000,False,False,False,1,2789
"### | باب اللبوة والإسوار والشغبر
",000,False,000,False,False,False,1,565
"### | باب الناسك والضيف
",000,False,000,False,False,False,1,270
"### | باب السائح والصائغ
",000,False,000,False,False,False,1,938
"### | باب ابن الملك وأصحابه
",000,False,000,False,False,False,1,1174
"### | باب الحمامة والثعلب ومالك الحزين
",000,False,000,False,False,False,1,527
