string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مشيخة ابن طهمان]
",000,False,000,False,False,False,1,124
"### | 1 - 
",000,False,000,False,False,False,1,41
"### | 2 - 
",000,False,000,False,False,False,1,42
"### | 3 - 
",000,False,000,False,False,False,1,67
"### | 4 - 
",000,False,000,False,False,False,1,74
"### | 5 - 
",000,False,000,False,False,False,1,137
"### | 6 - 
",000,False,000,False,False,False,1,77
"### | 7 - 
",000,False,000,False,False,False,1,35
"### | 8 - 
",000,False,000,False,False,False,1,45
"### | 9 - 
",000,False,000,False,False,False,1,73
"### | 10 - 
",000,False,000,False,False,False,1,18
"### | : «لو تعلمون ما أعلم لضحكتم قليلا ولبكيتم كثيرا»
",000,False,000,False,False,False,1,8
"### | 11 - 
",000,False,000,False,False,False,1,27
"### | : «اللهم اجعل في قلبي نورا , وفي سمعي نورا , وفي بصري نورا»
",000,False,000,False,False,False,1,11
"### | 12 - 
",000,False,000,False,False,False,1,19
"### | : «ما كان يحرم من النسب فهو حرام من الرضاع»
",000,False,000,False,False,False,1,9
"### | 13 - 
",000,False,000,False,False,False,1,13
"### | «أحلت ذبائح اليهود والنصارى، لأنهم آمنوا بالتوراة والإنجيل»
",000,False,000,False,False,False,1,8
"### | 14 - 
",000,False,000,False,False,False,1,43
"### | : «من شرب الخمر فاجلدوه , ثم إن شرب فاجلدوه , ثم إن شرب فاجلدوه , ثم إن شرب الرابعة 
",000,False,000,False,False,False,1,17
"### | 15 - 
",000,False,000,False,False,False,1,26
"### | : «شارب الخمر فاجلدوه , ثم إن شرب فاجلدوه , ثم إن شرب فاجلدوه , فإن شرب فاجلدوه , ثم إن شرب 
",000,False,000,False,False,False,1,30
"### | 16 - 
",000,False,000,False,False,False,1,19
"### | : «وقى أحدكم وجهه النار ولو بشق تمرة , فإن لم يجد فكلمة لينة , فإن أحدكم إذا لقي الله يوم 
",000,False,000,False,False,False,1,46
"### | 17 - 
",000,False,000,False,False,False,1,18
"### | «يخرج إلى الصلاة ورأسه يقطر من الجنابة» قال: فقال أبو هريرة: هي أعلم إذن
",000,False,000,False,False,False,1,14
"### | 18 - 
",000,False,000,False,False,False,1,41
"### | : «هل تدرون ما هذا؟ قلنا: السحاب. قال: أو المزن. قلنا: أو المزن ‍‍ قال: أو العنان. قلنا: أو 
",000,False,000,False,False,False,1,94
"### | 19 - 
",000,False,000,False,False,False,1,16
"### | «يعتكف العشر الأول من رمضان»
",000,False,000,False,False,False,1,5
"### | 20 - 
",000,False,000,False,False,False,1,29
"### | : «طيبت رسول الله صلى الله عليه وسلم لإحرامه، وحله»
",000,False,000,False,False,False,1,9
"### | 21 - 
",000,False,000,False,False,False,1,24
"### | : «أذن لي ربي أحدث عن ملك من الملائكة من ms04 حملة العرش ما بين شحمة أذنه إلى عاتقه مسيرة سبعمائة 
",000,False,000,False,False,False,1,20
"### | 22 - 
",000,False,000,False,False,False,1,29
"### | : «لولا بنو إسرائيل لم يخنز اللحم , ولولا حواء لم تخن امرأة زوجها الدهر» قال: وكانت خيبر لمن 
",000,False,000,False,False,False,1,124
"### | 23 - 
",000,False,000,False,False,False,1,46
"### | : «ما نقم ابن جميل , إلا أنه كان فقيرا , فأغناه الله ورسوله , وأما خالد فإنكم تظلمون خالدا 
",000,False,000,False,False,False,1,31
"### | 24 - 
",000,False,000,False,False,False,1,37
"### | الرجل ليتكلم بالكلمة من الخير ما يعلم مبلغها , يكتب الله له بها رضوانه إلى يوم القيامة 
",000,False,000,False,False,False,1,33
"### | 25 - 
",000,False,000,False,False,False,1,26
"### | : «هاجر إبراهيم بسارة , فدخل بها قرية فيها ملك من الملوك أو جبار من الجبابرة , فقيل: دخل 
",000,False,000,False,False,False,1,173
"### | 26 - 
",000,False,000,False,False,False,1,55
"### | 27 - 
",000,False,000,False,False,False,1,18
"### | 28 - 
",000,False,000,False,False,False,1,19
"### | 29 - 
",000,False,000,False,False,False,1,50
"### | الله لغني عن مشي أختك , فلتركب ولتهد بدنة ""
",000,False,000,False,False,False,1,10
"### | 30 - 
",000,False,000,False,False,False,1,36
"### | : «ليتصدق بدينار أو نصف دينار»
",000,False,000,False,False,False,1,5
"### | 31 - 
",000,False,000,False,False,False,1,41
"### | 32 - 
",000,False,000,False,False,False,1,24
"### | : «يخرج ناس من المدينة , والمدينة خير لهم لو كانوا يعلمون»
",000,False,000,False,False,False,1,10
"### | 33 - 
",000,False,000,False,False,False,1,22
"### | «مجامرهم اللؤلؤ , وأمشاطهم الذهب»
",000,False,000,False,False,False,1,4
"### | 34 - 
",000,False,000,False,False,False,1,18
"### | : «حائط الجنة لبنة من فضة , لبنة من ذهب»
",000,False,000,False,False,False,1,8
"### | 35 - 
",000,False,000,False,False,False,1,18
"### | «ليرى مخ ساقها من وراء الحلل وإن عليها سبعين حلة»
",000,False,000,False,False,False,1,10
"### | 36 - 
",000,False,000,False,False,False,1,28
"### | 37 - 
",000,False,000,False,False,False,1,15
"### | : «أفاء الله خيبر على رسوله , فأقرهم رسول الله صلى الله عليه وسلم كما كانوا , وجعلها بينه 
",000,False,000,False,False,False,1,96
"### | 38 - 
",000,False,000,False,False,False,1,16
"### | لا عدوى , ولا طيرة , ولا شؤم , فإن يكن في شيء ففي الربع والفرس والمرأة»
",000,False,000,False,False,False,1,15
"### | 39 - 
",000,False,000,False,False,False,1,27
"### | : «لا عدوى، ومن أعدى الأول ولا صفر، ولا غول»
",000,False,000,False,False,False,1,9
"### | 40 - 
",000,False,000,False,False,False,1,21
"### | : «مات رسول الله صلى الله عليه وسلم في بيتي , وفي يومي , وبين سحري، ونحري , وريقه مع ريقي 
",000,False,000,False,False,False,1,65
"### | 41 - 
",000,False,000,False,False,False,1,15
"### | : «سرب رسول الله صلى الله عليه وسلم نساءه ليلة جمع قبل الزحام»
",000,False,000,False,False,False,1,12
"### | 42 - 
",000,False,000,False,False,False,1,34
"### | : «ما كانت نبوة قط إلا تبعتها خلافة , ولا كانت خلافة قط إلا تبعها ملك , ولا كانت صدقة إلا 
",000,False,000,False,False,False,1,20
"### | 43 - 
",000,False,000,False,False,False,1,32
"### | : «من قال: يثرب مرة , فليقل: المدينة عشر مرات»
",000,False,000,False,False,False,1,8
"### | 44 - 
",000,False,000,False,False,False,1,77
"### | : «عجبت لهؤلاء , يسألنني , ويستكثرنني , عالية أصواتهن فوق صوتي , فلما سمعن صوتك تبادرن 
",000,False,000,False,False,False,1,51
"### | 45 - 
",000,False,000,False,False,False,1,67
"### | : «ثكلته أمه قاتل المؤمن متعمدا , يجيء يوم القيامة متعلقا , رأسه بيمينه أو بشماله , قد لزم 
",000,False,000,False,False,False,1,51
"### | 46 - 
",000,False,000,False,False,False,1,39
"### | «لله ضنائن من عباده , يضن بهم من القتل والأمراض , يعيشهم في عافية , ويميتهم في 
",000,False,000,False,False,False,1,15
"### | 47 - 
",000,False,000,False,False,False,1,17
"### | : «من جر ثوبه من ms09 الخيلاء , لم ينظر الله إليه يوم القيامة» قال نافع: فبلغني أن أم سلمة زوج 
",000,False,000,False,False,False,1,40
"### | 48 - 
",000,False,000,False,False,False,1,35
"### | : «اقتلوا الفويسق يعني الوزغ»
",000,False,000,False,False,False,1,4
"### | 49 - 
",000,False,000,False,False,False,1,95
"### | : «هي الليلة» . ثم رجع , فقال: «أو القابلة» . يريد ليلة ثلاث وعشرين
",000,False,000,False,False,False,1,9
"### | 50 - 
",000,False,000,False,False,False,1,35
"### | : «اجلسي , بارك الله فيك , أما نحن فلا حاجة لنا فيك , ولكن تملكيني أمرك؟» قالت: نعم. فنظر 
",000,False,000,False,False,False,1,77
"### | 51 - 
",000,False,000,False,False,False,1,59
"### | : "" إن إبراهيم حرم مكة وأنا أحرم المدينة , وأنها حرام ما بين حرتيها , لا يقطع منها شجرة إلا 
",000,False,000,False,False,False,1,66
"### | 52 - 
",000,False,000,False,False,False,1,16
"### | «لا تلاعنوا بلعنة الله , ولا تلاعنوا بغضب الله , ولا تدعوا بجهنم أو قال 
",000,False,000,False,False,False,1,14
"### | 53 - 
",000,False,000,False,False,False,1,17
"### | : «عق رسول الله صلى الله عليه وسلم عن الحسن والحسين بكبشين كبشين»
",000,False,000,False,False,False,1,12
"### | 54 - 
",000,False,000,False,False,False,1,18
"### | «لا تدعوا بالموت , ولا تتمنوه , فمن كان داعيا لا بد فليقل: اللهم أحيني ما كانت الحياة خيرا 
",000,False,000,False,False,False,1,23
"### | 55 - 
",000,False,000,False,False,False,1,19
"### | : «نهى النبي عليه السلام عن الأكل والشرب، في آنية الذهب والفضة»
",000,False,000,False,False,False,1,11
"### | 56 - 
",000,False,000,False,False,False,1,61
"### | : «لا عليكم ألا تفعلوا فإنما هو القدر»
",000,False,000,False,False,False,1,7
"### | 57 - 
",000,False,000,False,False,False,1,40
"### | 58 - 
",000,False,000,False,False,False,1,29
"### | 59 - 
",000,False,000,False,False,False,1,16
"### | : «إن الله أمرني أن أقرئك القرآن» فقال أبي: يا رسول الله , سماني؟ قال: «نعم» . قال: فجعل أبي 
",000,False,000,False,False,False,1,17
"### | 60 - 
",000,False,000,False,False,False,1,31
"### | : «يا حي يا قيوم»
",000,False,000,False,False,False,1,4
"### | 61 - 
",000,False,000,False,False,False,1,52
"### | 62 - 
",000,False,000,False,False,False,1,45
"### | : «صلاة في مسجدي أفضل من أربع صلوات فيه ولنعم المصلى هو , وليوشكن لأن يكون للرجل مثل شطن 
",000,False,000,False,False,False,1,36
"### | 63 - 
",000,False,000,False,False,False,1,42
"### | : «مثل أمتي أربعة: رجل أعطاه الله مالا , فجعله في سبله التي فرض الله ورضي , فرآه رجل من ms12 
",000,False,000,False,False,False,1,55
"### | 64 - 
",000,False,000,False,False,False,1,81
"### | : «أليس يشهد أن لا إله إلا الله , وأن محمدا عبده ورسوله؟ قالوا: بلى , ولا خير في شهادته. 
",000,False,000,False,False,False,1,30
"### | 65 - 
",000,False,000,False,False,False,1,63
"### | : «ألن الكلام , وأفش السلام , وأطعم الطعام , وصل الأرحام , وصل والناس نيام , تدخل الجنة 
",000,False,000,False,False,False,1,14
"### | 66 - 
",000,False,000,False,False,False,1,37
"### | «تزوجها حلالا , وبنى بها حلالا , وتزوجها بسرف , وبنى بها تحت السقيفة»
",000,False,000,False,False,False,1,11
"### | 67 - 
",000,False,000,False,False,False,1,56
"### | : «اثبت حراء , فإنه ليس عليك ms13 إلا نبي، أو صديق، أو شهيد»
",000,False,000,False,False,False,1,74
"### | 68 - 
",000,False,000,False,False,False,1,18
"### | الدنيا حلوة خضرة , وإن الله مستخلفكم فيها , فناظر كيف تعملون , فاتقوا الدنيا واتقوا 
",000,False,000,False,False,False,1,15
"### | 69 - 
",000,False,000,False,False,False,1,24
"### | : «أقل ساكني الجنة النساء»
",000,False,000,False,False,False,1,4
"### | 70 - 
",000,False,000,False,False,False,1,56
"### | «سيكون قوم يأكلون بألسنتهم كما تأكل البقر بألسنتها من الأرض»
",000,False,000,False,False,False,1,10
"### | 71 - 
",000,False,000,False,False,False,1,46
"### | : «خذوها وما حولها من السمن فاطرحوه»
",000,False,000,False,False,False,1,6
"### | 72 - 
",000,False,000,False,False,False,1,35
"### | «ألم تري أن قومك حين بنوا الكعبة اقتصروا عن قواعد إبراهيم» ، فقلت: يا رسول الله , أفلا تردها 
",000,False,000,False,False,False,1,65
"### | 73 - 
",000,False,000,False,False,False,1,44
"### | عهد إلينا إذا كان عند مكاتب إحداكن وفاء لما بقي عليه من مكاتبته , فاضربن دونه 
",000,False,000,False,False,False,1,18
"### | 74 - 
",000,False,000,False,False,False,1,27
"### | : «ما مس رسول الله صلى الله عليه وسلم بيده امرأة قط إلا أن يأخذ عليها , فإذا أخذ عليها 
",000,False,000,False,False,False,1,23
"### | 75 - 
",000,False,000,False,False,False,1,23
"### | : «كل مسكر حرام»
",000,False,000,False,False,False,1,3
"### | 76 - 
",000,False,000,False,False,False,1,19
"### | : «كل شراب أسكر فهو حرام»
",000,False,000,False,False,False,1,5
"### | 77 - 
",000,False,000,False,False,False,1,43
"### | : «أي ساعة هذه؟ قال: إني شغلت اليوم فلم أنقلب إلى أهلي حتى سمعت التأذين , فلم يعني: أزد 
",000,False,000,False,False,False,1,33
"### | 78 - 
",000,False,000,False,False,False,1,25
"### | : «للمملوك طعامه وكسوته بالمعروف , ولا يكلف من العمل ما لا يطيق»
",000,False,000,False,False,False,1,11
"### | 79 - 
",000,False,000,False,False,False,1,21
"### | : «أيما دار أو أرض قسمت في الجاهلية , فهي على قسم الجاهلية , وأيما دار أو أرض قسمت في 
",000,False,000,False,False,False,1,23
"### | 80 - 
",000,False,000,False,False,False,1,29
"### | : «أين المتحابون بجلالي؟ اليوم أظلهم في ظلي يوم لا ظل إلا ظلي»
",000,False,000,False,False,False,1,12
"### | 81 - 
",000,False,000,False,False,False,1,35
"### | : «أما علمت أن الفخذ عورة؟»
",000,False,000,False,False,False,1,6
"### | 82 - 
",000,False,000,False,False,False,1,27
"### | خلق أحدكم يجمع في بطن أمه أربعين يوما , ثم يكون علقة مثل ذلك , ثم يكون مضغة مثل ذلك» 
",000,False,000,False,False,False,1,20
"### | 83 - 
",000,False,000,False,False,False,1,50
"### | : «ما من نفس منفوسة إلا قد كتب مكانها من الجنة أو النار , وإلا قد كتبت شقية أو سعيدة» الحديث 
",000,False,000,False,False,False,1,20
"### | 84 - 
",000,False,000,False,False,False,1,110
"### | : ما الإيمان؟ قال: «أن تؤمن بالله واليوم الآخر والملائكة والكتاب والنبيين» . فذكره , وذكر فيه 
",000,False,000,False,False,False,1,25
"### | 85 - 
",000,False,000,False,False,False,1,38
"### | : «لا يعدي شيء شيئا» . فقال أعرابي: يا رسول الله , فإن النقبة لتكون بمشفر البعير أو بذنبه 
",000,False,000,False,False,False,1,45
"### | 86 - 
",000,False,000,False,False,False,1,60
"### | ذلك القدر»
",000,False,000,False,False,False,1,3
"### | 87 - 
",000,False,000,False,False,False,1,50
"### | 88 - 
",000,False,000,False,False,False,1,19
"### | : «لا تنذروا فإن النذر لا يرد شيئا من القدر , وإنما يستخرج به من البخيل»
",000,False,000,False,False,False,1,14
"### | 89 - 
",000,False,000,False,False,False,1,24
"### | : «احتج آدم وموسى»
",000,False,000,False,False,False,1,3
"### | 90 - 
",000,False,000,False,False,False,1,25
"### | «النذر لا يرد ms17 من القدر شيئا , ولكنه يستخرج به من البخيل»
",000,False,000,False,False,False,1,11
"### | 91 - 
",000,False,000,False,False,False,1,45
"### | : «اعملوا فإن كلا لا ينال إلا بعمل» . فقال عمر: ذاك حين نجتهد
",000,False,000,False,False,False,1,12
"### | 92 - 
",000,False,000,False,False,False,1,65
