string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,146
"### | أول من قال الشعر
",000,False,000,False,False,False,1,28
"### | اللفظ المختلف ومجاز المعاني
",000,False,000,False,False,False,1,2395
"### | أول من قال الشعر
",000,False,000,False,False,False,1,632
"### | النبي والشعر
",000,False,000,False,False,False,1,1712
"### | أي الشعراء أشعر
",000,False,000,False,False,False,1,200
"### | شياطين الشعراء
",000,False,000,False,False,False,1,2622
"### | 
",000,False,000,False,False,False,1,0
"### | خبر آخر:
",000,False,000,False,False,False,1,176
"### | 
",000,False,000,False,False,False,1,0
"### | فصل آخر:
",000,False,000,False,False,False,1,72
"### | باب صفة الذين قدموا زهيرا
",000,False,000,False,False,False,1,112
"### | فصل آخر:
",000,False,000,False,False,False,1,82
"### | فصل آخر:
",000,False,000,False,False,False,1,278
"### | فصل من أخبار زهير
",000,False,000,False,False,False,1,113
"### | باب خبر الذين قدموا النابغة الذبياني
",000,False,000,False,False,False,1,268
"### | 
",000,False,000,False,False,False,1,0
"### | فصل آخر:
",000,False,000,False,False,False,1,644
"### | فصل آخر عنه:
",000,False,000,False,False,False,1,356
"### | باب خبر أعشى بكر بن وائل
",000,False,000,False,False,False,1,269
"### | باب خبر لبيد بن ربيعة
",000,False,000,False,False,False,1,79
"### | فصل آخر:
",000,False,000,False,False,False,1,334
"### | فصل آخر من أخباره
",000,False,000,False,False,False,1,90
"### | باب صفة عمرو بن كلثوم
",000,False,000,False,False,False,1,236
"### | باب صفة طرفة بن العبد
",000,False,000,False,False,False,1,826
"### | باب ذكر طقبات من سمينا منهم
",000,False,000,False,False,False,1,841
"### | طعام عبد الملك والأعرابي
",000,False,000,False,False,False,1,402
"### | فصل آخر:
",000,False,000,False,False,False,1,171
"### | أخبار امرىء القيس
",000,False,000,False,False,False,1,277
"### | 
",000,False,000,False,False,False,1,0
"### | فصل آخر:
",000,False,000,False,False,False,1,375
"### | المعلقات
",000,False,000,False,False,False,1,36
"### | معلقة امرىء القيس الطويل
",000,False,000,False,False,False,1,927
"### | معلقة زهير الطويل
",000,False,000,False,False,False,1,700
"### | معلقة النابغة الذبياني البسيط
",000,False,000,False,False,False,1,637
"### | معلقة الأعشى الخفيف
",000,False,000,False,False,False,1,952
"### | معلقة لبيد الكامل
",000,False,000,False,False,False,1,818
"### | معلقة عمرو بن كلثوم الوافر
",000,False,000,False,False,False,1,997
"### | معلقة طرفة لابن العبد الطويل
",000,False,000,False,False,False,1,1216
"### | عنترة بن شداد الكامل
",000,False,000,False,False,False,1,1045
"### | المجمهرات
",000,False,000,False,False,False,1,2
"### | مجمهرة عبيد بن الأبرص
",000,False,000,False,False,False,1,407
"### | مجمهرة عدي بن زيد الطويل
",000,False,000,False,False,False,1,461
"### | مجمهرة بشر بن أبي خازم الكامل
",000,False,000,False,False,False,1,281
"### | مجمهرة أمية بن أبي الصلت الوافر
",000,False,000,False,False,False,1,252
"### | مجمهرة خداش بن زهير الطويل
",000,False,000,False,False,False,1,254
"### | مجمهرة النمر بن تولب الطويل
",000,False,000,False,False,False,1,417
"### | المنتقيات
",000,False,000,False,False,False,1,23
"### | المسيب بن ms078 علس الكامل
",000,False,000,False,False,False,1,131
"### | المرقش الأشغر الطويل
",000,False,000,False,False,False,1,185
"### | المتلمس البسيط
",000,False,000,False,False,False,1,202
"### | عروة بن الورد الطويل
",000,False,000,False,False,False,1,197
