string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1384 - 
",000,False,000,False,False,False,1,150
"### | 1385 - 
",000,False,000,False,False,False,1,67
"### | : «إذا أمذى أحدكم ولم يمسها، فليغسل ذكره وأنثييه، ثم ليتوضأ وليصل»
",000,False,000,False,False,False,1,18
"### | 1386 - 
",000,False,000,False,False,False,1,30
"### | «مشتملا في ثوب واحد»
",000,False,000,False,False,False,1,4
"### | 1387 - 
",000,False,000,False,False,False,1,35
"### | حاضت في أيام منى، فقال: «أحابستنا هي؟» فقالوا: إنها قد أفاضت.
",000,False,000,False,False,False,1,13
"### | 1388 - 
",000,False,000,False,False,False,1,18
"### | : «طيبت رسول الله صلى الله عليه وسلم لحرمه ولحله»
",000,False,000,False,False,False,1,14
"### | 1389 - 
",000,False,000,False,False,False,1,28
"### | ما فيكم أحد على دين إبراهيم غيري، وكان يحيي الموءودة، يقول للرجل إذا أراد أن يقتل ابنته: 
",000,False,000,False,False,False,1,41
"### | 1390 - 
",000,False,000,False,False,False,1,25
"### | : "" سحر رسول الله صلى الله عليه وسلم، حتى كان يخيل إليه أنه يعمل الشيء وما يفعله، حتى إذا كان 
",000,False,000,False,False,False,1,127
"### | 1391 - 
",000,False,000,False,False,False,1,21
"### | أطيب رسول الله صلى الله عليه وسلم عند إحرامه بأطيب ما أجد»
",000,False,000,False,False,False,1,22
"### | 1392 - 
",000,False,000,False,False,False,1,35
"### | : «خرج رسول الله صلى الله عليه وسلم لحاجته، فاتبعته بإداوة فصببت عليه فتوضأ، وكانت عليه جبة 
",000,False,000,False,False,False,1,33
"### | 1393 - 
",000,False,000,False,False,False,1,36
"### | : «الرؤيا من الله، والحلم من الشيطان، فإذا رأى أحدكم شيئا يكرهه فليتفل عن يساره ثلاث مرات 
",000,False,000,False,False,False,1,27
"### | 1394 - 
",000,False,000,False,False,False,1,53
"### | : «ناس من أمتي عرضوا علي يركبون ظهر هذا البحر الآخر كالملوك على الأسرة» .
",000,False,000,False,False,False,1,82
