string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | مقدمة التحقيق
",000,False,000,False,False,False,1,4
"### | تقديم
",000,False,000,False,False,False,1,459
"### | تصدير
",000,False,000,False,False,False,1,49
"### | 2- 
",000,False,000,False,False,False,1,21
"### | 3- 
",000,False,000,False,False,False,1,441
"### | علم الوجوه والنظائر القرآنية
",000,False,000,False,False,False,1,8
"### | موضوع الكتاب - عنوان المخطوط
",000,False,000,False,False,False,1,327
"### | 1- 
",000,False,000,False,False,False,1,17
"### | 2- 
",000,False,000,False,False,False,1,113
"### | الوجوه والنظائر في كتب علوم القرآن وما تابعها من التآليف
",000,False,000,False,False,False,1,82
"### | 1- 
",000,False,000,False,False,False,1,21
"### | 2- 
",000,False,000,False,False,False,1,1198
"### | أسباب ظهور 
",000,False,000,False,False,False,1,4
"### | كتب الوجوه والنظائر القرآنية
",000,False,000,False,False,False,1,873
"### | كتب الوجوه والنظائر القرآنية
",000,False,000,False,False,False,1,626
"### | 1- 
",000,False,000,False,False,False,1,9
"### | 2- 
",000,False,000,False,False,False,1,9
"### | 3- 
",000,False,000,False,False,False,1,7
"### | 4- 
",000,False,000,False,False,False,1,13
"### | 5- 
",000,False,000,False,False,False,1,11
"### | 6- 
",000,False,000,False,False,False,1,19
"### | 7- 
",000,False,000,False,False,False,1,57
"### | 8- 
",000,False,000,False,False,False,1,46
"### | 9- 
",000,False,000,False,False,False,1,40
"### | 10- 
",000,False,000,False,False,False,1,41
"### | 11- 
",000,False,000,False,False,False,1,34
"### | 12- 
",000,False,000,False,False,False,1,385
"### | 13- 
",000,False,000,False,False,False,1,25
"### | 14- 
",000,False,000,False,False,False,1,277
"### | 15- 
",000,False,000,False,False,False,1,17
"### | 16- 
",000,False,000,False,False,False,1,88
"### | 17- 
",000,False,000,False,False,False,1,129
"### | 18- 
",000,False,000,False,False,False,1,174
"### | 19- 
",000,False,000,False,False,False,1,46
"### | 20- 
",000,False,000,False,False,False,1,22
"### | 21-22- 
",000,False,000,False,False,False,1,41
"### | 23- 
",000,False,000,False,False,False,1,579
"### | كتب الوجوه والنظائر وكتب غريب القرآن
",000,False,000,False,False,False,1,200
"### | اشعاع كتب الوجوه والنظائر على بعض الميادين العلمية الأخرى
",000,False,000,False,False,False,1,417
"### | كتاب التصاريف
",000,False,000,False,False,False,1,4
"### | كتاب مجهول
",000,False,000,False,False,False,1,149
