string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | ومما يذكر به غزارة الإبل
",000,False,000,False,False,False,1,75
"### | ما يذكر به البكاء
",000,False,000,False,False,False,1,3465
"### | ومما يذكر من أسماء الإبل
",000,False,000,False,False,False,1,286
"### | ومما يذكر من أدواء الإبل
",000,False,000,False,False,False,1,1058
"### | ومما يذكر من سير الإبل
",000,False,000,False,False,False,1,638
"### | ومما يذكر من ألوان الإبل
",000,False,000,False,False,False,1,277
"### | ومما يذكر من أظماء الإبل
",000,False,000,False,False,False,1,766
"### | ومما يذكر في المواسم والتزنيم
",000,False,000,False,False,False,1,645
"### | كتاب الإبل
",000,False,000,False,False,False,1,1832
"### | ومن سير الإبل
",000,False,000,False,False,False,1,462
"### | ألوان الإبل
",000,False,000,False,False,False,1,287
"### | أسماء الأظماء
",000,False,000,False,False,False,1,252
"### | أدواء الإبل
",000,False,000,False,False,False,1,759
"### | أسماء عدد الإبل
",000,False,000,False,False,False,1,82
