string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,45
"### | باب النون واللام
",000,False,000,False,False,False,1,1119
"### | باب الباء والميم
",000,False,000,False,False,False,1,1219
"### | باب الميم والنون
",000,False,000,False,False,False,1,964
"### | باب العين والهمزة
",000,False,000,False,False,False,1,302
"### | باب العين والحاء
",000,False,000,False,False,False,1,114
"### | باب الهاء والهمزة
",000,False,000,False,False,False,1,225
"### | باب الهاء والحاء
",000,False,000,False,False,False,1,380
"### | باب الجيم والياء
",000,False,000,False,False,False,1,155
"### | باب الخاء والجيم
",000,False,000,False,False,False,1,52
"### | باب الحاء والجيم
",000,False,000,False,False,False,1,109
"### | باب الخاء والحاء
",000,False,000,False,False,False,1,253
"### | ومما جاء بالخاء والحاء باختلاف المعنى
",000,False,000,False,False,False,1,40
"### | باب الغين والخاء
",000,False,000,False,False,False,1,59
"### | باب الهاء والخاء
",000,False,000,False,False,False,1,67
"### | باب العين والغين
",000,False,000,False,False,False,1,285
"### | باب الفاء والثاء
",000,False,000,False,False,False,1,430
"### | باب الفاء والكاف
",000,False,000,False,False,False,1,47
"### | باب القاف والكاف
",000,False,000,False,False,False,1,226
"### | باب الكاف والجيم
",000,False,000,False,False,False,1,84
"### | باب السين والثاء
",000,False,000,False,False,False,1,102
"### | باب الثاء والذال
",000,False,000,False,False,False,1,118
"### | باب السين والشين
",000,False,000,False,False,False,1,262
"### | باب السين والتاء
",000,False,000,False,False,False,1,79
"### | باب السين والصاد
",000,False,000,False,False,False,1,113
"### | باب السين والزاي
",000,False,000,False,False,False,1,202
"### | باب الزاي والصاد
",000,False,000,False,False,False,1,308
"### | باب التاء والطاء
",000,False,000,False,False,False,1,116
"### | باب اللام والدال
",000,False,000,False,False,False,1,54
"### | باب الطاء والدال
",000,False,000,False,False,False,1,258
"### | باب الصاد والطاء
",000,False,000,False,False,False,1,63
"### | باب الطاء والجيم
",000,False,000,False,False,False,1,81
"### | باب الصاد والضاد
",000,False,000,False,False,False,1,240
"### | باب اللام والراء
",000,False,000,False,False,False,1,432
"### | باب الدال والتاء
",000,False,000,False,False,False,1,137
"### | باب الدال والذال
",000,False,000,False,False,False,1,87
"### | باب الهمزة والياء
",000,False,000,False,False,False,1,304
"### | باب الواو والهمزة
",000,False,000,False,False,False,1,278
"### | باب الزاي والذال
",000,False,000,False,False,False,1,38
"### | باب حروف المضاعف التي تقلب إلى الياء
",000,False,000,False,False,False,1,471
"### | باب ما تزاد فيه الميم آخرا
",000,False,000,False,False,False,1,121
"### | باب ما تزاد فيه النون
",000,False,000,False,False,False,1,158
"### | 
",000,False,000,False,False,False,1,0
"### | باب الواو تقلب تاء وهي أول الحرف
",000,False,000,False,False,False,1,70
"### | باب إبدال من حروف مختلفة
",000,False,000,False,False,False,1,481
"### | 
",000,False,000,False,False,False,1,0
"### | باب الواو تقلب تاء وهي أول الحرف
",000,False,000,False,False,False,1,70
"### | باب إبدال من حروف مختلفة
",000,False,000,False,False,False,1,481
"### | 
",000,False,000,False,False,False,1,0
"### | باب الواو تقلب تاء وهي أول الحرف
",000,False,000,False,False,False,1,70
"### | باب إبدال من حروف مختلفة
",000,False,000,False,False,False,1,481
"### | 
",000,False,000,False,False,False,1,0
"### | باب الواو تقلب تاء وهي أول الحرف
",000,False,000,False,False,False,1,70
"### | باب إبدال من حروف مختلفة
",000,False,000,False,False,False,1,481
"### | 
",000,False,000,False,False,False,1,0
"### | باب الواو تقلب تاء وهي أول الحرف
",000,False,000,False,False,False,1,70
"### | باب إبدال من حروف مختلفة
",000,False,000,False,False,False,1,481
"### | 
",000,False,000,False,False,False,1,0
"### | باب الواو تقلب تاء وهي أول الحرف
",000,False,000,False,False,False,1,70
"### | باب إبدال من حروف مختلفة
",000,False,000,False,False,False,1,481
"### | 
",000,False,000,False,False,False,1,0
"### | باب الواو تقلب تاء وهي أول الحرف
",000,False,000,False,False,False,1,70
"### | باب إبدال من حروف مختلفة
",000,False,000,False,False,False,1,481
"### | 
",000,False,000,False,False,False,1,0
"### | باب الواو تقلب تاء وهي أول الحرف
",000,False,000,False,False,False,1,70
"### | باب إبدال من حروف مختلفة
",000,False,000,False,False,False,1,481
"### | 
",000,False,000,False,False,False,1,0
"### | باب الواو تقلب تاء وهي أول الحرف
",000,False,000,False,False,False,1,70
"### | باب إبدال من حروف مختلفة
",000,False,000,False,False,False,1,481
"### | باب الواو تقلب تاء وهي أول الحرف
",000,False,000,False,False,False,1,70
"### | باب إبدال من حروف مختلفة
",000,False,000,False,False,False,1,456
