string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | محمد صلى الله عليه وسلم
",000,False,000,False,False,False,1,119
"### | محمد بن عبد الله
",000,False,000,False,False,False,1,112
"### | ابن عبد المطلب
",000,False,000,False,False,False,1,65
"### | ابن هاشم
",000,False,000,False,False,False,1,69
"### | ابن عبد مناف
",000,False,000,False,False,False,1,54
"### | ابن قصي
",000,False,000,False,False,False,1,61
"### | ابن كلاب
",000,False,000,False,False,False,1,52
"### | ابن مرة
",000,False,000,False,False,False,1,28
"### | ابن كعب
",000,False,000,False,False,False,1,58
"### | ابن لؤي
",000,False,000,False,False,False,1,37
"### | ابن غالب
",000,False,000,False,False,False,1,32
"### | ابن فهر
",000,False,000,False,False,False,1,67
"### | ابن مالك
",000,False,000,False,False,False,1,28
"### | ابن النضر
",000,False,000,False,False,False,1,26
"### | ابن كنانة
",000,False,000,False,False,False,1,34
"### | ابن خزيمة
",000,False,000,False,False,False,1,18
"### | ابن مدركة
",000,False,000,False,False,False,1,14
"### | ابن إلياس
",000,False,000,False,False,False,1,18
"### | ابن مضر
",000,False,000,False,False,False,1,14
"### | ابن نزار
",000,False,000,False,False,False,1,23
"### | ابن معد
",000,False,000,False,False,False,1,151
