string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | المجلد الثاني
",000,False,000,False,False,False,1,4
"### | كتاب الطهارة والصلاة
",000,False,000,False,False,False,1,23
"### | [1-] حدثنا إسحاق بن منصور بن بهرام أبو يعقوب الكوسج المروزي. قال: قلت لأبي عبد الله أحمد بن محمد
",000,False,000,False,False,False,1,247
"### | [2-] قلت: إذا توضأ ولم يسم؟
",000,False,000,False,False,False,1,41
"### | [3-] قلت: إذا توضأ فترك موضع ظفر؟
",000,False,000,False,False,False,1,66
"### | [4-] قلت: الصلوات بوضوء أحب إليك أو يتوضأ لكل صلاة؟
",000,False,000,False,False,False,1,33
"### | [5-] قلت: إذا لم يغسل ذكره يعيد الصلاة؟ 1.
",000,False,000,False,False,False,1,38
"### | [6-] قلت: إذا توضأ يغسل فوق الذراعين6؟
",000,False,000,False,False,False,1,44
"### | [7-] قلت: يخلل1 لحيته إذا توضأ؟.
",000,False,000,False,False,False,1,35
"### | [8-] قلت: ينشف بالخرقة1؟.
",000,False,000,False,False,False,1,42
"### | [9-] قلت: يتوضأ الرجل في المسجد؟.
",000,False,000,False,False,False,1,28
"### | [10-] قلت: إذا نسي أن يمسح برأسه؟
",000,False,000,False,False,False,1,88
"### | [11-] قلت: إذا نسي المضمضة والاستنشاق2 يعيد؟
",000,False,000,False,False,False,1,74
"### | [12-] قلت: يزيد الرجل على الثلاث في الوضوء؟.
",000,False,000,False,False,False,1,22
"### | [13-] قلت: الأذنان من الرأس؟
",000,False,000,False,False,False,1,37
"### | [14-] قلت: كيف يمسح الأذنين؟
",000,False,000,False,False,False,1,17
"### | [15-] قلت: كيف تمسح المرأة برأسها؟
",000,False,000,False,False,False,1,32
"### | [16-] قلت: كيف يمسح الرأس؟
",000,False,000,False,False,False,1,25
"### | [17-] قلت: يخلل2 أصابع3 يديه ورجليه4؟
",000,False,000,False,False,False,1,24
"### | [18-] قلت: كم يمسح المقيم على خفيه2 ms083؟
",000,False,000,False,False,False,1,25
"### | [19-] قلت: وكم يمسح المسافر على خفيه؟
",000,False,000,False,False,False,1,19
"### | [20-] قلت: وكيف1 يمسح على خفيه2؟
",000,False,000,False,False,False,1,73
"### | [21-] قلت: إذا مسح على خفيه ثم نزعهما؟
",000,False,000,False,False,False,1,21
"### | [22-] قلت: إذا توضأ ولبس خفيه فأحدث ومسح عليهما؟
",000,False,000,False,False,False,1,31
"### | [23-] قلت: يمسح على الجوربين3. بغير نعلين؟ 4.
",000,False,000,False,False,False,1,21
"### | [24-] قلت: يمسح على العمامة؟ 3.
",000,False,000,False,False,False,1,74
"### | [25-] قلت: إذا توضأ ولبس خفيه ثم نزعهما قبل أن يحدث؟
",000,False,000,False,False,False,1,23
"### | [26-] قلت: المسح أفضل أم الغسل؟
",000,False,000,False,False,False,1,44
"### | [27-] قلت: رجل مسح في الحضر1 يوما وليلة ثم سافر؟
",000,False,000,False,False,False,1,64
"### | [28-] قلت: من نام قاعدا أو قائما3؟
",000,False,000,False,False,False,1,37
"### | [29-] قلت: ما يوجب الوضوء: من الغيبة1 أو الطعام أو أذى المسلم أو مس الفرج أو شرب اللبن أو لحوم
",000,False,000,False,False,False,1,78
"### | [30-] قلت: اذا وجد المذي1 أو2 الودي؟ 3
",000,False,000,False,False,False,1,31
"### | [31-] قلت: ما معنى قوله: (صلى الله عليه وسلم) 2 "" (لا) 3 يبولن أحدكم
",000,False,000,False,False,False,1,84
"### | [32-] قلت:2 كم3 قدر ما لا ينجس من الماء؟
",000,False,000,False,False,False,1,25
"### | [33-] قلت: كم قدر1 (القلتين) ؟ 2
",000,False,000,False,False,False,1,35
"### | [34-] قلت: ما يكره من سؤر5 الدواب؟
",000,False,000,False,False,False,1,30
"### | [35-] قلت: ما يتنزه1 من أبوال الدواب؟
",000,False,000,False,False,False,1,27
"### | [36-] قلت: كم يجعل بين البالوعة3
",000,False,000,False,False,False,1,54
"### | [37-] قلت: بول الصبي الذي لم يطعم؟
",000,False,000,False,False,False,1,33
"### | [38-] قلت5: سؤر السنور
",000,False,000,False,False,False,1,20
"### | [39-] قلت: سؤر المرأة الجنب والحائض6 والمشرك؟
",000,False,000,False,False,False,1,29
"### | [40-] قلت3: الوضوء من المطاهر؟ 4.
",000,False,000,False,False,False,1,19
"### | [41-] قلت: الوضوء (من) 2 تور3 من صفر.4
",000,False,000,False,False,False,1,29
"### | [42-] قلت: يتوضأ بالنبيذ3 واللبن؟
",000,False,000,False,False,False,1,49
